district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,87.8,87.1,
Badgam,Jammu & Kashmir,2,1,95.7,95.2,
Leh(Ladakh),Jammu & Kashmir,3,1,91.7,88.8,96.3
Kargil,Jammu & Kashmir,4,1,83.6,86.1,
Punch,Jammu & Kashmir,5,1,73.8,74.2,
Rajouri,Jammu & Kashmir,6,1,56.2,55.5,
Kathua,Jammu & Kashmir,7,1,93.3,92.5,
Baramula,Jammu & Kashmir,8,1,95.2,95.5,
Bandipore,Jammu & Kashmir,9,1,90.3,90.2,
Srinagar,Jammu & Kashmir,10,1,91,,90.9
Ganderbal,Jammu & Kashmir,11,1,94.5,94.5,
Pulwama,Jammu & Kashmir,12,1,98.3,98.2,
Shupiyan,Jammu & Kashmir,13,1,96.4,96.1,
Anantnag,Jammu & Kashmir,14,1,82.5,81.2,
Kulgam,Jammu & Kashmir,15,1,95.1,94,
Doda,Jammu & Kashmir,16,1,36.8,34,
Ramban,Jammu & Kashmir,17,1,51,51.5,
Kishtwar,Jammu & Kashmir,18,1,54.4,52.4,
Udhampur,Jammu & Kashmir,19,1,90.5,89.7,
Reasi,Jammu & Kashmir,20,1,57.7,57.2,
Jammu,Jammu & Kashmir,21,1,83.9,82.5,85.8
Samba,Jammu & Kashmir,22,1,76.7,77.8,
Chamba,Himachal Pradesh,23,2,47.5,45.3,
Kangra,Himachal Pradesh,24,2,81.9,81.6,
Lahul and Spiti,Himachal Pradesh,25,2,61.5,61.5,
Kullu,Himachal Pradesh,26,2,71.3,71.1,
Mandi,Himachal Pradesh,27,2,56.1,52.8,
Hamirpur,Himachal Pradesh,28,2,73.6,73.4,
Una,Himachal Pradesh,29,2,72.7,71.3,
Bilaspur,Himachal Pradesh,30,2,58.8,59,
Solan,Himachal Pradesh,31,2,77.6,72.6,
Sirmaur,Himachal Pradesh,32,2,59.8,59.1,
Shimla,Himachal Pradesh,33,2,78.9,74.6,
Kinnaur,Himachal Pradesh,34,2,67.3,67.3,
Gurdaspur,Punjab,35,3,63.4,65.2,
Kapurthala,Punjab,36,3,76.9,74.3,81.4
Jalandhar,Punjab,37,3,71.4,65.8,74.5
Hoshiarpur,Punjab,38,3,69.8,69.8,
Sahid Bhagat Singh Nagar,Punjab,39,3,89.5,91.9,-81
Fatehgarh Sahib,Punjab,40,3,63.7,62.3,66.3
Ludhiana,Punjab,41,3,69.9,73.8,67.6
Moga,Punjab,42,3,69.7,67.2,
Firozpur,Punjab,43,3,66.7,69.9,
Muktsar,Punjab,44,3,64.9,65.9,
Faridkot,Punjab,45,3,83.9,89.4,70.2
Bathinda,Punjab,46,3,66.7,68.3,65.1
Mansa,Punjab,47,3,65.9,63.9,
Patiala,Punjab,48,3,63.5,61.5,65.7
Amritsar,Punjab,49,3,76.1,73.8,78.4
Tarn Taran,Punjab,50,3,50.1,48.1,
Rup Nagar,Punjab,51,3,74.8,74.2,
Sahibzada Ajit Singh Nagar,Punjab,52,3,79.9,71.3,86.2
Sangrur,Punjab,53,3,54.7,56.7,
Barnala,Punjab,54,3,57.5,56.2,60.2
Uttarkashi,Uttarakhand,56,5,22.2,20.3,
Chamoli,Uttarakhand,57,5,20.3,17.8,
Rudraprayag,Uttarakhand,58,5,17.2,11.5,
Tehri Garhwal,Uttarakhand,59,5,23.8,17.3,
Dehradun,Uttarakhand,60,5,47.1,51.2,43.6
Garhwal,Uttarakhand,61,5,36.4,33.1,
Pithoragarh,Uttarakhand,62,5,30.8,23.1,
Bageshwar,Uttarakhand,63,5,23.4,22.7,
Almora,Uttarakhand,64,5,31.7,28.4,
Champawat,Uttarakhand,65,5,29,26.1,
Nainital,Uttarakhand,66,5,40.4,31.8,53.4
Udham Singh Nagar,Uttarakhand,67,5,26.6,22.1,33.2
Hardwar,Uttarakhand,68,5,24.2,16.3,33.9
Panchkula,Haryana,69,6,81.5,71.6,88.4
Ambala,Haryana,70,6,64.7,61.6,68
Yamunanagar,Haryana,71,6,75.4,84,62.4
Kurukshetra,Haryana,72,6,65,62,
Kaithal,Haryana,73,6,61,54.9,
Karnal,Haryana,74,6,63.1,62.2,65.3
Panipat,Haryana,75,6,40.3,26.1,53.4
Sonipat,Haryana,76,6,38.7,40.9,33.6
Jind,Haryana,77,6,57.1,56.6,
Fatehabad,Haryana,78,6,60.7,59.7,
Sirsa,Haryana,79,6,55.9,46.4,
Hisar,Haryana,80,6,40.5,31.8,68.4
Bhiwani,Haryana,81,6,53.8,49.9,
Rohtak,Haryana,82,6,48.4,48,49
Jhajjar,Haryana,83,6,52.7,45.7,
Mahendragarh,Haryana,84,6,44.3,46.1,
Rewari,Haryana,85,6,28.7,28.5,
Gurgaon,Haryana,86,6,33.1,15.8,37.9
Mewat,Haryana,87,6,6.5,5.6,
Faridabad,Haryana,88,6,30.1,,33.4
Palwal,Haryana,89,6,19,14.2,
North West,NCT Delhi,90,7,65.7,,65.8
North,NCT Delhi,91,7,71.6,,71.7
North East,NCT Delhi,92,7,59.4,,59.4
East,NCT Delhi,93,7,61,,61
New Delhi,NCT Delhi,94,7,74.8,,74.8
Central,NCT Delhi,95,7,81.2,,81.2
West,NCT Delhi,96,7,80.6,,80.6
South West,NCT Delhi,97,7,72.5,,73.7
South,NCT Delhi,98,7,69.3,,69.3
Ganganagar,Rajasthan,99,8,52.1,45.4,
Hanumangarh,Rajasthan,100,8,24.7,22.6,
Bikaner,Rajasthan,101,8,38.2,26.7,59.1
Churu,Rajasthan,102,8,18.3,16.9,
Jhunjhunun,Rajasthan,103,8,45.4,46.7,
Alwar,Rajasthan,104,8,21.8,19.2,
Bharatpur,Rajasthan,105,8,17.2,14.2,
Dhaulpur,Rajasthan,106,8,30.7,28.6,
Karauli,Rajasthan,107,8,29.3,29.4,
Sawai Madhopur,Rajasthan,108,8,33.8,29.2,
Dausa,Rajasthan,109,8,28.4,28.2,
Jaipur,Rajasthan,110,8,58.7,49.7,67.8
Sikar,Rajasthan,111,8,49.1,47.9,
Nagaur,Rajasthan,112,8,42.2,42.7,
Jodhpur,Rajasthan,113,8,40.2,32.6,56.5
Jaisalmer,Rajasthan,114,8,18.4,17.5,
Barmer,Rajasthan,115,8,16.2,14.5,
Jalor,Rajasthan,116,8,31,28.4,
Sirohi,Rajasthan,117,8,31.7,29.3,
Pali,Rajasthan,118,8,47.9,44.6,
Ajmer,Rajasthan,119,8,51.4,46.7,61.5
Tonk,Rajasthan,120,8,49.5,47.9,
Bundi,Rajasthan,121,8,30.3,26.3,
Bhilwara,Rajasthan,122,8,41.9,41.3,
Rajsamand,Rajasthan,123,8,39.2,39.4,
Dungarpur,Rajasthan,124,8,45.9,42.6,
Banswara,Rajasthan,125,8,43.4,42.6,
Chittaurgarh,Rajasthan,126,8,22.7,21.4,
Kota,Rajasthan,127,8,58.7,52,63
Baran,Rajasthan,128,8,46.2,46.5,
Jhalawar,Rajasthan,129,8,36.5,33.4,
Udaipur,Rajasthan,130,8,45.9,40.8,
Pratapgarh,Rajasthan,131,8,30.7,29.6,
Saharanpur,Uttar Pradesh,132,9,41.7,36.8,52.2
Muzaffarnagar,Uttar Pradesh,133,9,37,35.8,
