district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,74.3,73.9,
Badgam,Jammu & Kashmir,2,1,90.7,92.3,
Leh(Ladakh),Jammu & Kashmir,3,1,95.7,94.9,97.1
Kargil,Jammu & Kashmir,4,1,84.2,85.4,
Punch,Jammu & Kashmir,5,1,77.4,77.8,
Rajouri,Jammu & Kashmir,6,1,73.3,74.2,
Kathua,Jammu & Kashmir,7,1,89.3,89.2,
Baramula,Jammu & Kashmir,8,1,83.1,87.6,
Bandipore,Jammu & Kashmir,9,1,74.5,73,
Srinagar,Jammu & Kashmir,10,1,78,,77.6
Ganderbal,Jammu & Kashmir,11,1,92,92.2,
Pulwama,Jammu & Kashmir,12,1,82.3,82.6,
Shupiyan,Jammu & Kashmir,13,1,78.3,80.1,
Anantnag,Jammu & Kashmir,14,1,86.6,82.3,
Kulgam,Jammu & Kashmir,15,1,85.2,84.3,
Doda,Jammu & Kashmir,16,1,48,45.9,
Ramban,Jammu & Kashmir,17,1,58.5,58.3,
Kishtwar,Jammu & Kashmir,18,1,64.5,63.3,
Udhampur,Jammu & Kashmir,19,1,78.1,78,
Reasi,Jammu & Kashmir,20,1,60.1,60.5,
Jammu,Jammu & Kashmir,21,1,84.2,81.8,87.3
Samba,Jammu & Kashmir,22,1,77.5,78.3,
Chamba,Himachal Pradesh,23,2,43.4,42.7,
Kangra,Himachal Pradesh,24,2,68.7,68.2,
Lahul and Spiti,Himachal Pradesh,25,2,59.9,59.9,
Kullu,Himachal Pradesh,26,2,62.7,62.4,
Mandi,Himachal Pradesh,27,2,53,51.8,
Hamirpur,Himachal Pradesh,28,2,76.5,76.3,
Una,Himachal Pradesh,29,2,61.2,60.4,
Bilaspur,Himachal Pradesh,30,2,58.4,59,
Solan,Himachal Pradesh,31,2,57.1,55.5,
Sirmaur,Himachal Pradesh,32,2,65.5,66,
Shimla,Himachal Pradesh,33,2,69.1,67.4,
Kinnaur,Himachal Pradesh,34,2,65.8,65.8,
