district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,15.9,16.9,
Badgam,Jammu & Kashmir,2,1,10.9,12.2,
Leh(Ladakh),Jammu & Kashmir,3,1,5.2,5.1,5.2
Kargil,Jammu & Kashmir,4,1,15.6,15.5,
Punch,Jammu & Kashmir,5,1,14.3,14.9,
Rajouri,Jammu & Kashmir,6,1,17.5,18.2,
Kathua,Jammu & Kashmir,7,1,15.9,16.2,
Baramula,Jammu & Kashmir,8,1,14.4,16.7,
Bandipore,Jammu & Kashmir,9,1,9.6,9.1,
Srinagar,Jammu & Kashmir,10,1,4.3,,4.2
Ganderbal,Jammu & Kashmir,11,1,9,10.2,
Pulwama,Jammu & Kashmir,12,1,9.1,9.1,
Shupiyan,Jammu & Kashmir,13,1,9.3,9.4,
Anantnag,Jammu & Kashmir,14,1,8.8,10.1,
Kulgam,Jammu & Kashmir,15,1,7.9,7.7,
Doda,Jammu & Kashmir,16,1,14.6,15.1,
Ramban,Jammu & Kashmir,17,1,14.7,14.8,
Kishtwar,Jammu & Kashmir,18,1,12.9,13.5,
Udhampur,Jammu & Kashmir,19,1,19.2,19.2,
Reasi,Jammu & Kashmir,20,1,13.7,13.5,
Jammu,Jammu & Kashmir,21,1,14.1,15.9,12.1
Samba,Jammu & Kashmir,22,1,16.6,16.8,
Chamba,Himachal Pradesh,23,2,19.1,19.9,
Kangra,Himachal Pradesh,24,2,18.8,19.3,
Lahul and Spiti,Himachal Pradesh,25,2,9.6,9.6,
Kullu,Himachal Pradesh,26,2,13.4,13.3,
Mandi,Himachal Pradesh,27,2,15.2,15.2,
Hamirpur,Himachal Pradesh,28,2,13.6,13.5,
Una,Himachal Pradesh,29,2,14.7,15.2,
Bilaspur,Himachal Pradesh,30,2,15.7,15.9,
Solan,Himachal Pradesh,31,2,15.5,16.9,
Sirmaur,Himachal Pradesh,32,2,19.3,21.8,
Shimla,Himachal Pradesh,33,2,14.1,13.6,
Kinnaur,Himachal Pradesh,34,2,13.2,13.2,
Gurdaspur,Punjab,35,3,11.3,14.8,
Kapurthala,Punjab,36,3,10.4,10.1,10.9
Jalandhar,Punjab,37,3,7.4,8.8,6.2
Hoshiarpur,Punjab,38,3,13.7,15,
Sahid Bhagat Singh Nagar,Punjab,39,3,13.3,13.1,14.3
Fatehgarh Sahib,Punjab,40,3,13.7,14.8,11.1
Ludhiana,Punjab,41,3,9.2,10.2,8.6
Moga,Punjab,42,3,10.8,11.9,
Firozpur,Punjab,43,3,13.7,14.1,
Muktsar,Punjab,44,3,14.6,16.3,
Faridkot,Punjab,45,3,10.9,11.3,9.8
Bathinda,Punjab,46,3,12.3,13.9,10.4
Mansa,Punjab,47,3,18.7,19.3,
Patiala,Punjab,48,3,9.6,12,6.9
Amritsar,Punjab,49,3,11,13.6,8.8
Tarn Taran,Punjab,50,3,13.7,14.8,
Rup Nagar,Punjab,51,3,13.1,12.8,
Sahibzada Ajit Singh Nagar,Punjab,52,3,13.6,14.4,13
Sangrur,Punjab,53,3,14.8,17,
Barnala,Punjab,54,3,13.2,13.1,13.2
Uttarkashi,Uttarakhand,56,5,16.9,17.1,
Chamoli,Uttarakhand,57,5,15.2,16.5,
Rudraprayag,Uttarakhand,58,5,14.8,15.4,
Tehri Garhwal,Uttarakhand,59,5,18.1,20.5,
