district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,31.9,31.2,
Badgam,Jammu & Kashmir,2,1,49.9,46.6,
Leh(Ladakh),Jammu & Kashmir,3,1,22.4,23.1,21.3
Kargil,Jammu & Kashmir,4,1,12,11.1,
Punch,Jammu & Kashmir,5,1,30,28.6,
Rajouri,Jammu & Kashmir,6,1,29.2,29.2,
Kathua,Jammu & Kashmir,7,1,22.3,20,
Baramula,Jammu & Kashmir,8,1,38.8,34.5,
Bandipore,Jammu & Kashmir,9,1,38.2,34.4,
Srinagar,Jammu & Kashmir,10,1,70.1,,69.7
Ganderbal,Jammu & Kashmir,11,1,51.2,48.1,
Pulwama,Jammu & Kashmir,12,1,55.5,55.9,
Shupiyan,Jammu & Kashmir,13,1,38.1,35.9,
Anantnag,Jammu & Kashmir,14,1,32.6,34.1,
Kulgam,Jammu & Kashmir,15,1,34.6,36,
Doda,Jammu & Kashmir,16,1,21.9,20.3,
Ramban,Jammu & Kashmir,17,1,18.1,17.6,
Kishtwar,Jammu & Kashmir,18,1,23.2,23.3,
Udhampur,Jammu & Kashmir,19,1,20.3,19.1,
Reasi,Jammu & Kashmir,20,1,27,28,
Jammu,Jammu & Kashmir,21,1,26.1,25.6,26.6
Samba,Jammu & Kashmir,22,1,28.7,28.4,
Chamba,Himachal Pradesh,23,2,8.1,7.7,
Kangra,Himachal Pradesh,24,2,21,20.8,
Lahul and Spiti,Himachal Pradesh,25,2,11.3,11.3,
Kullu,Himachal Pradesh,26,2,9.8,9.5,
Mandi,Himachal Pradesh,27,2,10.7,9.2,
Hamirpur,Himachal Pradesh,28,2,17.7,17.3,
Una,Himachal Pradesh,29,2,27.8,28,
Bilaspur,Himachal Pradesh,30,2,14.4,14.3,
Solan,Himachal Pradesh,31,2,12.3,14.7,
Sirmaur,Himachal Pradesh,32,2,15.7,14.3,
Shimla,Himachal Pradesh,33,2,18.1,11.5,
Kinnaur,Himachal Pradesh,34,2,19.4,19.4,
Gurdaspur,Punjab,35,3,19.4,20.7,
Kapurthala,Punjab,36,3,20.1,20.8,18.7
Jalandhar,Punjab,37,3,13.4,15.4,-11.5
Hoshiarpur,Punjab,38,3,26,27.6,
Sahid Bhagat Singh Nagar,Punjab,39,3,20.8,19,*
Fatehgarh Sahib,Punjab,40,3,39.2,46.3,-19.7
Ludhiana,Punjab,41,3,14.6,15.8,-13.2
Moga,Punjab,42,3,13.9,15.3,
Firozpur,Punjab,43,3,13.5,16.1,
Muktsar,Punjab,44,3,6.8,4.5,
Faridkot,Punjab,45,3,19.8,24.3,9.7
Bathinda,Punjab,46,3,13.1,14.6,11.1
Mansa,Punjab,47,3,16.4,16.1,
Patiala,Punjab,48,3,22.5,18.6,29.1
Amritsar,Punjab,49,3,13.6,13.4,14
Tarn Taran,Punjab,50,3,14.4,17.1,
Rup Nagar,Punjab,51,3,20.8,16.6,
Sahibzada Ajit Singh Nagar,Punjab,52,3,20.3,22.7,18.1
Sangrur,Punjab,53,3,24.4,23.3,
Barnala,Punjab,54,3,17.4,20.4,10.3
Uttarkashi,Uttarakhand,56,5,5,4.2,
Chamoli,Uttarakhand,57,5,7.4,5,
