district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,"3,903","3,943",
Badgam,Jammu & Kashmir,2,1,"5,465","5,451",
Leh(Ladakh),Jammu & Kashmir,3,1,"2,942","2,994","2,876"
Kargil,Jammu & Kashmir,4,1,"2,323","2,635",
Punch,Jammu & Kashmir,5,1,"4,146","4,171",
Rajouri,Jammu & Kashmir,6,1,"5,523","5,510",
Kathua,Jammu & Kashmir,7,1,"3,380","3,348",
Baramula,Jammu & Kashmir,8,1,"3,607","3,130",
Bandipore,Jammu & Kashmir,9,1,"3,984","4,151",
Srinagar,Jammu & Kashmir,10,1,"3,794",,"3,767"
Ganderbal,Jammu & Kashmir,11,1,"5,486","5,253",
Pulwama,Jammu & Kashmir,12,1,"3,169","3,041",
Shupiyan,Jammu & Kashmir,13,1,"3,780","3,424",
Anantnag,Jammu & Kashmir,14,1,"3,568","3,608",
Kulgam,Jammu & Kashmir,15,1,"3,917","3,998",
Doda,Jammu & Kashmir,16,1,"7,512","7,670",
Ramban,Jammu & Kashmir,17,1,"6,127","6,234",
Kishtwar,Jammu & Kashmir,18,1,"5,042","4,953",
Udhampur,Jammu & Kashmir,19,1,"3,100","3,170",
Reasi,Jammu & Kashmir,20,1,"4,137","4,528",
Jammu,Jammu & Kashmir,21,1,"4,300","2,918","6,237"
Samba,Jammu & Kashmir,22,1,"4,551","4,532",
Chamba,Himachal Pradesh,23,2,"2,778","2,930",
Kangra,Himachal Pradesh,24,2,"2,432","2,409",
Lahul and Spiti,Himachal Pradesh,25,2,"4,472","4,472",
Kullu,Himachal Pradesh,26,2,"2,927","3,098",
Mandi,Himachal Pradesh,27,2,"3,443","3,195",
Hamirpur,Himachal Pradesh,28,2,"4,155","4,284",
Una,Himachal Pradesh,29,2,"4,418","4,507",
Bilaspur,Himachal Pradesh,30,2,"4,743","4,908",
Solan,Himachal Pradesh,31,2,"2,313","2,394",
Sirmaur,Himachal Pradesh,32,2,"2,862","2,813",
Shimla,Himachal Pradesh,33,2,"4,036","3,396",
Kinnaur,Himachal Pradesh,34,2,"5,033","5,033",
Gurdaspur,Punjab,35,3,"1,631","1,960",
Kapurthala,Punjab,36,3,"2,679","-3,131","-1,849"
Jalandhar,Punjab,37,3,"3,135","-4,245","-2,094"
Hoshiarpur,Punjab,38,3,"1,057","1,146",
Sahid Bhagat Singh Nagar,Punjab,39,3,"1,917","1,535",*
Fatehgarh Sahib,Punjab,40,3,"3,862","-4,448","-2,376"
Ludhiana,Punjab,41,3,"1,269","1,481","-1,004"
Moga,Punjab,42,3,995,"1,055",
Firozpur,Punjab,43,3,"1,119","1,098",
Muktsar,Punjab,44,3,"1,494","1,454",
Faridkot,Punjab,45,3,"1,984","2,195","1,546"
Bathinda,Punjab,46,3,"1,427","1,588","1,222"
Mansa,Punjab,47,3,"1,553","1,629",
Patiala,Punjab,48,3,"2,216","2,480","1,822"
Amritsar,Punjab,49,3,"1,949","2,300","-1,361"
Tarn Taran,Punjab,50,3,"1,408","1,450",
Rup Nagar,Punjab,51,3,"2,258","2,254",
Sahibzada Ajit Singh Nagar,Punjab,52,3,"2,607","3,314","2,004"
Sangrur,Punjab,53,3,"2,973","2,940",
Barnala,Punjab,54,3,"2,227","2,129","2,459"
Uttarkashi,Uttarakhand,56,5,"2,483","2,492",
Chamoli,Uttarakhand,57,5,"2,097","2,110",
Rudraprayag,Uttarakhand,58,5,"3,455","3,406",
Tehri Garhwal,Uttarakhand,59,5,"1,430","1,228",
Dehradun,Uttarakhand,60,5,"1,954","1,858","2,042"
Garhwal,Uttarakhand,61,5,"1,478","1,475",
Pithoragarh,Uttarakhand,62,5,"1,221","1,213",
Bageshwar,Uttarakhand,63,5,"2,299","2,317",
Almora,Uttarakhand,64,5,"3,017","1,834",
Champawat,Uttarakhand,65,5,"1,943","1,630",
Nainital,Uttarakhand,66,5,"5,122","7,058","2,969"
Udham Singh Nagar,Uttarakhand,67,5,"2,899","3,384","2,055"
Hardwar,Uttarakhand,68,5,"2,043","1,946","2,136"
Panchkula,Haryana,69,6,896,922,-872
Ambala,Haryana,70,6,785,"1,026",476
Yamunanagar,Haryana,71,6,"1,044","1,015","1,082"
Kurukshetra,Haryana,72,6,923,973,
Kaithal,Haryana,73,6,519,392,
Karnal,Haryana,74,6,728,674,931
Panipat,Haryana,75,6,"1,927",-575,"2,871"
Sonipat,Haryana,76,6,"2,589","2,406","-3,094"
Jind,Haryana,77,6,"1,099",845,
Fatehabad,Haryana,78,6,850,940,
Sirsa,Haryana,79,6,500,415,
Hisar,Haryana,80,6,949,688,"-2,231"
Bhiwani,Haryana,81,6,"1,108",631,
Rohtak,Haryana,82,6,"1,909","2,387","1,017"
Jhajjar,Haryana,83,6,"1,217",586,
Mahendragarh,Haryana,84,6,"1,081","1,190",
Rewari,Haryana,85,6,"1,369","1,646",
Gurgaon,Haryana,86,6,"2,843","3,167","-2,716"
Mewat,Haryana,87,6,"1,864","1,762",
Faridabad,Haryana,88,6,"3,856",,"4,235"
Palwal,Haryana,89,6,"2,306","1,763",
North West,NCT Delhi,90,7,"2,938",,"-2,940"
North,NCT Delhi,91,7,"3,427",,"3,459"
North East,NCT Delhi,92,7,"2,622",,"2,622"
East,NCT Delhi,93,7,"12,335",,"12,335"
