district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,79.5,78.4,
Badgam,Jammu & Kashmir,2,1,89.6,87.8,
Leh(Ladakh),Jammu & Kashmir,3,1,88.7,86.6,92.1
Kargil,Jammu & Kashmir,4,1,78.3,75.7,
Punch,Jammu & Kashmir,5,1,63.6,64,
Rajouri,Jammu & Kashmir,6,1,55,53.1,
Kathua,Jammu & Kashmir,7,1,81.8,79.8,
Baramula,Jammu & Kashmir,8,1,81.8,79.2,
Bandipore,Jammu & Kashmir,9,1,81.7,77.7,
Srinagar,Jammu & Kashmir,10,1,84.6,,84.6
Ganderbal,Jammu & Kashmir,11,1,91.8,91.2,
Pulwama,Jammu & Kashmir,12,1,81.1,81.4,
Shupiyan,Jammu & Kashmir,13,1,77,76.1,
Anantnag,Jammu & Kashmir,14,1,82.1,81.3,
Kulgam,Jammu & Kashmir,15,1,77.8,75.5,
Doda,Jammu & Kashmir,16,1,39.3,36.3,
Ramban,Jammu & Kashmir,17,1,55.9,55.3,
Kishtwar,Jammu & Kashmir,18,1,56.3,54.4,
Udhampur,Jammu & Kashmir,19,1,72,69.9,
Reasi,Jammu & Kashmir,20,1,47.7,47.9,
Jammu,Jammu & Kashmir,21,1,84.3,79.8,90.3
Samba,Jammu & Kashmir,22,1,78.7,79.7,
Chamba,Himachal Pradesh,23,2,48,45.8,
Kangra,Himachal Pradesh,24,2,83.3,83,
Lahul and Spiti,Himachal Pradesh,25,2,62.6,62.6,
Kullu,Himachal Pradesh,26,2,71.8,72.8,
Mandi,Himachal Pradesh,27,2,56.3,54.2,
Hamirpur,Himachal Pradesh,28,2,81.2,81.9,
Una,Himachal Pradesh,29,2,68.7,68.3,
Bilaspur,Himachal Pradesh,30,2,75.8,75.5,
Solan,Himachal Pradesh,31,2,73.8,70.1,
Sirmaur,Himachal Pradesh,32,2,63.6,61.3,
Shimla,Himachal Pradesh,33,2,74.5,71.6,
Kinnaur,Himachal Pradesh,34,2,77.6,77.6,
Gurdaspur,Punjab,35,3,83.7,83.7,
Kapurthala,Punjab,36,3,94.1,96.7,89.4
Jalandhar,Punjab,37,3,93.3,93.3,93.3
Hoshiarpur,Punjab,38,3,84.4,83.6,
Sahid Bhagat Singh Nagar,Punjab,39,3,89.5,93.5,-75.3
Fatehgarh Sahib,Punjab,40,3,83,85.3,78.5
Ludhiana,Punjab,41,3,83.8,89.3,80.5
Moga,Punjab,42,3,92.1,92.5,
Firozpur,Punjab,43,3,80.4,80.1,
Muktsar,Punjab,44,3,88.6,88.7,
Faridkot,Punjab,45,3,93.8,95.7,89.2
Bathinda,Punjab,46,3,92.5,96,88.9
Mansa,Punjab,47,3,88.8,92,
Patiala,Punjab,48,3,93.9,93.1,94.7
Amritsar,Punjab,49,3,88.3,85.7,90.8
Tarn Taran,Punjab,50,3,87,86.4,
Rup Nagar,Punjab,51,3,85,87.1,
Sahibzada Ajit Singh Nagar,Punjab,52,3,83.4,82.2,84.3
Sangrur,Punjab,53,3,80.2,79.7,
Barnala,Punjab,54,3,84.8,84.1,86.3
Uttarkashi,Uttarakhand,56,5,45.6,45.3,
Chamoli,Uttarakhand,57,5,47.9,48.3,
