district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,18.1,18.1,
Badgam,Jammu & Kashmir,2,1,18.6,15,
Leh(Ladakh),Jammu & Kashmir,3,1,25.7,31.4,16.6
Kargil,Jammu & Kashmir,4,1,26.2,26.5,
Punch,Jammu & Kashmir,5,1,33.2,33.8,
Rajouri,Jammu & Kashmir,6,1,12.5,12,
Kathua,Jammu & Kashmir,7,1,52.4,50.4,
Baramula,Jammu & Kashmir,8,1,30.5,31,
Bandipore,Jammu & Kashmir,9,1,14.1,14.2,
Srinagar,Jammu & Kashmir,10,1,23.5,,23.7
Ganderbal,Jammu & Kashmir,11,1,12.5,12.6,
Pulwama,Jammu & Kashmir,12,1,29.2,29,
Shupiyan,Jammu & Kashmir,13,1,20,18.7,
Anantnag,Jammu & Kashmir,14,1,10.9,10.6,
Kulgam,Jammu & Kashmir,15,1,19.8,19.4,
Doda,Jammu & Kashmir,16,1,5.3,4,
Ramban,Jammu & Kashmir,17,1,15.5,15.2,
Kishtwar,Jammu & Kashmir,18,1,15.8,15.7,
Udhampur,Jammu & Kashmir,19,1,48,46.1,
Reasi,Jammu & Kashmir,20,1,26.7,28.1,
Jammu,Jammu & Kashmir,21,1,51.9,51.7,52.2
Samba,Jammu & Kashmir,22,1,36.7,37.3,
Chamba,Himachal Pradesh,23,2,21.3,18.7,
Kangra,Himachal Pradesh,24,2,47.8,47.3,
Lahul and Spiti,Himachal Pradesh,25,2,29.7,29.7,
Kullu,Himachal Pradesh,26,2,44.3,44.1,
Mandi,Himachal Pradesh,27,2,21.9,21.2,
Hamirpur,Himachal Pradesh,28,2,39,39.8,
Una,Himachal Pradesh,29,2,37.8,36.4,
Bilaspur,Himachal Pradesh,30,2,34.1,34,
Solan,Himachal Pradesh,31,2,38.6,38.8,
Sirmaur,Himachal Pradesh,32,2,30.5,30.2,
Shimla,Himachal Pradesh,33,2,48.3,43,
Kinnaur,Himachal Pradesh,34,2,35.2,35.2,
Gurdaspur,Punjab,35,3,28.3,28.9,
Kapurthala,Punjab,36,3,34.7,30.5,42.2
Jalandhar,Punjab,37,3,36.9,20.3,46.3
Hoshiarpur,Punjab,38,3,27.2,26,
Sahid Bhagat Singh Nagar,Punjab,39,3,43.9,47.2,-32.3
Fatehgarh Sahib,Punjab,40,3,21.5,25.7,13.5
Ludhiana,Punjab,41,3,30.6,32.9,29.3
Moga,Punjab,42,3,31.1,25.9,
Firozpur,Punjab,43,3,19.5,18.1,
Muktsar,Punjab,44,3,29.4,27.9,
Faridkot,Punjab,45,3,34.5,35.1,33.1
Bathinda,Punjab,46,3,29.2,25.1,33.4
Mansa,Punjab,47,3,21.1,21.3,
Patiala,Punjab,48,3,25.8,18.3,33.9
Amritsar,Punjab,49,3,37.4,36.7,38.2
Tarn Taran,Punjab,50,3,33.1,30.3,
Rup Nagar,Punjab,51,3,38.7,40.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,53,42.7,60.6
Sangrur,Punjab,53,3,21.9,21.9,
Barnala,Punjab,54,3,23,23.9,21.2
Uttarkashi,Uttarakhand,56,5,9.6,9.4,
Chamoli,Uttarakhand,57,5,5.9,3.8,
Rudraprayag,Uttarakhand,58,5,5.7,2.3,
Tehri Garhwal,Uttarakhand,59,5,7.2,3.9,
Dehradun,Uttarakhand,60,5,18.9,23.2,15.3
Garhwal,Uttarakhand,61,5,11.9,10.3,
Pithoragarh,Uttarakhand,62,5,14.7,11.4,
Bageshwar,Uttarakhand,63,5,10.7,10.9,
Almora,Uttarakhand,64,5,18.7,16.9,
Champawat,Uttarakhand,65,5,11.1,7.8,
Nainital,Uttarakhand,66,5,20.5,14.7,29.2
Udham Singh Nagar,Uttarakhand,67,5,5.8,4.5,7.7
Hardwar,Uttarakhand,68,5,7.6,3.6,12.5
Panchkula,Haryana,69,6,47.8,44.4,50.2
Ambala,Haryana,70,6,40.2,40.5,39.9
Yamunanagar,Haryana,71,6,49.8,56.3,39.9
Kurukshetra,Haryana,72,6,22.4,15.2,
Kaithal,Haryana,73,6,33.9,28.8,
