district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,6.7,7.6,
Badgam,Jammu & Kashmir,2,1,4.9,3.9,
Leh(Ladakh),Jammu & Kashmir,3,1,6.4,6.3,6.6
Kargil,Jammu & Kashmir,4,1,5.4,5.3,
Punch,Jammu & Kashmir,5,1,7.2,7.3,
Rajouri,Jammu & Kashmir,6,1,9.8,10.1,
Kathua,Jammu & Kashmir,7,1,3.5,3.9,
Baramula,Jammu & Kashmir,8,1,5.8,6.1,
Bandipore,Jammu & Kashmir,9,1,5,5.2,
Srinagar,Jammu & Kashmir,10,1,4.8,,4.7
Ganderbal,Jammu & Kashmir,11,1,7.2,8.2,
Pulwama,Jammu & Kashmir,12,1,2.9,3.1,
Shupiyan,Jammu & Kashmir,13,1,3,3.2,
Anantnag,Jammu & Kashmir,14,1,4.7,5.3,
Kulgam,Jammu & Kashmir,15,1,2.9,3.4,
Doda,Jammu & Kashmir,16,1,9.6,9.6,
Ramban,Jammu & Kashmir,17,1,9.3,9.3,
Kishtwar,Jammu & Kashmir,18,1,10.6,10.2,
Udhampur,Jammu & Kashmir,19,1,3.1,3.5,
Reasi,Jammu & Kashmir,20,1,10.4,10.7,
Jammu,Jammu & Kashmir,21,1,4.6,5.6,3.4
Samba,Jammu & Kashmir,22,1,7.4,7.6,
Chamba,Himachal Pradesh,23,2,6.3,6.2,
Kangra,Himachal Pradesh,24,2,4.8,4.7,
Lahul and Spiti,Himachal Pradesh,25,2,3.7,3.7,
Kullu,Himachal Pradesh,26,2,5.2,5.2,
Mandi,Himachal Pradesh,27,2,7.2,6.5,
Hamirpur,Himachal Pradesh,28,2,5.4,5.5,
Una,Himachal Pradesh,29,2,5.3,5.1,
Bilaspur,Himachal Pradesh,30,2,3.5,3.7,
Solan,Himachal Pradesh,31,2,3.5,3.6,
Sirmaur,Himachal Pradesh,32,2,4.1,4.3,
Shimla,Himachal Pradesh,33,2,1.9,1.7,
Kinnaur,Himachal Pradesh,34,2,4.7,4.7,
Gurdaspur,Punjab,35,3,2.7,2.8,
Kapurthala,Punjab,36,3,1.5,1.2,2
Jalandhar,Punjab,37,3,3.8,4.8,2.9
Hoshiarpur,Punjab,38,3,3.8,4.3,
Sahid Bhagat Singh Nagar,Punjab,39,3,3.8,3.6,4.1
Fatehgarh Sahib,Punjab,40,3,1.7,1.2,2.8
Ludhiana,Punjab,41,3,2.1,3.1,1.5
Moga,Punjab,42,3,2.2,2.7,
Firozpur,Punjab,43,3,1.9,1.7,
Muktsar,Punjab,44,3,0.7,0.2,
Faridkot,Punjab,45,3,4.1,5.1,1.4
Bathinda,Punjab,46,3,1.5,1.6,1.5
Mansa,Punjab,47,3,1.2,1.2,
Patiala,Punjab,48,3,2.1,1.2,3.1
Amritsar,Punjab,49,3,1.7,2.5,1.1
Tarn Taran,Punjab,50,3,1.6,1.8,
Rup Nagar,Punjab,51,3,2.6,2.8,
Sahibzada Ajit Singh Nagar,Punjab,52,3,1.5,1.5,1.4
Sangrur,Punjab,53,3,3.1,3.8,
Barnala,Punjab,54,3,2.1,2.2,1.7
Uttarkashi,Uttarakhand,56,5,4.5,4.4,
Chamoli,Uttarakhand,57,5,6.5,6.7,
Rudraprayag,Uttarakhand,58,5,4.6,4.6,
Tehri Garhwal,Uttarakhand,59,5,5.8,7.2,
Dehradun,Uttarakhand,60,5,3.8,6.5,2.2
Garhwal,Uttarakhand,61,5,4.3,4.8,
Pithoragarh,Uttarakhand,62,5,4.1,4,
Bageshwar,Uttarakhand,63,5,6.7,6.8,
Almora,Uttarakhand,64,5,6.3,6.4,
Champawat,Uttarakhand,65,5,4.6,4.8,
Nainital,Uttarakhand,66,5,5.6,6.2,4.6
Udham Singh Nagar,Uttarakhand,67,5,7.3,7.5,7
Hardwar,Uttarakhand,68,5,4.7,4.9,4.5
Panchkula,Haryana,69,6,2,1.8,2.1
Ambala,Haryana,70,6,0.9,1.5,0.2
Yamunanagar,Haryana,71,6,2.6,2.5,2.8
Kurukshetra,Haryana,72,6,3.2,3.5,
Kaithal,Haryana,73,6,2.4,1.5,
Karnal,Haryana,74,6,1.9,1.4,3.1
Panipat,Haryana,75,6,2.5,2.8,2.2
Sonipat,Haryana,76,6,2.2,2.3,2.1
Jind,Haryana,77,6,1.9,1.9,
Fatehabad,Haryana,78,6,1.1,1.1,
Sirsa,Haryana,79,6,3.9,4.1,
Hisar,Haryana,80,6,2.9,3.2,2.3
Bhiwani,Haryana,81,6,3.3,2.8,
Rohtak,Haryana,82,6,3.4,5.3,0.8
Jhajjar,Haryana,83,6,1.4,1.2,
Mahendragarh,Haryana,84,6,3.6,4,
Rewari,Haryana,85,6,4.6,4.2,
Gurgaon,Haryana,86,6,5.5,5.6,5.5
Mewat,Haryana,87,6,12.5,13.2,
Faridabad,Haryana,88,6,7.7,,6.6
Palwal,Haryana,89,6,6.4,6.5,
North West,NCT Delhi,90,7,3.7,,3.8
North,NCT Delhi,91,7,7,,7
North East,NCT Delhi,92,7,5.2,,5.2
East,NCT Delhi,93,7,3.5,,3.5
New Delhi,NCT Delhi,94,7,6.3,,6.3
Central,NCT Delhi,95,7,5.7,,5.7
West,NCT Delhi,96,7,6.3,,6.3
South West,NCT Delhi,97,7,3.5,,3.3
South,NCT Delhi,98,7,6.1,,6.1
Ganganagar,Rajasthan,99,8,3.8,4,
Hanumangarh,Rajasthan,100,8,4,3.1,
Bikaner,Rajasthan,101,8,4,4.2,3.7
Churu,Rajasthan,102,8,5.8,5.1,
