district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,70.4,67.9,
Badgam,Jammu & Kashmir,2,1,63.8,68.9,
Leh(Ladakh),Jammu & Kashmir,3,1,67.8,59.8,81.2
Kargil,Jammu & Kashmir,4,1,69,70.5,
Punch,Jammu & Kashmir,5,1,80.7,80,
Rajouri,Jammu & Kashmir,6,1,61.8,61.8,
Kathua,Jammu & Kashmir,7,1,47,46,
Baramula,Jammu & Kashmir,8,1,75.5,73,
Bandipore,Jammu & Kashmir,9,1,72,67.4,
Srinagar,Jammu & Kashmir,10,1,75.7,,75.7
Ganderbal,Jammu & Kashmir,11,1,70.6,72.9,
Pulwama,Jammu & Kashmir,12,1,67.3,67.6,
Shupiyan,Jammu & Kashmir,13,1,61.3,60.9,
Anantnag,Jammu & Kashmir,14,1,70.1,71.8,
Kulgam,Jammu & Kashmir,15,1,63.9,63,
Doda,Jammu & Kashmir,16,1,52.3,51.4,
Ramban,Jammu & Kashmir,17,1,81.9,81.5,
Kishtwar,Jammu & Kashmir,18,1,75.2,75,
Udhampur,Jammu & Kashmir,19,1,47.5,47.2,
Reasi,Jammu & Kashmir,20,1,68.8,70.1,
Jammu,Jammu & Kashmir,21,1,48.3,46.2,51
Samba,Jammu & Kashmir,22,1,36.5,36.8,
Chamba,Himachal Pradesh,23,2,52.1,51.9,
Kangra,Himachal Pradesh,24,2,65.4,66.1,
Lahul and Spiti,Himachal Pradesh,25,2,51.6,51.6,
Kullu,Himachal Pradesh,26,2,61.9,62.2,
Mandi,Himachal Pradesh,27,2,69,70.9,
Hamirpur,Himachal Pradesh,28,2,80.4,79.9,
Una,Himachal Pradesh,29,2,72.9,73.6,
Bilaspur,Himachal Pradesh,30,2,74.8,76.1,
Solan,Himachal Pradesh,31,2,58.3,58.5,
Sirmaur,Himachal Pradesh,32,2,61.6,57.4,
Shimla,Himachal Pradesh,33,2,52.5,57.3,
Kinnaur,Himachal Pradesh,34,2,61.1,61.1,
Gurdaspur,Punjab,35,3,82.4,86.7,
Kapurthala,Punjab,36,3,89.9,89.4,90.9
Jalandhar,Punjab,37,3,90,86.7,92.1
Hoshiarpur,Punjab,38,3,67.8,61.6,
Sahid Bhagat Singh Nagar,Punjab,39,3,72.6,75.9,-59.5
Fatehgarh Sahib,Punjab,40,3,79.5,79.9,78.8
Ludhiana,Punjab,41,3,46.2,43.3,47.8
Moga,Punjab,42,3,87.3,84.3,
Firozpur,Punjab,43,3,68.6,65.6,
Muktsar,Punjab,44,3,79.7,77.1,
Faridkot,Punjab,45,3,94.3,93.8,95.5
Bathinda,Punjab,46,3,71.5,72.3,70.7
Mansa,Punjab,47,3,59.7,61.6,
Patiala,Punjab,48,3,74.7,77.6,71.2
Amritsar,Punjab,49,3,61.6,54.5,69.1
Tarn Taran,Punjab,50,3,77.4,77.2,
Rup Nagar,Punjab,51,3,66.4,70.2,
Sahibzada Ajit Singh Nagar,Punjab,52,3,56.6,68.2,47.9
Sangrur,Punjab,53,3,63.3,63.8,
Barnala,Punjab,54,3,81.9,78.8,88.1
Uttarkashi,Uttarakhand,56,5,28.4,28.4,
Chamoli,Uttarakhand,57,5,38.6,39.5,
Rudraprayag,Uttarakhand,58,5,49.1,46.7,
Tehri Garhwal,Uttarakhand,59,5,29,27.1,
Dehradun,Uttarakhand,60,5,34.6,36.2,33.1
Garhwal,Uttarakhand,61,5,40.3,42.4,
Pithoragarh,Uttarakhand,62,5,46.1,46,
Bageshwar,Uttarakhand,63,5,34.1,33,
Almora,Uttarakhand,64,5,53.4,53.7,
Champawat,Uttarakhand,65,5,35.7,33.6,
Nainital,Uttarakhand,66,5,49.5,45.6,56.1
Udham Singh Nagar,Uttarakhand,67,5,39.5,40.8,37.6
Hardwar,Uttarakhand,68,5,28.3,26.2,31.5
Panchkula,Haryana,69,6,75.3,73.5,76.5
Ambala,Haryana,70,6,79.4,78,81.5
Yamunanagar,Haryana,71,6,54.3,49.5,62
Kurukshetra,Haryana,72,6,82.2,83.2,
Kaithal,Haryana,73,6,82.7,84.7,
Karnal,Haryana,74,6,81.9,83.4,78.2
Panipat,Haryana,75,6,71.3,68.5,74.1
Sonipat,Haryana,76,6,80.5,84.3,73.1
Jind,Haryana,77,6,74.5,71.4,
Fatehabad,Haryana,78,6,65,64.8,
Sirsa,Haryana,79,6,66.1,70.7,
Hisar,Haryana,80,6,90.2,92.3,82.9
Bhiwani,Haryana,81,6,66.2,71.1,
Rohtak,Haryana,82,6,62.4,59.6,66.9
Jhajjar,Haryana,83,6,80.5,78.2,
Mahendragarh,Haryana,84,6,86.1,84.8,
Rewari,Haryana,85,6,59.2,59.4,
Gurgaon,Haryana,86,6,71.3,53.2,76.6
Mewat,Haryana,87,6,24.4,23.5,
Faridabad,Haryana,88,6,54,,50.7
Palwal,Haryana,89,6,43.7,40.2,
North West,NCT Delhi,90,7,61.2,,61.2
North,NCT Delhi,91,7,53.1,,52.2
North East,NCT Delhi,92,7,54.4,,54.4
East,NCT Delhi,93,7,53.6,,53.6
New Delhi,NCT Delhi,94,7,49,,49
Central,NCT Delhi,95,7,57.4,,57.4
West,NCT Delhi,96,7,53.1,,53.1
South West,NCT Delhi,97,7,61.4,,60.7
South,NCT Delhi,98,7,41.9,,41.9
Ganganagar,Rajasthan,99,8,59.2,61.5,
Hanumangarh,Rajasthan,100,8,45.6,45.2,
Bikaner,Rajasthan,101,8,26.9,26.3,28.1
Churu,Rajasthan,102,8,34.6,32.9,
Jhunjhunun,Rajasthan,103,8,55.7,58.4,
Alwar,Rajasthan,104,8,43,42.5,
Bharatpur,Rajasthan,105,8,36.6,33.9,
Dhaulpur,Rajasthan,106,8,43.3,40.3,
Karauli,Rajasthan,107,8,39.8,39.2,
Sawai Madhopur,Rajasthan,108,8,39,39,
Dausa,Rajasthan,109,8,30.8,29.6,
Jaipur,Rajasthan,110,8,50.2,42.4,58.4
Sikar,Rajasthan,111,8,41.3,42.4,
Nagaur,Rajasthan,112,8,46.6,44.6,
Jodhpur,Rajasthan,113,8,47.4,42.4,59.3
Jaisalmer,Rajasthan,114,8,22.4,22.4,
Barmer,Rajasthan,115,8,22.9,22.7,
Jalor,Rajasthan,116,8,38.9,38.5,
Sirohi,Rajasthan,117,8,34.2,30.3,
Pali,Rajasthan,118,8,32.1,25.5,
Ajmer,Rajasthan,119,8,24.1,23.5,25.4
Tonk,Rajasthan,120,8,39.1,37.3,
Bundi,Rajasthan,121,8,42.7,44.1,
Bhilwara,Rajasthan,122,8,44.8,41.8,
Rajsamand,Rajasthan,123,8,18.1,19.9,
Dungarpur,Rajasthan,124,8,15.4,15,
Banswara,Rajasthan,125,8,45.6,46.3,
Chittaurgarh,Rajasthan,126,8,40.8,38.4,
Kota,Rajasthan,127,8,36.5,32.6,39
Baran,Rajasthan,128,8,60.9,59.8,
Jhalawar,Rajasthan,129,8,62.3,60.2,
Udaipur,Rajasthan,130,8,32.4,30.6,
Pratapgarh,Rajasthan,131,8,53.3,53.1,
Saharanpur,Uttar Pradesh,132,9,40.6,41.6,38.4
Muzaffarnagar,Uttar Pradesh,133,9,17,17.8,
Bijnor,Uttar Pradesh,134,9,41.3,41.8,
Moradabad,Uttar Pradesh,135,9,30.9,29,34.8
Rampur,Uttar Pradesh,136,9,41.9,44.5,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,46.6,44.4,
Meerut,Uttar Pradesh,138,9,25.9,25.4,26.2
Baghpat,Uttar Pradesh,139,9,40.8,42.5,
Ghaziabad,Uttar Pradesh,140,9,34.9,25.7,39.3
Gautam Buddha Nagar,Uttar Pradesh,141,9,29.5,31.2,28.4
Bulandshahr,Uttar Pradesh,142,9,44,46.3,
Aligarh,Uttar Pradesh,143,9,20.9,19.3,24.6
Mahamaya Nagar,Uttar Pradesh,144,9,23.6,24.2,
Mathura,Uttar Pradesh,145,9,30.8,32.6,
Agra,Uttar Pradesh,146,9,34.2,34.6,33.6
Firozabad,Uttar Pradesh,147,9,36.5,36.9,35.7
Mainpuri,Uttar Pradesh,148,9,35.5,37.2,
Budaun,Uttar Pradesh,149,9,32.5,31.2,
Bareilly,Uttar Pradesh,150,9,17,15.7,19.6
Pilibhit,Uttar Pradesh,151,9,22.6,22.1,
Shahjahanpur,Uttar Pradesh,152,9,29.7,29,
Kheri,Uttar Pradesh,153,9,39.4,38.2,
Sitapur,Uttar Pradesh,154,9,43.9,45.3,
Hardoi,Uttar Pradesh,155,9,59.9,59.9,
Unnao,Uttar Pradesh,156,9,44.1,43.6,
Lucknow,Uttar Pradesh,157,9,36.2,35.7,36.6
Rae Bareli,Uttar Pradesh,158,9,40.5,42,
Farrukhabad,Uttar Pradesh,159,9,23.4,25.3,
Kannauj,Uttar Pradesh,160,9,36.8,36.3,
Etawah,Uttar Pradesh,161,9,32.2,32.5,
Auraiya,Uttar Pradesh,162,9,41.6,44.6,
Kanpur Dehat,Uttar Pradesh,163,9,52.8,53.9,
Kanpur Nagar,Uttar Pradesh,164,9,29.4,23.5,33
Jalaun,Uttar Pradesh,165,9,36.6,37.4,
Jhansi,Uttar Pradesh,166,9,46.4,44.6,49.3
Lalitpur,Uttar Pradesh,167,9,55.6,54.9,
Hamirpur,Uttar Pradesh,168,9,60.9,62.2,
Mahoba,Uttar Pradesh,169,9,44.8,43.3,
Banda,Uttar Pradesh,170,9,25.4,22.5,
Chitrakoot,Uttar Pradesh,171,9,46.4,46.5,
Fatehpur,Uttar Pradesh,172,9,36.6,37.5,
Pratapgarh,Uttar Pradesh,173,9,48.1,48.7,
Kaushambi,Uttar Pradesh,174,9,39.8,41.5,
Allahabad,Uttar Pradesh,175,9,58,56.8,
Bara Banki,Uttar Pradesh,176,9,43,43.1,
Faizabad,Uttar Pradesh,177,9,40.4,41.5,
Ambedkar Nagar,Uttar Pradesh,178,9,40.4,40.9,
Sultanpur,Uttar Pradesh,179,9,48.4,46.1,
Bahraich,Uttar Pradesh,180,9,19.3,19.4,
Shrawasti,Uttar Pradesh,181,9,28.7,29,
Balrampur,Uttar Pradesh,182,9,34.3,34.2,
Gonda,Uttar Pradesh,183,9,40.5,40.9,
