district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,47.2,41.8,
Badgam,Jammu & Kashmir,2,1,*,*,
Leh(Ladakh),Jammu & Kashmir,3,1,*,*,*
Kargil,Jammu & Kashmir,4,1,*,*,
Punch,Jammu & Kashmir,5,1,*,*,
Rajouri,Jammu & Kashmir,6,1,*,*,
Kathua,Jammu & Kashmir,7,1,*,*,
Baramula,Jammu & Kashmir,8,1,-86.8,*,
Bandipore,Jammu & Kashmir,9,1,-43.1,-37.4,
Srinagar,Jammu & Kashmir,10,1,-94.6,,-94.6
Ganderbal,Jammu & Kashmir,11,1,*,*,
Pulwama,Jammu & Kashmir,12,1,-89.9,-90.3,
Shupiyan,Jammu & Kashmir,13,1,-90.3,-88,
Anantnag,Jammu & Kashmir,14,1,*,*,
Kulgam,Jammu & Kashmir,15,1,*,*,
Doda,Jammu & Kashmir,16,1,*,*,
Ramban,Jammu & Kashmir,17,1,*,*,
Kishtwar,Jammu & Kashmir,18,1,*,*,
Udhampur,Jammu & Kashmir,19,1,*,*,
Reasi,Jammu & Kashmir,20,1,*,*,
Jammu,Jammu & Kashmir,21,1,*,*,*
Samba,Jammu & Kashmir,22,1,-63.6,*,
Chamba,Himachal Pradesh,23,2,-51,-51.4,
Kangra,Himachal Pradesh,24,2,-37.1,-37.1,
Lahul and Spiti,Himachal Pradesh,25,2,-54.3,-54.3,
Kullu,Himachal Pradesh,26,2,-59,*,
Mandi,Himachal Pradesh,27,2,-37.7,-40,
Hamirpur,Himachal Pradesh,28,2,-54.1,-54.3,
Una,Himachal Pradesh,29,2,-51.8,-54.2,
Bilaspur,Himachal Pradesh,30,2,29.8,29.5,
Solan,Himachal Pradesh,31,2,-53.4,-46.4,
Sirmaur,Himachal Pradesh,32,2,-49.4,-44.1,
Shimla,Himachal Pradesh,33,2,*,*,
Kinnaur,Himachal Pradesh,34,2,-52.3,-52.3,
Gurdaspur,Punjab,35,3,50.7,52.3,
Kapurthala,Punjab,36,3,54,-61.5,-39.3
Jalandhar,Punjab,37,3,50.6,-44.2,53.7
Hoshiarpur,Punjab,38,3,36.2,-37.5,
Sahid Bhagat Singh Nagar,Punjab,39,3,60.1,61.6,*
Fatehgarh Sahib,Punjab,40,3,37.8,-32.5,46.2
Ludhiana,Punjab,41,3,36.3,32,38.2
Moga,Punjab,42,3,22.8,16.9,
Firozpur,Punjab,43,3,21.3,-32.1,
Muktsar,Punjab,44,3,27.8,28.1,
Faridkot,Punjab,45,3,45.8,-51.9,24.4
Bathinda,Punjab,46,3,38.5,-46,32.8
Mansa,Punjab,47,3,29.6,26.7,
Patiala,Punjab,48,3,27.7,24.1,30.5
Amritsar,Punjab,49,3,50.2,-37.6,55.7
Tarn Taran,Punjab,50,3,35.4,32.9,
Rup Nagar,Punjab,51,3,48.5,43.1,
Sahibzada Ajit Singh Nagar,Punjab,52,3,-41.5,*,-37.8
Sangrur,Punjab,53,3,33.5,-33.8,
Barnala,Punjab,54,3,29.5,-35,-19.3
Uttarkashi,Uttarakhand,56,5,*,*,
Chamoli,Uttarakhand,57,5,*,*,
Rudraprayag,Uttarakhand,58,5,*,*,
Tehri Garhwal,Uttarakhand,59,5,-31.2,-25.5,
Dehradun,Uttarakhand,60,5,34.8,40.8,30.9
Garhwal,Uttarakhand,61,5,-53.9,-50,
Pithoragarh,Uttarakhand,62,5,*,*,
Bageshwar,Uttarakhand,63,5,*,*,
Almora,Uttarakhand,64,5,-40.7,*,
Champawat,Uttarakhand,65,5,51.8,-47.6,
Nainital,Uttarakhand,66,5,64.7,62.6,66.6
Udham Singh Nagar,Uttarakhand,67,5,39.6,38.2,41.3
Hardwar,Uttarakhand,68,5,27.2,25,29.6
Panchkula,Haryana,69,6,22.4,*,-24.2
Ambala,Haryana,70,6,15.8,-6.5,-22.2
Yamunanagar,Haryana,71,6,27.8,28.7,-26
Kurukshetra,Haryana,72,6,29.9,33.5,
Kaithal,Haryana,73,6,31.7,35.5,
Karnal,Haryana,74,6,35.1,-39.7,29.5
Panipat,Haryana,75,6,29.4,35.1,-21
Sonipat,Haryana,76,6,19,-16.9,-23.1
Jind,Haryana,77,6,20.4,23.7,
Fatehabad,Haryana,78,6,15.6,16,
Sirsa,Haryana,79,6,31.3,34.7,
Hisar,Haryana,80,6,25.1,26.6,22
Bhiwani,Haryana,81,6,21.4,21.4,
Rohtak,Haryana,82,6,24.6,-11,-39.5
Jhajjar,Haryana,83,6,25.2,28.3,
Mahendragarh,Haryana,84,6,33.4,32,
Rewari,Haryana,85,6,25.5,22.8,
Gurgaon,Haryana,86,6,18.1,10.8,20
Mewat,Haryana,87,6,23.5,20.5,
Faridabad,Haryana,88,6,31.3,,31.7
Palwal,Haryana,89,6,22.2,20.6,
North West,NCT Delhi,90,7,-40.8,,-41.1
North,NCT Delhi,91,7,38.9,,38.3
North East,NCT Delhi,92,7,53.4,,53.4
East,NCT Delhi,93,7,-35.8,,-35.8
New Delhi,NCT Delhi,94,7,*,,*
Central,NCT Delhi,95,7,-46,,-46
West,NCT Delhi,96,7,32.9,,32.9
South West,NCT Delhi,97,7,46,,46
South,NCT Delhi,98,7,-46.1,,-46.1
Ganganagar,Rajasthan,99,8,34.9,32.8,
Hanumangarh,Rajasthan,100,8,20,21,
Bikaner,Rajasthan,101,8,24.9,-17.8,30.3
Churu,Rajasthan,102,8,11.4,10.1,
Jhunjhunun,Rajasthan,103,8,14.7,14.3,
Alwar,Rajasthan,104,8,27.9,22.9,
Bharatpur,Rajasthan,105,8,28.9,-32.3,
Dhaulpur,Rajasthan,106,8,-37.5,-32.8,
Karauli,Rajasthan,107,8,18.3,19,
Sawai Madhopur,Rajasthan,108,8,13.5,12.7,
Dausa,Rajasthan,109,8,21.2,20.3,
Jaipur,Rajasthan,110,8,20.2,12.2,28.4
Sikar,Rajasthan,111,8,20.9,20.4,
Nagaur,Rajasthan,112,8,22.2,26.3,
Jodhpur,Rajasthan,113,8,29.8,-20.6,36
Jaisalmer,Rajasthan,114,8,-38.3,-35.9,
Barmer,Rajasthan,115,8,27.9,24.5,
Jalor,Rajasthan,116,8,13.1,10.8,
Sirohi,Rajasthan,117,8,16.2,13,
Pali,Rajasthan,118,8,32.1,29.9,
Ajmer,Rajasthan,119,8,27.1,25.7,28.3
Tonk,Rajasthan,120,8,14.7,12.2,
Bundi,Rajasthan,121,8,-49.8,*,
