district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,12.8,11.4,
Badgam,Jammu & Kashmir,2,1,20.5,19.5,
Leh(Ladakh),Jammu & Kashmir,3,1,16.2,8.6,30.1
Kargil,Jammu & Kashmir,4,1,9.4,6.4,
Punch,Jammu & Kashmir,5,1,13.9,14,
Rajouri,Jammu & Kashmir,6,1,14.4,14.7,
Kathua,Jammu & Kashmir,7,1,12.3,13,
Baramula,Jammu & Kashmir,8,1,7.3,7.5,
Bandipore,Jammu & Kashmir,9,1,9.6,9.8,
Srinagar,Jammu & Kashmir,10,1,14.4,,14.4
Ganderbal,Jammu & Kashmir,11,1,19.3,18.8,
Pulwama,Jammu & Kashmir,12,1,11.4,11.4,
Shupiyan,Jammu & Kashmir,13,1,13,12.5,
Anantnag,Jammu & Kashmir,14,1,10.1,8.6,
Kulgam,Jammu & Kashmir,15,1,9.4,9.4,
Doda,Jammu & Kashmir,16,1,21.1,19.4,
Ramban,Jammu & Kashmir,17,1,45.1,44.2,
Kishtwar,Jammu & Kashmir,18,1,43.4,42.1,
Udhampur,Jammu & Kashmir,19,1,14.5,14.5,
Reasi,Jammu & Kashmir,20,1,14.4,14.7,
Jammu,Jammu & Kashmir,21,1,8.4,7.8,8.9
Samba,Jammu & Kashmir,22,1,7.4,7.5,
Chamba,Himachal Pradesh,23,2,5.3,4.8,
Kangra,Himachal Pradesh,24,2,11.5,11.7,
Lahul and Spiti,Himachal Pradesh,25,2,9.3,9.3,
Kullu,Himachal Pradesh,26,2,5.7,4.8,
Mandi,Himachal Pradesh,27,2,9.4,9.1,
Hamirpur,Himachal Pradesh,28,2,13.4,13.5,
Una,Himachal Pradesh,29,2,8.7,9,
Bilaspur,Himachal Pradesh,30,2,7.2,7.3,
Solan,Himachal Pradesh,31,2,11.2,9.5,
Sirmaur,Himachal Pradesh,32,2,9,8.4,
Shimla,Himachal Pradesh,33,2,10,10.6,
Kinnaur,Himachal Pradesh,34,2,11.4,11.4,
Gurdaspur,Punjab,35,3,29.3,30.1,
Kapurthala,Punjab,36,3,23.5,21,28.2
Jalandhar,Punjab,37,3,16.9,16.2,17.6
Hoshiarpur,Punjab,38,3,16.3,15.5,
Sahid Bhagat Singh Nagar,Punjab,39,3,13.7,15.2,7.5
Fatehgarh Sahib,Punjab,40,3,25.2,24,28.1
Ludhiana,Punjab,41,3,23,24.9,21.8
Moga,Punjab,42,3,18.7,19.7,
Firozpur,Punjab,43,3,17.3,14.5,
