district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,91,90,
Badgam,Jammu & Kashmir,2,1,97.1,96.4,
Leh(Ladakh),Jammu & Kashmir,3,1,96.9,95.7,99
Kargil,Jammu & Kashmir,4,1,85.7,85.8,
Punch,Jammu & Kashmir,5,1,79.6,79.8,
Rajouri,Jammu & Kashmir,6,1,75.8,75.8,
Kathua,Jammu & Kashmir,7,1,92,91.2,
Baramula,Jammu & Kashmir,8,1,93.8,92.6,
Bandipore,Jammu & Kashmir,9,1,88.7,85.2,
Srinagar,Jammu & Kashmir,10,1,99.2,,99.2
Ganderbal,Jammu & Kashmir,11,1,95.4,95.3,
Pulwama,Jammu & Kashmir,12,1,93.9,93.9,
Shupiyan,Jammu & Kashmir,13,1,92.1,92.1,
Anantnag,Jammu & Kashmir,14,1,91.2,87.7,
Kulgam,Jammu & Kashmir,15,1,89.5,87.7,
Doda,Jammu & Kashmir,16,1,49.6,47.6,
Ramban,Jammu & Kashmir,17,1,60.7,60.5,
Kishtwar,Jammu & Kashmir,18,1,64.7,63.3,
Udhampur,Jammu & Kashmir,19,1,82.7,81,
Reasi,Jammu & Kashmir,20,1,62.6,62.4,
Jammu,Jammu & Kashmir,21,1,91.8,86.8,98.4
Samba,Jammu & Kashmir,22,1,85.8,85.9,
Chamba,Himachal Pradesh,23,2,56.9,55.6,
Kangra,Himachal Pradesh,24,2,87.8,87.6,
Lahul and Spiti,Himachal Pradesh,25,2,73.3,73.3,
Kullu,Himachal Pradesh,26,2,70.5,70.1,
Mandi,Himachal Pradesh,27,2,64.3,62.3,
Hamirpur,Himachal Pradesh,28,2,90.9,90.5,
Una,Himachal Pradesh,29,2,80.9,80,
Bilaspur,Himachal Pradesh,30,2,82.9,82.4,
Solan,Himachal Pradesh,31,2,75.4,72.2,
Sirmaur,Himachal Pradesh,32,2,77.8,76,
Shimla,Himachal Pradesh,33,2,77.3,74.6,
Kinnaur,Himachal Pradesh,34,2,79.9,79.9,
Gurdaspur,Punjab,35,3,87.3,86.5,
Kapurthala,Punjab,36,3,91.2,95.6,83.6
Jalandhar,Punjab,37,3,95.7,96.8,95
Hoshiarpur,Punjab,38,3,91.3,92.9,
Sahid Bhagat Singh Nagar,Punjab,39,3,91.8,96,-75.8
Fatehgarh Sahib,Punjab,40,3,94.3,94.6,93.7
Ludhiana,Punjab,41,3,82.5,89.5,78.5
Moga,Punjab,42,3,93.1,92.3,
Firozpur,Punjab,43,3,86.6,85.9,
Muktsar,Punjab,44,3,93.6,93.3,
Faridkot,Punjab,45,3,95.5,96.5,92.9
Bathinda,Punjab,46,3,94.7,95.1,94.3
Mansa,Punjab,47,3,91.3,94.3,
Patiala,Punjab,48,3,96.9,96.6,97.2
Amritsar,Punjab,49,3,90,87.7,92.6
Tarn Taran,Punjab,50,3,90.5,90.4,
Rup Nagar,Punjab,51,3,91.3,92.8,
Sahibzada Ajit Singh Nagar,Punjab,52,3,88.9,84.9,92
Sangrur,Punjab,53,3,88,90.2,
Barnala,Punjab,54,3,96.3,95.8,97.5
Uttarkashi,Uttarakhand,56,5,65.1,64.4,
Chamoli,Uttarakhand,57,5,53.3,50.1,
Rudraprayag,Uttarakhand,58,5,66.5,63.6,
Tehri Garhwal,Uttarakhand,59,5,71.1,66.9,
Dehradun,Uttarakhand,60,5,83.7,81.7,85.4
Garhwal,Uttarakhand,61,5,74.5,72.3,
Pithoragarh,Uttarakhand,62,5,73,68.9,
Bageshwar,Uttarakhand,63,5,55.9,56,
Almora,Uttarakhand,64,5,66.3,64,
Champawat,Uttarakhand,65,5,73.3,71.9,
Nainital,Uttarakhand,66,5,64.7,54.3,81.9
Udham Singh Nagar,Uttarakhand,67,5,67.5,64.5,71.9
Hardwar,Uttarakhand,68,5,62.8,54.7,74.2
Panchkula,Haryana,69,6,96.5,98.7,94.9
Ambala,Haryana,70,6,96.1,95,97.6
Yamunanagar,Haryana,71,6,94.4,93.6,95.8
Kurukshetra,Haryana,72,6,91.7,92.4,
Kaithal,Haryana,73,6,83.6,83.1,
Karnal,Haryana,74,6,92.7,92.7,92.9
Panipat,Haryana,75,6,78.2,76.8,79.7
Sonipat,Haryana,76,6,83.7,84.9,81
Jind,Haryana,77,6,92.9,93,
Fatehabad,Haryana,78,6,91.2,91.5,
Sirsa,Haryana,79,6,85.1,83,
Hisar,Haryana,80,6,90.8,90.6,91.5
Bhiwani,Haryana,81,6,87.2,86.6,
Rohtak,Haryana,82,6,86.3,87,85.2
Jhajjar,Haryana,83,6,86.9,91.2,
Mahendragarh,Haryana,84,6,96.8,96.3,
Rewari,Haryana,85,6,90.2,90.6,
Gurgaon,Haryana,86,6,74.2,81.4,71.9
Mewat,Haryana,87,6,37.7,36.9,
Faridabad,Haryana,88,6,72,,73.3
Palwal,Haryana,89,6,56.3,49.2,
North West,NCT Delhi,90,7,78.1,,78.1
North,NCT Delhi,91,7,89.2,,89.1
North East,NCT Delhi,92,7,78.6,,78.6
East,NCT Delhi,93,7,85.2,,85.2
New Delhi,NCT Delhi,94,7,82.6,,82.6
Central,NCT Delhi,95,7,96.3,,96.3
West,NCT Delhi,96,7,88.4,,88.4
South West,NCT Delhi,97,7,91.9,,92.3
South,NCT Delhi,98,7,84.1,,84.1
Ganganagar,Rajasthan,99,8,88.8,91.9,
Hanumangarh,Rajasthan,100,8,84.2,83.4,
Bikaner,Rajasthan,101,8,73.4,67.4,86.6
Churu,Rajasthan,102,8,80.6,80.3,
Jhunjhunun,Rajasthan,103,8,96.9,97,
Alwar,Rajasthan,104,8,81.9,80.2,
Bharatpur,Rajasthan,105,8,79.6,77.3,
Dhaulpur,Rajasthan,106,8,85.4,85.7,
Karauli,Rajasthan,107,8,88.3,87.4,
Sawai Madhopur,Rajasthan,108,8,87.4,87.4,
Dausa,Rajasthan,109,8,89.6,89.2,
Jaipur,Rajasthan,110,8,93.9,95,92.7
Sikar,Rajasthan,111,8,92,90.9,
Nagaur,Rajasthan,112,8,87,88,
Jodhpur,Rajasthan,113,8,72.7,66.3,88.6
Jaisalmer,Rajasthan,114,8,49.8,48.7,
Barmer,Rajasthan,115,8,60.3,59.9,
Jalor,Rajasthan,116,8,83.9,83.3,
Sirohi,Rajasthan,117,8,84.2,82.6,
Pali,Rajasthan,118,8,83.1,81,
Ajmer,Rajasthan,119,8,87.2,85.9,90.2
Tonk,Rajasthan,120,8,93.6,95.7,
Bundi,Rajasthan,121,8,92.4,91.6,
Bhilwara,Rajasthan,122,8,81.8,80.8,
