district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,62.1,62.7,
Badgam,Jammu & Kashmir,2,1,55.4,55.4,
Leh(Ladakh),Jammu & Kashmir,3,1,43.3,39.1,50.4
Kargil,Jammu & Kashmir,4,1,48.8,47.2,
Punch,Jammu & Kashmir,5,1,43.3,42.6,
Rajouri,Jammu & Kashmir,6,1,45.8,45.7,
Kathua,Jammu & Kashmir,7,1,39.8,39.7,
Baramula,Jammu & Kashmir,8,1,53,54.1,
Bandipore,Jammu & Kashmir,9,1,46.3,43.8,
Srinagar,Jammu & Kashmir,10,1,35.9,,35.9
Ganderbal,Jammu & Kashmir,11,1,39,41.9,
Pulwama,Jammu & Kashmir,12,1,41.9,40.9,
Shupiyan,Jammu & Kashmir,13,1,36.6,37.7,
Anantnag,Jammu & Kashmir,14,1,25.6,23.4,
Kulgam,Jammu & Kashmir,15,1,46.7,46.4,
Doda,Jammu & Kashmir,16,1,31.6,31.4,
Ramban,Jammu & Kashmir,17,1,36.7,36.9,
Kishtwar,Jammu & Kashmir,18,1,44.5,43,
Udhampur,Jammu & Kashmir,19,1,57.5,56.5,
Reasi,Jammu & Kashmir,20,1,54.4,54.9,
Jammu,Jammu & Kashmir,21,1,33.7,29.8,38.3
Samba,Jammu & Kashmir,22,1,45.9,46.2,
Chamba,Himachal Pradesh,23,2,66.3,67,
Kangra,Himachal Pradesh,24,2,47.3,48.2,
Lahul and Spiti,Himachal Pradesh,25,2,94.7,94.7,
Kullu,Himachal Pradesh,26,2,54.9,56.3,
Mandi,Himachal Pradesh,27,2,37.8,35.1,
Hamirpur,Himachal Pradesh,28,2,41.2,40.7,
Una,Himachal Pradesh,29,2,56.6,55.6,
Bilaspur,Himachal Pradesh,30,2,28.3,29,
Solan,Himachal Pradesh,31,2,71.8,70,
Sirmaur,Himachal Pradesh,32,2,65.1,63.9,
Shimla,Himachal Pradesh,33,2,70,74.3,
Kinnaur,Himachal Pradesh,34,2,83.1,83.1,
Gurdaspur,Punjab,35,3,71.5,69.1,
Kapurthala,Punjab,36,3,67.2,71.9,59.6
Jalandhar,Punjab,37,3,60,65.2,56.7
Hoshiarpur,Punjab,38,3,59.7,59.8,
Sahid Bhagat Singh Nagar,Punjab,39,3,76.2,78,-68.9
Fatehgarh Sahib,Punjab,40,3,62.9,61.7,65.7
Ludhiana,Punjab,41,3,60.8,57.1,62.9
Moga,Punjab,42,3,50.4,49.6,
Firozpur,Punjab,43,3,46.4,46.8,
Muktsar,Punjab,44,3,63.9,65.4,
Faridkot,Punjab,45,3,60.6,60.2,61.6
Bathinda,Punjab,46,3,44.6,38.6,50.4
Mansa,Punjab,47,3,52.4,53.1,
Patiala,Punjab,48,3,49.3,53.3,44.4
Amritsar,Punjab,49,3,45,44.5,45.5
Tarn Taran,Punjab,50,3,53.3,53.6,
Rup Nagar,Punjab,51,3,69.6,67.8,
Sahibzada Ajit Singh Nagar,Punjab,52,3,66.7,78,56.7
Sangrur,Punjab,53,3,51.4,53.8,
Barnala,Punjab,54,3,51.5,52.9,48.8
Uttarkashi,Uttarakhand,56,5,76.2,76.3,
Chamoli,Uttarakhand,57,5,53.6,54,
Rudraprayag,Uttarakhand,58,5,58.6,60.3,
Tehri Garhwal,Uttarakhand,59,5,59.9,60.5,
Dehradun,Uttarakhand,60,5,50.6,50.8,50.3
Garhwal,Uttarakhand,61,5,58.1,57.8,
Pithoragarh,Uttarakhand,62,5,42.3,41.8,
Bageshwar,Uttarakhand,63,5,49,49.1,
Almora,Uttarakhand,64,5,48.6,48.2,
Champawat,Uttarakhand,65,5,46.1,42.6,
Nainital,Uttarakhand,66,5,58,55.8,61.6
Udham Singh Nagar,Uttarakhand,67,5,64.6,63.5,66.5
Hardwar,Uttarakhand,68,5,71.1,71.5,70.4
Panchkula,Haryana,69,6,66.4,78,58.9
Ambala,Haryana,70,6,75.1,66.2,87.6
Yamunanagar,Haryana,71,6,58,53.2,65.9
Kurukshetra,Haryana,72,6,63.4,63.9,
Kaithal,Haryana,73,6,68,69.7,
Karnal,Haryana,74,6,75.5,80.4,62.9
Panipat,Haryana,75,6,65.5,60.4,70.5
Sonipat,Haryana,76,6,58.6,60.7,54.3
Jind,Haryana,77,6,76.6,75.8,
Fatehabad,Haryana,78,6,70.5,73.6,
Sirsa,Haryana,79,6,72.4,74,
Hisar,Haryana,80,6,66.4,64.3,73.5
Bhiwani,Haryana,81,6,74.8,74.4,
Rohtak,Haryana,82,6,76.3,78.8,72
Jhajjar,Haryana,83,6,70.9,69.8,
Mahendragarh,Haryana,84,6,73.7,74.9,
Rewari,Haryana,85,6,77.8,81,
Gurgaon,Haryana,86,6,66.2,78.2,63
Mewat,Haryana,87,6,83.7,84.2,
Faridabad,Haryana,88,6,75,,75.3
Palwal,Haryana,89,6,75.2,78.2,
North West,NCT Delhi,90,7,73.4,,73.4
North,NCT Delhi,91,7,62.4,,61.7
North East,NCT Delhi,92,7,46.6,,46.6
East,NCT Delhi,93,7,48.7,,48.7
New Delhi,NCT Delhi,94,7,67.5,,67.5
Central,NCT Delhi,95,7,77.2,,77.2
West,NCT Delhi,96,7,64.8,,64.8
South West,NCT Delhi,97,7,64.8,,63.6
South,NCT Delhi,98,7,67.9,,67.9
Ganganagar,Rajasthan,99,8,40.2,40.3,
Hanumangarh,Rajasthan,100,8,46.2,47.9,
Bikaner,Rajasthan,101,8,51.2,49.4,55.2
Churu,Rajasthan,102,8,42.2,42.2,
Jhunjhunun,Rajasthan,103,8,46.2,48.6,
Alwar,Rajasthan,104,8,54,54.2,
Bharatpur,Rajasthan,105,8,56.4,56.2,
Dhaulpur,Rajasthan,106,8,50.1,50.3,
Karauli,Rajasthan,107,8,52.8,51.3,
Sawai Madhopur,Rajasthan,108,8,49.8,47.3,
Dausa,Rajasthan,109,8,45.2,44.1,
Jaipur,Rajasthan,110,8,49.5,48.6,50.4
Sikar,Rajasthan,111,8,48.8,49.9,
Nagaur,Rajasthan,112,8,50.8,53.3,
Jodhpur,Rajasthan,113,8,63.6,66.1,57.8
Jaisalmer,Rajasthan,114,8,42.5,43.2,
Barmer,Rajasthan,115,8,60.1,59.6,
Jalor,Rajasthan,116,8,67,68.4,
Sirohi,Rajasthan,117,8,69.8,68.5,
Pali,Rajasthan,118,8,53.4,53.9,
Ajmer,Rajasthan,119,8,68.7,71.3,62.8
Tonk,Rajasthan,120,8,74.3,76.3,
Bundi,Rajasthan,121,8,80,80.1,
Bhilwara,Rajasthan,122,8,71.7,72.6,
Rajsamand,Rajasthan,123,8,75.9,76.5,
Dungarpur,Rajasthan,124,8,76,76.5,
Banswara,Rajasthan,125,8,84.6,85.4,
Chittaurgarh,Rajasthan,126,8,71.1,72.4,
Kota,Rajasthan,127,8,73.8,80.6,69.2
Baran,Rajasthan,128,8,76.3,80,
