district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,27,24.3,
Badgam,Jammu & Kashmir,2,1,28.4,25.2,
Leh(Ladakh),Jammu & Kashmir,3,1,46.6,40.5,57.6
Kargil,Jammu & Kashmir,4,1,42.8,37.3,
Punch,Jammu & Kashmir,5,1,34.6,33.3,
Rajouri,Jammu & Kashmir,6,1,34.2,32.2,
Kathua,Jammu & Kashmir,7,1,44.9,41.4,
Baramula,Jammu & Kashmir,8,1,34.7,29.3,
Bandipore,Jammu & Kashmir,9,1,28.2,26.8,
Srinagar,Jammu & Kashmir,10,1,45.4,,45.9
Ganderbal,Jammu & Kashmir,11,1,28.3,22.9,
Pulwama,Jammu & Kashmir,12,1,37.9,37.2,
Shupiyan,Jammu & Kashmir,13,1,34.8,33.5,
Anantnag,Jammu & Kashmir,14,1,30.9,27.9,
Kulgam,Jammu & Kashmir,15,1,28,26.8,
Doda,Jammu & Kashmir,16,1,32.4,30,
Ramban,Jammu & Kashmir,17,1,23.6,22,
Kishtwar,Jammu & Kashmir,18,1,33.9,31.7,
Udhampur,Jammu & Kashmir,19,1,34,28.9,
Reasi,Jammu & Kashmir,20,1,32.3,32.1,
Jammu,Jammu & Kashmir,21,1,52.9,42.4,64.4
Samba,Jammu & Kashmir,22,1,46.3,45.9,
Chamba,Himachal Pradesh,23,2,48.4,47,
Kangra,Himachal Pradesh,24,2,65.8,65.7,
Lahul and Spiti,Himachal Pradesh,25,2,51.9,51.9,
Kullu,Himachal Pradesh,26,2,46.4,44.8,
Mandi,Himachal Pradesh,27,2,63.9,62.5,
Hamirpur,Himachal Pradesh,28,2,67.6,66.3,
Una,Himachal Pradesh,29,2,57.8,57.6,
Bilaspur,Himachal Pradesh,30,2,60.5,60.1,
Solan,Himachal Pradesh,31,2,53.4,51.1,
Sirmaur,Himachal Pradesh,32,2,48.6,45.5,
Shimla,Himachal Pradesh,33,2,63.5,56.8,
Kinnaur,Himachal Pradesh,34,2,57.6,57.6,
Gurdaspur,Punjab,35,3,62.7,57.6,
Kapurthala,Punjab,36,3,59.8,56.1,66.4
Jalandhar,Punjab,37,3,68.6,61.1,75.1
Hoshiarpur,Punjab,38,3,64.3,62.2,
Sahid Bhagat Singh Nagar,Punjab,39,3,58.4,57.9,60.4
Fatehgarh Sahib,Punjab,40,3,58.5,55.4,65.6
Ludhiana,Punjab,41,3,62.5,54,67.9
Moga,Punjab,42,3,47.1,41,
Firozpur,Punjab,43,3,34.5,27,
Muktsar,Punjab,44,3,47.6,40.5,
Faridkot,Punjab,45,3,50.3,46.9,59.7
