district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,89.2,86.6,
Badgam,Jammu & Kashmir,2,1,96.8,96.5,
Leh(Ladakh),Jammu & Kashmir,3,1,70.9,67.5,76.8
Kargil,Jammu & Kashmir,4,1,86.7,83.8,
Punch,Jammu & Kashmir,5,1,74.4,73,
Rajouri,Jammu & Kashmir,6,1,66.4,64,
Kathua,Jammu & Kashmir,7,1,84.6,82,
Baramula,Jammu & Kashmir,8,1,92.6,90.6,
Bandipore,Jammu & Kashmir,9,1,91.4,89.1,
Srinagar,Jammu & Kashmir,10,1,97.3,,97.4
Ganderbal,Jammu & Kashmir,11,1,95.9,95,
Pulwama,Jammu & Kashmir,12,1,95.8,95.6,
Shupiyan,Jammu & Kashmir,13,1,94.5,94.1,
Anantnag,Jammu & Kashmir,14,1,95.4,93.1,
Kulgam,Jammu & Kashmir,15,1,98.1,98,
Doda,Jammu & Kashmir,16,1,86.3,85.9,
Ramban,Jammu & Kashmir,17,1,81.6,81.1,
Kishtwar,Jammu & Kashmir,18,1,87.1,86.1,
Udhampur,Jammu & Kashmir,19,1,64.5,59.1,
Reasi,Jammu & Kashmir,20,1,71.1,68.9,
Jammu,Jammu & Kashmir,21,1,97.1,94.5,99.5
Samba,Jammu & Kashmir,22,1,95.4,95.1,
Chamba,Himachal Pradesh,23,2,89.4,88.9,
Kangra,Himachal Pradesh,24,2,97.8,97.7,
Lahul and Spiti,Himachal Pradesh,25,2,97.1,97.1,
Kullu,Himachal Pradesh,26,2,94.7,94.4,
Mandi,Himachal Pradesh,27,2,96,97,
Hamirpur,Himachal Pradesh,28,2,96.8,96.5,
Una,Himachal Pradesh,29,2,98.5,98.4,
Bilaspur,Himachal Pradesh,30,2,82.8,84.4,
Solan,Himachal Pradesh,31,2,91.9,93.1,
Sirmaur,Himachal Pradesh,32,2,90.7,89.2,
Shimla,Himachal Pradesh,33,2,97.8,96.9,
Kinnaur,Himachal Pradesh,34,2,92.7,92.7,
Gurdaspur,Punjab,35,3,99.6,99.8,
Kapurthala,Punjab,36,3,98.8,98.7,99.1
Jalandhar,Punjab,37,3,99.8,99.6,100
Hoshiarpur,Punjab,38,3,99.8,100,
Sahid Bhagat Singh Nagar,Punjab,39,3,99.9,99.8,100
Fatehgarh Sahib,Punjab,40,3,99.5,99.8,99
Ludhiana,Punjab,41,3,100,100,100
Moga,Punjab,42,3,99.1,98.8,
Firozpur,Punjab,43,3,96.8,96.8,
Muktsar,Punjab,44,3,98.7,99.1,
Faridkot,Punjab,45,3,97.3,97.7,96.2
Bathinda,Punjab,46,3,96.7,96.8,96.6
Mansa,Punjab,47,3,98.4,98.4,
Patiala,Punjab,48,3,99.4,99.5,99.2
Amritsar,Punjab,49,3,100,100,100
Tarn Taran,Punjab,50,3,100,100,
Rup Nagar,Punjab,51,3,99.8,99.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,99.4,99.5,99.3
Sangrur,Punjab,53,3,98.6,97.8,
Barnala,Punjab,54,3,98.9,98.3,100
Uttarkashi,Uttarakhand,56,5,75.1,72.9,
Chamoli,Uttarakhand,57,5,93.2,91.8,
Rudraprayag,Uttarakhand,58,5,86.5,85.7,
Tehri Garhwal,Uttarakhand,59,5,77.4,72.2,
Dehradun,Uttarakhand,60,5,99.5,99.2,99.7
Garhwal,Uttarakhand,61,5,88.1,86,
Pithoragarh,Uttarakhand,62,5,83.9,81.6,
Bageshwar,Uttarakhand,63,5,83,83.2,
Almora,Uttarakhand,64,5,83.9,82.3,
Champawat,Uttarakhand,65,5,89.5,87.7,
Nainital,Uttarakhand,66,5,95.9,93.7,98.7
Udham Singh Nagar,Uttarakhand,67,5,97.6,98,97
Hardwar,Uttarakhand,68,5,99.1,99,99.2
Panchkula,Haryana,69,6,99.5,99.1,99.8
Ambala,Haryana,70,6,99.7,99.8,99.6
Yamunanagar,Haryana,71,6,99.7,100,99.3
Kurukshetra,Haryana,72,6,99.8,99.7,
Kaithal,Haryana,73,6,98.8,98.3,
Karnal,Haryana,74,6,100,100,100
Panipat,Haryana,75,6,99.7,99.6,99.8
Sonipat,Haryana,76,6,94.7,95.2,93.7
Jind,Haryana,77,6,91.4,89.4,
Fatehabad,Haryana,78,6,99.8,100,
Sirsa,Haryana,79,6,98.2,97.9,
Hisar,Haryana,80,6,93.9,92.1,97.6
Bhiwani,Haryana,81,6,89.8,87.3,
Rohtak,Haryana,82,6,98.3,97.2,99.8
Jhajjar,Haryana,83,6,93,93.8,
Mahendragarh,Haryana,84,6,96,95.6,
Rewari,Haryana,85,6,93.5,92.2,
Gurgaon,Haryana,86,6,97.9,95.1,98.6
Mewat,Haryana,87,6,78.9,75.2,
Faridabad,Haryana,88,6,51.1,,46
Palwal,Haryana,89,6,93.6,92.4,
North West,NCT Delhi,90,7,79,,79.1
North,NCT Delhi,91,7,86.9,,88.2
North East,NCT Delhi,92,7,96.6,,96.6
East,NCT Delhi,93,7,92.1,,92.1
New Delhi,NCT Delhi,94,7,88.5,,88.5
Central,NCT Delhi,95,7,95.1,,95.1
West,NCT Delhi,96,7,93.8,,93.8
South West,NCT Delhi,97,7,82.1,,82.2
South,NCT Delhi,98,7,76.8,,76.8
Ganganagar,Rajasthan,99,8,92.1,90.7,
Hanumangarh,Rajasthan,100,8,96.6,95.7,
Bikaner,Rajasthan,101,8,86.2,78.9,98
Churu,Rajasthan,102,8,83.6,84.8,
Jhunjhunun,Rajasthan,103,8,88.3,90.7,
Alwar,Rajasthan,104,8,97.9,97.9,
Bharatpur,Rajasthan,105,8,73.7,81,
Dhaulpur,Rajasthan,106,8,91.4,92.3,
Karauli,Rajasthan,107,8,86.2,84.3,
Sawai Madhopur,Rajasthan,108,8,85.2,86.6,
Dausa,Rajasthan,109,8,94,94.5,
Jaipur,Rajasthan,110,8,93.7,91.5,95.6
Sikar,Rajasthan,111,8,90.9,91.2,
Nagaur,Rajasthan,112,8,66.1,68.4,
Jodhpur,Rajasthan,113,8,76.9,64,98.9
Jaisalmer,Rajasthan,114,8,56.7,54.3,
Barmer,Rajasthan,115,8,70.1,68.6,
Jalor,Rajasthan,116,8,79,79.3,
Sirohi,Rajasthan,117,8,90.3,89.5,
Pali,Rajasthan,118,8,80.3,77.1,
Ajmer,Rajasthan,119,8,86.2,78.9,96.6
Tonk,Rajasthan,120,8,90.2,87.4,
Bundi,Rajasthan,121,8,90.8,88.5,
Bhilwara,Rajasthan,122,8,82.6,78.8,
Rajsamand,Rajasthan,123,8,80.7,77.7,
Dungarpur,Rajasthan,124,8,90.7,90.9,
Banswara,Rajasthan,125,8,92,91.5,
Chittaurgarh,Rajasthan,126,8,88.8,87.3,
Kota,Rajasthan,127,8,96.9,94.3,98.3
Baran,Rajasthan,128,8,91.4,90.7,
Jhalawar,Rajasthan,129,8,84.5,82.2,
Udaipur,Rajasthan,130,8,77.9,73.2,
Pratapgarh,Rajasthan,131,8,83.1,83,
Saharanpur,Uttar Pradesh,132,9,99.3,99.7,98.5
Muzaffarnagar,Uttar Pradesh,133,9,99.6,100,
Bijnor,Uttar Pradesh,134,9,99.9,100,
Moradabad,Uttar Pradesh,135,9,99.6,100,99
Rampur,Uttar Pradesh,136,9,99.8,100,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,99.9,100,
Meerut,Uttar Pradesh,138,9,99.5,99.7,99.4
Baghpat,Uttar Pradesh,139,9,99.4,99.7,
Ghaziabad,Uttar Pradesh,140,9,84.9,98.2,80.5
Gautam Buddha Nagar,Uttar Pradesh,141,9,63.6,95.5,51
Bulandshahr,Uttar Pradesh,142,9,99.6,99.8,
Aligarh,Uttar Pradesh,143,9,97.8,98,97.3
Mahamaya Nagar,Uttar Pradesh,144,9,96.3,98.6,
Mathura,Uttar Pradesh,145,9,84.2,95.1,
Agra,Uttar Pradesh,146,9,71.3,95.6,48.1
Firozabad,Uttar Pradesh,147,9,96.4,99.4,91
Mainpuri,Uttar Pradesh,148,9,99.3,99.4,
Budaun,Uttar Pradesh,149,9,100,100,
Bareilly,Uttar Pradesh,150,9,99,100,97.4
Pilibhit,Uttar Pradesh,151,9,99.5,100,
Shahjahanpur,Uttar Pradesh,152,9,99.8,100,
Kheri,Uttar Pradesh,153,9,99.1,99.2,
Sitapur,Uttar Pradesh,154,9,98.7,98.5,
Hardoi,Uttar Pradesh,155,9,99.6,99.7,
Unnao,Uttar Pradesh,156,9,97.7,97.4,
Lucknow,Uttar Pradesh,157,9,98.9,99.5,98.6
Rae Bareli,Uttar Pradesh,158,9,98.4,98.4,
Farrukhabad,Uttar Pradesh,159,9,99.9,99.9,
Kannauj,Uttar Pradesh,160,9,99.7,99.9,
Etawah,Uttar Pradesh,161,9,98.6,98.9,
Auraiya,Uttar Pradesh,162,9,98.3,98.1,
Kanpur Dehat,Uttar Pradesh,163,9,98.7,98.9,
Kanpur Nagar,Uttar Pradesh,164,9,99.2,99,99.2
