district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,14.1,11.7,
Badgam,Jammu & Kashmir,2,1,34.3,35.7,
Leh(Ladakh),Jammu & Kashmir,3,1,28,30.1,24.5
Kargil,Jammu & Kashmir,4,1,17.8,18.8,
Punch,Jammu & Kashmir,5,1,12.7,12.9,
Rajouri,Jammu & Kashmir,6,1,13.1,13.7,
Kathua,Jammu & Kashmir,7,1,39,37.4,
Baramula,Jammu & Kashmir,8,1,7.5,6.6,
Bandipore,Jammu & Kashmir,9,1,16.5,15.2,
Srinagar,Jammu & Kashmir,10,1,33.8,,33.9
Ganderbal,Jammu & Kashmir,11,1,26.1,25.9,
Pulwama,Jammu & Kashmir,12,1,7.8,8.2,
Shupiyan,Jammu & Kashmir,13,1,5.1,5.5,
Anantnag,Jammu & Kashmir,14,1,9.6,9.5,
Kulgam,Jammu & Kashmir,15,1,6.8,7.1,
Doda,Jammu & Kashmir,16,1,7.1,6.2,
Ramban,Jammu & Kashmir,17,1,15.2,14.7,
Kishtwar,Jammu & Kashmir,18,1,20.2,18.7,
Udhampur,Jammu & Kashmir,19,1,43.5,43.7,
Reasi,Jammu & Kashmir,20,1,9.6,8.7,
Jammu,Jammu & Kashmir,21,1,31.8,34.4,28.3
Samba,Jammu & Kashmir,22,1,17.9,18.2,
Chamba,Himachal Pradesh,23,2,18.7,17.3,
Kangra,Himachal Pradesh,24,2,40.3,39.1,
Lahul and Spiti,Himachal Pradesh,25,2,36.7,36.7,
Kullu,Himachal Pradesh,26,2,22.9,22.3,
Mandi,Himachal Pradesh,27,2,19.3,17.9,
Hamirpur,Himachal Pradesh,28,2,32.9,32.4,
Una,Himachal Pradesh,29,2,33.2,32.1,
Bilaspur,Himachal Pradesh,30,2,23.2,21.6,
Solan,Himachal Pradesh,31,2,34.7,30.9,
Sirmaur,Himachal Pradesh,32,2,18.5,17.7,
Shimla,Himachal Pradesh,33,2,32.4,37.5,
Kinnaur,Himachal Pradesh,34,2,36.2,36.2,
Gurdaspur,Punjab,35,3,42.1,43.7,
Kapurthala,Punjab,36,3,65.4,72.7,52.3
Jalandhar,Punjab,37,3,42.7,34.6,47.4
Hoshiarpur,Punjab,38,3,47.4,41.1,
Sahid Bhagat Singh Nagar,Punjab,39,3,47.9,51.6,-34.9
Fatehgarh Sahib,Punjab,40,3,44.3,45.4,42.2
Ludhiana,Punjab,41,3,48.1,56.3,43.1
Moga,Punjab,42,3,44.2,39.9,
Firozpur,Punjab,43,3,50.9,50.1,
Muktsar,Punjab,44,3,42.9,49.2,
Faridkot,Punjab,45,3,37.6,37.2,38.6
Bathinda,Punjab,46,3,46.7,49.2,44.2
Mansa,Punjab,47,3,44.6,46.1,
Patiala,Punjab,48,3,44.6,54.2,34.1
Amritsar,Punjab,49,3,66.7,63.6,69.8
Tarn Taran,Punjab,50,3,47,43.4,
Rup Nagar,Punjab,51,3,47.8,51.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,46.4,42,49.7
Sangrur,Punjab,53,3,35.6,38,
Barnala,Punjab,54,3,33.6,32.7,35.4
Uttarkashi,Uttarakhand,56,5,14.4,13.4,
Chamoli,Uttarakhand,57,5,30.9,30.9,
Rudraprayag,Uttarakhand,58,5,30.2,28.9,
Tehri Garhwal,Uttarakhand,59,5,10.7,9,
Dehradun,Uttarakhand,60,5,31,24.1,37
Garhwal,Uttarakhand,61,5,15.7,14.4,
Pithoragarh,Uttarakhand,62,5,12,12.9,
Bageshwar,Uttarakhand,63,5,14.8,13.6,
Almora,Uttarakhand,64,5,29.6,27.9,
Champawat,Uttarakhand,65,5,10.8,9.6,
Nainital,Uttarakhand,66,5,18.4,15.4,22.9
Udham Singh Nagar,Uttarakhand,67,5,14.5,15,13.7
Hardwar,Uttarakhand,68,5,16.2,12.1,21.2
Panchkula,Haryana,69,6,36.2,40.5,33.2
Ambala,Haryana,70,6,16,19.2,12.6
Yamunanagar,Haryana,71,6,31.4,32.9,29
Kurukshetra,Haryana,72,6,39.5,46,
Kaithal,Haryana,73,6,23.5,19.7,
Karnal,Haryana,74,6,24.9,24.4,26.3
Panipat,Haryana,75,6,17.7,14.2,20.9
Sonipat,Haryana,76,6,21.2,24.7,13.3
Jind,Haryana,77,6,19.8,18.2,
Fatehabad,Haryana,78,6,39.9,39.9,
Sirsa,Haryana,79,6,19.6,22.8,
Hisar,Haryana,80,6,29.6,33,18.4
Bhiwani,Haryana,81,6,21.3,20.2,
Rohtak,Haryana,82,6,33.4,34.9,31.2
Jhajjar,Haryana,83,6,24.8,30.8,
Mahendragarh,Haryana,84,6,28.8,27.3,
Rewari,Haryana,85,6,23.3,21.3,
Gurgaon,Haryana,86,6,13.7,9.2,14.9
Mewat,Haryana,87,6,4.7,4.2,
Faridabad,Haryana,88,6,16.4,,17.8
Palwal,Haryana,89,6,7.6,8.5,
North West,NCT Delhi,90,7,26.5,,26.6
North,NCT Delhi,91,7,12.5,,12.7
North East,NCT Delhi,92,7,21,,21
East,NCT Delhi,93,7,8.8,,8.8
New Delhi,NCT Delhi,94,7,5.1,,5.1
Central,NCT Delhi,95,7,23.2,,23.2
West,NCT Delhi,96,7,32.4,,32.4
South West,NCT Delhi,97,7,20.7,,20.5
South,NCT Delhi,98,7,9.5,,9.5
Ganganagar,Rajasthan,99,8,29.9,25,
Hanumangarh,Rajasthan,100,8,21.1,21.8,
Bikaner,Rajasthan,101,8,22.3,23.5,20
Churu,Rajasthan,102,8,14.9,12.5,
Jhunjhunun,Rajasthan,103,8,21.1,23.6,
Alwar,Rajasthan,104,8,14.6,13.4,
Bharatpur,Rajasthan,105,8,16.1,16.5,
Dhaulpur,Rajasthan,106,8,18,17.9,
Karauli,Rajasthan,107,8,20.3,18.7,
Sawai Madhopur,Rajasthan,108,8,24,21.8,
Dausa,Rajasthan,109,8,10.8,10.9,
Jaipur,Rajasthan,110,8,24.2,28.2,20
Sikar,Rajasthan,111,8,26.1,25.2,
Nagaur,Rajasthan,112,8,20.6,20.8,
Jodhpur,Rajasthan,113,8,26.9,25.4,30.1
Jaisalmer,Rajasthan,114,8,11.6,12.1,
Barmer,Rajasthan,115,8,19.2,18.8,
Jalor,Rajasthan,116,8,28.7,26.6,
Sirohi,Rajasthan,117,8,18.4,16.6,
Pali,Rajasthan,118,8,12.9,10.2,
Ajmer,Rajasthan,119,8,26.5,25.7,28.1
Tonk,Rajasthan,120,8,26.3,26.8,
Bundi,Rajasthan,121,8,24.5,25.3,
Bhilwara,Rajasthan,122,8,22.3,22.3,
Rajsamand,Rajasthan,123,8,33.2,33.6,
Dungarpur,Rajasthan,124,8,31.5,29.7,
Banswara,Rajasthan,125,8,34,35.6,
Chittaurgarh,Rajasthan,126,8,14.2,14.3,
Kota,Rajasthan,127,8,35.2,40.8,31.6
Baran,Rajasthan,128,8,31.2,31.3,
Jhalawar,Rajasthan,129,8,17.3,18,
Udaipur,Rajasthan,130,8,21.3,20.6,
Pratapgarh,Rajasthan,131,8,22.9,21.7,
Saharanpur,Uttar Pradesh,132,9,59.8,59.5,60.5
Muzaffarnagar,Uttar Pradesh,133,9,45.9,35.4,
Bijnor,Uttar Pradesh,134,9,36.6,36.9,
Moradabad,Uttar Pradesh,135,9,57.2,55.7,60.5
Rampur,Uttar Pradesh,136,9,52.3,50.8,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,30.6,30.8,
Meerut,Uttar Pradesh,138,9,38.7,46.4,34.6
Baghpat,Uttar Pradesh,139,9,56,58.2,
Ghaziabad,Uttar Pradesh,140,9,41.3,53.8,35.9
Gautam Buddha Nagar,Uttar Pradesh,141,9,33.7,27.5,37.2
Bulandshahr,Uttar Pradesh,142,9,22.9,23,
Aligarh,Uttar Pradesh,143,9,39.8,35,50.1
Mahamaya Nagar,Uttar Pradesh,144,9,33.2,33.8,
Mathura,Uttar Pradesh,145,9,24.3,18.9,
Agra,Uttar Pradesh,146,9,32,29.2,35.6
Firozabad,Uttar Pradesh,147,9,27.3,25.2,31.4
Mainpuri,Uttar Pradesh,148,9,16.2,15.3,
Budaun,Uttar Pradesh,149,9,42,43.4,
Bareilly,Uttar Pradesh,150,9,48.2,45.7,52.8
Pilibhit,Uttar Pradesh,151,9,44.8,45.5,
Shahjahanpur,Uttar Pradesh,152,9,41.2,39.8,
Kheri,Uttar Pradesh,153,9,7.7,8.1,
Sitapur,Uttar Pradesh,154,9,22.5,23.4,
Hardoi,Uttar Pradesh,155,9,4.9,4.8,
Unnao,Uttar Pradesh,156,9,18.6,21,
Lucknow,Uttar Pradesh,157,9,20.1,20.8,19.5
Rae Bareli,Uttar Pradesh,158,9,21.8,18.7,
Farrukhabad,Uttar Pradesh,159,9,17.5,18.3,
Kannauj,Uttar Pradesh,160,9,15.7,17,
Etawah,Uttar Pradesh,161,9,31.4,25.8,
Auraiya,Uttar Pradesh,162,9,3.6,3.7,
Kanpur Dehat,Uttar Pradesh,163,9,16.6,15.8,
Kanpur Nagar,Uttar Pradesh,164,9,28.2,20.6,32.3
Jalaun,Uttar Pradesh,165,9,3.9,4.3,
Jhansi,Uttar Pradesh,166,9,20.7,22.1,18.9
Lalitpur,Uttar Pradesh,167,9,19.1,18.2,
