district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,87.8,88,
Badgam,Jammu & Kashmir,2,1,96.7,96.2,
Leh(Ladakh),Jammu & Kashmir,3,1,91.4,-89.1,-94.4
Kargil,Jammu & Kashmir,4,1,92.9,91.1,
Punch,Jammu & Kashmir,5,1,89.2,88.5,
Rajouri,Jammu & Kashmir,6,1,58.4,57.2,
Kathua,Jammu & Kashmir,7,1,89.8,89,
Baramula,Jammu & Kashmir,8,1,93.4,93.4,
Bandipore,Jammu & Kashmir,9,1,92.7,95,
Srinagar,Jammu & Kashmir,10,1,-89.3,,-89.1
Ganderbal,Jammu & Kashmir,11,1,94.2,93.4,
Pulwama,Jammu & Kashmir,12,1,95.7,95.6,
Shupiyan,Jammu & Kashmir,13,1,88.2,87.3,
Anantnag,Jammu & Kashmir,14,1,92,89.6,
Kulgam,Jammu & Kashmir,15,1,89.4,87.9,
Doda,Jammu & Kashmir,16,1,65.8,63.1,
Ramban,Jammu & Kashmir,17,1,71.6,71.2,
Kishtwar,Jammu & Kashmir,18,1,84.7,82.8,
Udhampur,Jammu & Kashmir,19,1,83.9,82.2,
Reasi,Jammu & Kashmir,20,1,79.1,78.1,
Jammu,Jammu & Kashmir,21,1,-88.4,*,-93
Samba,Jammu & Kashmir,22,1,80.8,82.7,
Chamba,Himachal Pradesh,23,2,84.8,84.6,
Kangra,Himachal Pradesh,24,2,-81,-81,
Lahul and Spiti,Himachal Pradesh,25,2,-91.7,-91.7,
Kullu,Himachal Pradesh,26,2,92.4,-94.1,
Mandi,Himachal Pradesh,27,2,94.4,93.8,
Hamirpur,Himachal Pradesh,28,2,77.6,-78,
Una,Himachal Pradesh,29,2,75.5,74.7,
Bilaspur,Himachal Pradesh,30,2,-86.1,-87.3,
Solan,Himachal Pradesh,31,2,-89.6,-92.2,
Sirmaur,Himachal Pradesh,32,2,98.3,98.1,
Shimla,Himachal Pradesh,33,2,-97.8,-97.6,
Kinnaur,Himachal Pradesh,34,2,-100,-100,
Gurdaspur,Punjab,35,3,96.1,-97.9,
Kapurthala,Punjab,36,3,-100,*,-100
Jalandhar,Punjab,37,3,-97,*,-95.1
Hoshiarpur,Punjab,38,3,-95.2,-94.6,
Sahid Bhagat Singh Nagar,Punjab,39,3,-97.8,-97.4,*
Fatehgarh Sahib,Punjab,40,3,94.6,-95.8,-92.3
Ludhiana,Punjab,41,3,-82.5,*,*
Moga,Punjab,42,3,94,-92.5,
Firozpur,Punjab,43,3,88.6,-83.8,
Muktsar,Punjab,44,3,96.9,-95.7,
Faridkot,Punjab,45,3,97.8,-96.7,-100
Bathinda,Punjab,46,3,-94.1,*,*
Mansa,Punjab,47,3,95.4,-97.9,
Patiala,Punjab,48,3,97.3,-96.4,-98.1
Amritsar,Punjab,49,3,91.9,-92.6,*
Tarn Taran,Punjab,50,3,98.3,98.1,
Rup Nagar,Punjab,51,3,-97.8,-97,
