district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,59,59.8,
Badgam,Jammu & Kashmir,2,1,53.6,52.5,
Leh(Ladakh),Jammu & Kashmir,3,1,33.6,31.2,38
Kargil,Jammu & Kashmir,4,1,29.7,31.7,
Punch,Jammu & Kashmir,5,1,28.2,27.7,
Rajouri,Jammu & Kashmir,6,1,33.4,34.4,
Kathua,Jammu & Kashmir,7,1,38.1,35.2,
Baramula,Jammu & Kashmir,8,1,44.9,46.4,
Bandipore,Jammu & Kashmir,9,1,43.3,42,
Srinagar,Jammu & Kashmir,10,1,48.8,,48.8
Ganderbal,Jammu & Kashmir,11,1,42.4,41.7,
Pulwama,Jammu & Kashmir,12,1,48.8,48.9,
Shupiyan,Jammu & Kashmir,13,1,38.8,39.5,
Anantnag,Jammu & Kashmir,14,1,26.8,27.8,
Kulgam,Jammu & Kashmir,15,1,42.3,41.6,
Doda,Jammu & Kashmir,16,1,20.7,20.7,
Ramban,Jammu & Kashmir,17,1,34.1,34.2,
Kishtwar,Jammu & Kashmir,18,1,40.3,39,
Udhampur,Jammu & Kashmir,19,1,50.3,47.8,
Reasi,Jammu & Kashmir,20,1,39.6,40.1,
Jammu,Jammu & Kashmir,21,1,35.6,34.7,36.6
Samba,Jammu & Kashmir,22,1,37.1,37.5,
Chamba,Himachal Pradesh,23,2,51.2,50.6,
Kangra,Himachal Pradesh,24,2,59.7,61.4,
Lahul and Spiti,Himachal Pradesh,25,2,83.2,83.2,
Kullu,Himachal Pradesh,26,2,59.5,62.3,
Mandi,Himachal Pradesh,27,2,39.7,37,
Hamirpur,Himachal Pradesh,28,2,35.8,36,
Una,Himachal Pradesh,29,2,46.9,47.5,
Bilaspur,Himachal Pradesh,30,2,39.1,39.4,
Solan,Himachal Pradesh,31,2,67.5,66.7,
Sirmaur,Himachal Pradesh,32,2,48,45.4,
Shimla,Himachal Pradesh,33,2,68.6,71.7,
Kinnaur,Himachal Pradesh,34,2,80.8,80.8,
Gurdaspur,Punjab,35,3,54.3,57.3,
Kapurthala,Punjab,36,3,56.6,60,50.4
Jalandhar,Punjab,37,3,53.9,57.7,50.6
Hoshiarpur,Punjab,38,3,61.3,59.7,
Sahid Bhagat Singh Nagar,Punjab,39,3,64.8,67.1,55
Fatehgarh Sahib,Punjab,40,3,53.3,50.7,59.4
