district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,1,1.2,
Badgam,Jammu & Kashmir,2,1,1,1.2,
Leh(Ladakh),Jammu & Kashmir,3,1,7.4,3.4,14.4
Kargil,Jammu & Kashmir,4,1,3.1,2.8,
Punch,Jammu & Kashmir,5,1,9.2,9.7,
Rajouri,Jammu & Kashmir,6,1,4.2,4.1,
Kathua,Jammu & Kashmir,7,1,4.2,4,
Baramula,Jammu & Kashmir,8,1,7.8,7.1,
Bandipore,Jammu & Kashmir,9,1,1.9,2.4,
Srinagar,Jammu & Kashmir,10,1,14.3,,13.4
Ganderbal,Jammu & Kashmir,11,1,1.9,2.3,
Pulwama,Jammu & Kashmir,12,1,5.1,5.3,
Shupiyan,Jammu & Kashmir,13,1,3.8,3.4,
Anantnag,Jammu & Kashmir,14,1,2.3,1.3,
Kulgam,Jammu & Kashmir,15,1,2.5,3.1,
Doda,Jammu & Kashmir,16,1,6.6,6.9,
Ramban,Jammu & Kashmir,17,1,7.6,7.7,
Kishtwar,Jammu & Kashmir,18,1,8.4,7.4,
Udhampur,Jammu & Kashmir,19,1,4.9,3.8,
Reasi,Jammu & Kashmir,20,1,6.8,7.2,
Jammu,Jammu & Kashmir,21,1,7.3,7.2,7.4
Samba,Jammu & Kashmir,22,1,1.4,1.5,
Chamba,Himachal Pradesh,23,2,4.8,5,
Kangra,Himachal Pradesh,24,2,2.4,2.4,
Lahul and Spiti,Himachal Pradesh,25,2,7.3,7.3,
Kullu,Himachal Pradesh,26,2,5.4,3.7,
Mandi,Himachal Pradesh,27,2,4.5,4.4,
Hamirpur,Himachal Pradesh,28,2,5,4.7,
Una,Himachal Pradesh,29,2,3.5,3.7,
Bilaspur,Himachal Pradesh,30,2,4.5,4.7,
Solan,Himachal Pradesh,31,2,2.9,2.6,
Sirmaur,Himachal Pradesh,32,2,7.1,7.4,
Shimla,Himachal Pradesh,33,2,2.2,1.5,
Kinnaur,Himachal Pradesh,34,2,5.4,5.4,
Gurdaspur,Punjab,35,3,5.5,7.8,
Kapurthala,Punjab,36,3,2.4,3.2,1.1
Jalandhar,Punjab,37,3,5.6,5.6,5.6
Hoshiarpur,Punjab,38,3,7.1,4.8,
Sahid Bhagat Singh Nagar,Punjab,39,3,5.4,4.6,-9
Fatehgarh Sahib,Punjab,40,3,3.7,3.4,4.4
Ludhiana,Punjab,41,3,3.1,5.5,1.8
Moga,Punjab,42,3,8,7.9,
Firozpur,Punjab,43,3,12.5,10.4,
Muktsar,Punjab,44,3,4.1,3.9,
