district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,2.3,2.1,
Badgam,Jammu & Kashmir,2,1,3.1,2.1,
Leh(Ladakh),Jammu & Kashmir,3,1,2.6,2.1,3.5
Kargil,Jammu & Kashmir,4,1,1.9,2.1,
Punch,Jammu & Kashmir,5,1,6.5,7,
Rajouri,Jammu & Kashmir,6,1,4.2,4.3,
Kathua,Jammu & Kashmir,7,1,5.1,3.6,
Baramula,Jammu & Kashmir,8,1,0.6,0.6,
Bandipore,Jammu & Kashmir,9,1,3.4,3.4,
Srinagar,Jammu & Kashmir,10,1,2.4,,2.4
Ganderbal,Jammu & Kashmir,11,1,3.1,2.8,
Pulwama,Jammu & Kashmir,12,1,1.3,1.3,
Shupiyan,Jammu & Kashmir,13,1,0.8,0.7,
Anantnag,Jammu & Kashmir,14,1,2.6,1.7,
Kulgam,Jammu & Kashmir,15,1,1.9,1.8,
Doda,Jammu & Kashmir,16,1,2.9,2.2,
Ramban,Jammu & Kashmir,17,1,1.4,1.5,
Kishtwar,Jammu & Kashmir,18,1,1.6,1.7,
Udhampur,Jammu & Kashmir,19,1,5.2,4.2,
Reasi,Jammu & Kashmir,20,1,3.8,4.1,
Jammu,Jammu & Kashmir,21,1,11.9,9.3,14.4
Samba,Jammu & Kashmir,22,1,4.7,4.6,
Chamba,Himachal Pradesh,23,2,36.7,39,
Kangra,Himachal Pradesh,24,2,25.6,25.7,
Lahul and Spiti,Himachal Pradesh,25,2,21.3,21.3,
Kullu,Himachal Pradesh,26,2,19.8,21.2,
Mandi,Himachal Pradesh,27,2,37.2,37.3,
Hamirpur,Himachal Pradesh,28,2,12.8,12.9,
Una,Himachal Pradesh,29,2,10.7,10.6,
Bilaspur,Himachal Pradesh,30,2,18.4,18.5,
Solan,Himachal Pradesh,31,2,29.3,27.2,
Sirmaur,Himachal Pradesh,32,2,22.6,24.7,
Shimla,Himachal Pradesh,33,2,28.7,32.9,
Kinnaur,Himachal Pradesh,34,2,26.2,26.2,
Gurdaspur,Punjab,35,3,22.4,24.3,
Kapurthala,Punjab,36,3,24.9,22.4,29.2
Jalandhar,Punjab,37,3,16.4,17,15.9
Hoshiarpur,Punjab,38,3,16,16.9,
Sahid Bhagat Singh Nagar,Punjab,39,3,28.3,29.7,23.1
Fatehgarh Sahib,Punjab,40,3,40,44.9,30.2
Ludhiana,Punjab,41,3,24,33.5,18.4
Moga,Punjab,42,3,18.5,15.5,
Firozpur,Punjab,43,3,20.1,21.7,
Muktsar,Punjab,44,3,23,21,
Faridkot,Punjab,45,3,25,26.1,21.6
Bathinda,Punjab,46,3,17.8,18.7,16.8
Mansa,Punjab,47,3,22.6,23.3,
Patiala,Punjab,48,3,14.5,10.5,18.8
Amritsar,Punjab,49,3,19.7,16.1,22.7
Tarn Taran,Punjab,50,3,16.4,18.2,
Rup Nagar,Punjab,51,3,41.8,45.4,
Sahibzada Ajit Singh Nagar,Punjab,52,3,29.1,32.3,26.8
Sangrur,Punjab,53,3,15.3,13.5,
Barnala,Punjab,54,3,25.7,29.3,18.7
Uttarkashi,Uttarakhand,56,5,32.3,32.5,
Chamoli,Uttarakhand,57,5,18.8,20.1,
Rudraprayag,Uttarakhand,58,5,29.9,30.5,
Tehri Garhwal,Uttarakhand,59,5,37.4,37,
Dehradun,Uttarakhand,60,5,31.2,33.2,30.2
Garhwal,Uttarakhand,61,5,15.9,16.2,
Pithoragarh,Uttarakhand,62,5,20.9,19.7,
Bageshwar,Uttarakhand,63,5,34.2,34.5,
Almora,Uttarakhand,64,5,16.1,15.7,
Champawat,Uttarakhand,65,5,15.4,14.7,
Nainital,Uttarakhand,66,5,13.4,13.4,13.2
Udham Singh Nagar,Uttarakhand,67,5,10.3,13,6.4
Hardwar,Uttarakhand,68,5,6.4,4.6,8.5
Panchkula,Haryana,69,6,11.9,9.2,13.3
Ambala,Haryana,70,6,16.7,4.4,30.9
Yamunanagar,Haryana,71,6,11,7,16.7
Kurukshetra,Haryana,72,6,8.1,7.2,
Kaithal,Haryana,73,6,13.9,11.5,
Karnal,Haryana,74,6,11.4,8.7,16.9
Panipat,Haryana,75,6,9.5,12.1,6.8
Sonipat,Haryana,76,6,9.4,9,10.1
Jind,Haryana,77,6,9.5,10.5,
Fatehabad,Haryana,78,6,3.1,3.6,
Sirsa,Haryana,79,6,8.4,9.8,
Hisar,Haryana,80,6,10.3,6.5,18.1
Bhiwani,Haryana,81,6,11.2,9,
Rohtak,Haryana,82,6,9.9,11.3,8.1
Jhajjar,Haryana,83,6,13.4,10.7,
Mahendragarh,Haryana,84,6,10.4,9.1,
Rewari,Haryana,85,6,18.1,15.2,
Gurgaon,Haryana,86,6,18.4,13.8,19.5
Mewat,Haryana,87,6,7.9,8.1,
Faridabad,Haryana,88,6,18.8,,19.7
Palwal,Haryana,89,6,10.5,9.9,
North West,NCT Delhi,90,7,13.8,,13.7
North,NCT Delhi,91,7,13.7,,13.7
North East,NCT Delhi,92,7,13,,13
East,NCT Delhi,93,7,13.5,,13.5
New Delhi,NCT Delhi,94,7,34.8,,34.8
Central,NCT Delhi,95,7,18.4,,18.4
West,NCT Delhi,96,7,20.1,,20.1
South West,NCT Delhi,97,7,21.7,,21.9
South,NCT Delhi,98,7,15.4,,15.4
Ganganagar,Rajasthan,99,8,12.9,12.2,
Hanumangarh,Rajasthan,100,8,7,5.8,
Bikaner,Rajasthan,101,8,7.9,6.4,10.3
Churu,Rajasthan,102,8,18.6,19.2,
Jhunjhunun,Rajasthan,103,8,23.6,25.9,
Alwar,Rajasthan,104,8,10.6,9.3,
Bharatpur,Rajasthan,105,8,13.2,13.5,
Dhaulpur,Rajasthan,106,8,32.5,35.1,
Karauli,Rajasthan,107,8,24.9,25.9,
Sawai Madhopur,Rajasthan,108,8,31.6,32.9,
Dausa,Rajasthan,109,8,34,33.9,
Jaipur,Rajasthan,110,8,28.9,32.5,25.8
Sikar,Rajasthan,111,8,17.4,18,
Nagaur,Rajasthan,112,8,29.2,31.4,
Jodhpur,Rajasthan,113,8,17.6,18.1,16.8
Jaisalmer,Rajasthan,114,8,31,31.1,
Barmer,Rajasthan,115,8,8.9,8.5,
Jalor,Rajasthan,116,8,9.3,9.1,
Sirohi,Rajasthan,117,8,22.1,22.1,
Pali,Rajasthan,118,8,32.8,32.5,
