district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,14.4,15,
Badgam,Jammu & Kashmir,2,1,8.9,10.7,
Leh(Ladakh),Jammu & Kashmir,3,1,16.8,14,21.6
Kargil,Jammu & Kashmir,4,1,20.3,21.7,
Punch,Jammu & Kashmir,5,1,22.2,23.4,
Rajouri,Jammu & Kashmir,6,1,22.8,23.1,
Kathua,Jammu & Kashmir,7,1,19.1,19,
Baramula,Jammu & Kashmir,8,1,12.8,11.2,
Bandipore,Jammu & Kashmir,9,1,9.9,10.9,
Srinagar,Jammu & Kashmir,10,1,23.2,,23
Ganderbal,Jammu & Kashmir,11,1,8.3,9,
Pulwama,Jammu & Kashmir,12,1,11.5,11.4,
Shupiyan,Jammu & Kashmir,13,1,11.1,12,
Anantnag,Jammu & Kashmir,14,1,8.2,6.8,
Kulgam,Jammu & Kashmir,15,1,10.2,11.9,
Doda,Jammu & Kashmir,16,1,18.8,19.5,
Ramban,Jammu & Kashmir,17,1,18.8,19,
Kishtwar,Jammu & Kashmir,18,1,18.9,19.2,
Udhampur,Jammu & Kashmir,19,1,27.4,27.8,
Reasi,Jammu & Kashmir,20,1,22.7,23.8,
Jammu,Jammu & Kashmir,21,1,16.6,13.8,20
Samba,Jammu & Kashmir,22,1,9,8.6,
Chamba,Himachal Pradesh,23,2,22.5,22.9,
Kangra,Himachal Pradesh,24,2,23.3,23.6,
Lahul and Spiti,Himachal Pradesh,25,2,16.1,16.1,
Kullu,Himachal Pradesh,26,2,11,9.1,
Mandi,Himachal Pradesh,27,2,16.2,17.1,
Hamirpur,Himachal Pradesh,28,2,19.4,18.4,
Una,Himachal Pradesh,29,2,14.6,14.8,
Bilaspur,Himachal Pradesh,30,2,23.4,24.2,
Solan,Himachal Pradesh,31,2,29.4,32.3,
Sirmaur,Himachal Pradesh,32,2,25.3,27.8,
Shimla,Himachal Pradesh,33,2,24.8,24.1,
Kinnaur,Himachal Pradesh,34,2,15.9,15.9,
Gurdaspur,Punjab,35,3,21.1,19.8,
Kapurthala,Punjab,36,3,20.5,16.8,26.7
Jalandhar,Punjab,37,3,25.4,25.5,25.4
Hoshiarpur,Punjab,38,3,21.1,20.5,
Sahid Bhagat Singh Nagar,Punjab,39,3,25.1,23.6,-31.9
Fatehgarh Sahib,Punjab,40,3,17.1,15.5,20.5
Ludhiana,Punjab,41,3,28.5,24.7,30.6
Moga,Punjab,42,3,24.4,25.4,
Firozpur,Punjab,43,3,30.8,31.8,
Muktsar,Punjab,44,3,22.4,22.7,
Faridkot,Punjab,45,3,26.9,27.2,26.2
Bathinda,Punjab,46,3,17.2,13.7,20.6
Mansa,Punjab,47,3,24.9,23.4,
Patiala,Punjab,48,3,13.6,13.7,13.6
Amritsar,Punjab,49,3,12.8,16.1,9.1
Tarn Taran,Punjab,50,3,14.3,14.6,
Rup Nagar,Punjab,51,3,20.1,22.5,
Sahibzada Ajit Singh Nagar,Punjab,52,3,24,27.5,20.9
Sangrur,Punjab,53,3,19.2,17.3,
Barnala,Punjab,54,3,17.9,19.7,14.6
Uttarkashi,Uttarakhand,56,5,40.3,41.4,
Chamoli,Uttarakhand,57,5,22.3,23.5,
Rudraprayag,Uttarakhand,58,5,25.9,26.9,
Tehri Garhwal,Uttarakhand,59,5,44.2,41.9,
Dehradun,Uttarakhand,60,5,30.7,34.5,27.6
Garhwal,Uttarakhand,61,5,27.9,27.1,
Pithoragarh,Uttarakhand,62,5,16.6,18.2,
Bageshwar,Uttarakhand,63,5,27.2,27.3,
Almora,Uttarakhand,64,5,22.5,23,
Champawat,Uttarakhand,65,5,21.2,20.4,
Nainital,Uttarakhand,66,5,17,18.8,14
Udham Singh Nagar,Uttarakhand,67,5,27.1,24.2,31.6
Hardwar,Uttarakhand,68,5,24.7,26,22.8
Panchkula,Haryana,69,6,26.2,29.7,23.7
Ambala,Haryana,70,6,32.9,29.9,37.4
Yamunanagar,Haryana,71,6,31.8,30,34.9
Kurukshetra,Haryana,72,6,27.1,25.4,
Kaithal,Haryana,73,6,37.5,39.3,
Karnal,Haryana,74,6,32.5,35.3,25.1
Panipat,Haryana,75,6,40.8,39.3,42.3
Sonipat,Haryana,76,6,30.4,29.1,33.2
