district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,20.5,16.1,
Badgam,Jammu & Kashmir,2,1,31.4,29.1,
Leh(Ladakh),Jammu & Kashmir,3,1,19.2,19.2,19.2
Kargil,Jammu & Kashmir,4,1,13.6,11.2,
Punch,Jammu & Kashmir,5,1,21.1,19.9,
Rajouri,Jammu & Kashmir,6,1,21,19.4,
Kathua,Jammu & Kashmir,7,1,24.6,23.3,
Baramula,Jammu & Kashmir,8,1,24.5,21.1,
Bandipore,Jammu & Kashmir,9,1,34.1,32.9,
Srinagar,Jammu & Kashmir,10,1,40.8,,41.2
Ganderbal,Jammu & Kashmir,11,1,33.8,31.1,
Pulwama,Jammu & Kashmir,12,1,34,33.7,
Shupiyan,Jammu & Kashmir,13,1,31.3,30.8,
Anantnag,Jammu & Kashmir,14,1,33.1,29.8,
Kulgam,Jammu & Kashmir,15,1,31.4,30,
Doda,Jammu & Kashmir,16,1,18.7,17,
Ramban,Jammu & Kashmir,17,1,17.8,16.6,
Kishtwar,Jammu & Kashmir,18,1,14.5,12.8,
Udhampur,Jammu & Kashmir,19,1,20.3,16.4,
Reasi,Jammu & Kashmir,20,1,16.5,15.6,
Jammu,Jammu & Kashmir,21,1,36.9,29.6,45
Samba,Jammu & Kashmir,22,1,35.3,34.6,
Chamba,Himachal Pradesh,23,2,20.8,18.6,
Kangra,Himachal Pradesh,24,2,28.2,27.7,
Lahul and Spiti,Himachal Pradesh,25,2,23.4,23.4,
Kullu,Himachal Pradesh,26,2,26.7,25.7,
Mandi,Himachal Pradesh,27,2,23.9,23.4,
Hamirpur,Himachal Pradesh,28,2,30.9,30.4,
Una,Himachal Pradesh,29,2,37.5,37.3,
Bilaspur,Himachal Pradesh,30,2,28.4,27.7,
Solan,Himachal Pradesh,31,2,32.7,31.5,
Sirmaur,Himachal Pradesh,32,2,25.2,23,
Shimla,Himachal Pradesh,33,2,33.2,31.4,
Kinnaur,Himachal Pradesh,34,2,27.6,27.6,
Gurdaspur,Punjab,35,3,31.6,28.8,
Kapurthala,Punjab,36,3,38.8,41.9,33.2
Jalandhar,Punjab,37,3,26.9,28.6,25.5
Hoshiarpur,Punjab,38,3,31,31.2,
Sahid Bhagat Singh Nagar,Punjab,39,3,35.7,36,34.8
Fatehgarh Sahib,Punjab,40,3,41,40,43.4
Ludhiana,Punjab,41,3,35.5,38.1,33.8
