district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,63.3,67.3,
Badgam,Jammu & Kashmir,2,1,*,*,
Leh(Ladakh),Jammu & Kashmir,3,1,*,*,*
Kargil,Jammu & Kashmir,4,1,*,*,
Punch,Jammu & Kashmir,5,1,*,*,
Rajouri,Jammu & Kashmir,6,1,-66.7,*,
Kathua,Jammu & Kashmir,7,1,*,*,
Baramula,Jammu & Kashmir,8,1,*,*,
Bandipore,Jammu & Kashmir,9,1,-76,-75.9,
Srinagar,Jammu & Kashmir,10,1,*,,*
Ganderbal,Jammu & Kashmir,11,1,-94.7,-93.4,
Pulwama,Jammu & Kashmir,12,1,*,*,
Shupiyan,Jammu & Kashmir,13,1,*,*,
Anantnag,Jammu & Kashmir,14,1,*,*,
Kulgam,Jammu & Kashmir,15,1,-80.7,-79.2,
Doda,Jammu & Kashmir,16,1,-56.3,-56.3,
Ramban,Jammu & Kashmir,17,1,84.2,84.6,
Kishtwar,Jammu & Kashmir,18,1,79.2,78.1,
Udhampur,Jammu & Kashmir,19,1,*,*,
Reasi,Jammu & Kashmir,20,1,*,*,
Jammu,Jammu & Kashmir,21,1,*,*,*
Samba,Jammu & Kashmir,22,1,*,*,
Chamba,Himachal Pradesh,23,2,*,*,
Kangra,Himachal Pradesh,24,2,*,*,
Lahul and Spiti,Himachal Pradesh,25,2,*,*,
Kullu,Himachal Pradesh,26,2,*,*,
Mandi,Himachal Pradesh,27,2,*,*,
Hamirpur,Himachal Pradesh,28,2,*,*,
Una,Himachal Pradesh,29,2,*,*,
Bilaspur,Himachal Pradesh,30,2,*,*,
Solan,Himachal Pradesh,31,2,-74.8,*,
Sirmaur,Himachal Pradesh,32,2,*,*,
Shimla,Himachal Pradesh,33,2,*,*,
Kinnaur,Himachal Pradesh,34,2,*,*,
Gurdaspur,Punjab,35,3,*,*,
Kapurthala,Punjab,36,3,-91.9,*,*
Jalandhar,Punjab,37,3,*,*,*
Hoshiarpur,Punjab,38,3,*,*,
Sahid Bhagat Singh Nagar,Punjab,39,3,*,*,*
Fatehgarh Sahib,Punjab,40,3,*,*,*
Ludhiana,Punjab,41,3,*,*,*
Moga,Punjab,42,3,*,*,
Firozpur,Punjab,43,3,*,*,
Muktsar,Punjab,44,3,*,*,
Faridkot,Punjab,45,3,*,*,*
Bathinda,Punjab,46,3,*,*,*
Mansa,Punjab,47,3,*,*,
Patiala,Punjab,48,3,*,*,*
Amritsar,Punjab,49,3,*,*,*
Tarn Taran,Punjab,50,3,*,*,
Rup Nagar,Punjab,51,3,*,*,
Sahibzada Ajit Singh Nagar,Punjab,52,3,-80.3,-96.5,*
Sangrur,Punjab,53,3,-91.7,*,
Barnala,Punjab,54,3,*,*,*
Uttarkashi,Uttarakhand,56,5,83.7,84.2,
Chamoli,Uttarakhand,57,5,50.2,48.7,
Rudraprayag,Uttarakhand,58,5,-69.5,-68.5,
Tehri Garhwal,Uttarakhand,59,5,78.4,-81.1,
Dehradun,Uttarakhand,60,5,75.4,76.4,-74.2
Garhwal,Uttarakhand,61,5,-84.1,-85.1,
Pithoragarh,Uttarakhand,62,5,52.8,-49.7,
Bageshwar,Uttarakhand,63,5,57.9,57.5,
Almora,Uttarakhand,64,5,-43.6,-42.7,
Champawat,Uttarakhand,65,5,64.3,-64.3,
Nainital,Uttarakhand,66,5,65.6,56.8,77
Udham Singh Nagar,Uttarakhand,67,5,79.3,84.1,70.3
Hardwar,Uttarakhand,68,5,83.5,85.6,81.5
Panchkula,Haryana,69,6,*,*,*
Ambala,Haryana,70,6,-76.3,*,*
Yamunanagar,Haryana,71,6,-96.1,-97.4,*
Kurukshetra,Haryana,72,6,-95.8,*,
Kaithal,Haryana,73,6,-89.4,*,
Karnal,Haryana,74,6,*,*,*
Panipat,Haryana,75,6,*,*,*
Sonipat,Haryana,76,6,*,*,*
Jind,Haryana,77,6,-49.8,-43,
Fatehabad,Haryana,78,6,-84.6,-81.2,
Sirsa,Haryana,79,6,-75.2,-85.3,
Hisar,Haryana,80,6,*,*,*
Bhiwani,Haryana,81,6,-80.2,*,
Rohtak,Haryana,82,6,*,*,*
Jhajjar,Haryana,83,6,*,*,
Mahendragarh,Haryana,84,6,-67.9,-66.6,
Rewari,Haryana,85,6,*,*,
Gurgaon,Haryana,86,6,*,*,*
Mewat,Haryana,87,6,68,67,
Faridabad,Haryana,88,6,-78.9,,*
Palwal,Haryana,89,6,-79.3,-71,
North West,NCT Delhi,90,7,-90.7,,-90.8
North,NCT Delhi,91,7,-79.9,,-79.9
North East,NCT Delhi,92,7,-69.1,,-69.1
East,NCT Delhi,93,7,*,,*
New Delhi,NCT Delhi,94,7,*,,*
Central,NCT Delhi,95,7,*,,*
West,NCT Delhi,96,7,*,,*
South West,NCT Delhi,97,7,*,,*
South,NCT Delhi,98,7,*,,*
Ganganagar,Rajasthan,99,8,*,*,
Hanumangarh,Rajasthan,100,8,*,*,
Bikaner,Rajasthan,101,8,74.7,-70,81.3
Churu,Rajasthan,102,8,-59.4,*,
Jhunjhunun,Rajasthan,103,8,-86.7,*,
Alwar,Rajasthan,104,8,-66.9,-66.1,
Bharatpur,Rajasthan,105,8,67.8,-64.7,
Dhaulpur,Rajasthan,106,8,-68.7,-67.3,
Karauli,Rajasthan,107,8,-78,-78.7,
Sawai Madhopur,Rajasthan,108,8,-74.2,-71.3,
Dausa,Rajasthan,109,8,-74.9,-77.2,
Jaipur,Rajasthan,110,8,77,74.3,79.3
Sikar,Rajasthan,111,8,-80.8,-78.7,
Nagaur,Rajasthan,112,8,*,*,
Jodhpur,Rajasthan,113,8,-54.7,-50.4,*
Jaisalmer,Rajasthan,114,8,-73.4,-72.7,
Barmer,Rajasthan,115,8,-67.9,-68.6,
Jalor,Rajasthan,116,8,*,*,
Sirohi,Rajasthan,117,8,-82.4,-82.6,
Pali,Rajasthan,118,8,*,*,
Ajmer,Rajasthan,119,8,81.4,-80.5,-83.1
Tonk,Rajasthan,120,8,*,*,
Bundi,Rajasthan,121,8,*,*,
Bhilwara,Rajasthan,122,8,*,*,
Rajsamand,Rajasthan,123,8,-87.5,-86.5,
Dungarpur,Rajasthan,124,8,79.7,-77,
Banswara,Rajasthan,125,8,*,*,
Chittaurgarh,Rajasthan,126,8,*,*,
Kota,Rajasthan,127,8,-73.2,-70.7,*
Baran,Rajasthan,128,8,*,*,
Jhalawar,Rajasthan,129,8,*,*,
Udaipur,Rajasthan,130,8,-68.9,-62.7,
Pratapgarh,Rajasthan,131,8,-86.4,-85.6,
Saharanpur,Uttar Pradesh,132,9,69.2,64.1,80.6
Muzaffarnagar,Uttar Pradesh,133,9,64.1,68.2,
Bijnor,Uttar Pradesh,134,9,-87.7,-88.7,
Moradabad,Uttar Pradesh,135,9,72.5,72.1,73.2
Rampur,Uttar Pradesh,136,9,74.5,74.7,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,-85.1,*,
Meerut,Uttar Pradesh,138,9,72.6,60,80.8
Baghpat,Uttar Pradesh,139,9,84.5,-82.1,
Ghaziabad,Uttar Pradesh,140,9,63.8,54.5,71.9
Gautam Buddha Nagar,Uttar Pradesh,141,9,55.7,47.9,61.6
Bulandshahr,Uttar Pradesh,142,9,83.7,-84.2,
Aligarh,Uttar Pradesh,143,9,61.5,56.6,71
Mahamaya Nagar,Uttar Pradesh,144,9,60.6,56.9,
Mathura,Uttar Pradesh,145,9,76,-70.5,
Agra,Uttar Pradesh,146,9,54.2,53.7,54.8
Firozabad,Uttar Pradesh,147,9,67.5,68.9,64.9
Mainpuri,Uttar Pradesh,148,9,-79.7,-75.3,
Budaun,Uttar Pradesh,149,9,62.5,62.2,
Bareilly,Uttar Pradesh,150,9,59,52.3,80.3
Pilibhit,Uttar Pradesh,151,9,78.9,79.6,
Shahjahanpur,Uttar Pradesh,152,9,76.5,-68.7,
Kheri,Uttar Pradesh,153,9,78.7,78.7,
Sitapur,Uttar Pradesh,154,9,60.8,59.6,
Hardoi,Uttar Pradesh,155,9,58.4,-62.6,
Unnao,Uttar Pradesh,156,9,-78.9,-78.9,
Lucknow,Uttar Pradesh,157,9,66.7,-79.3,*
Rae Bareli,Uttar Pradesh,158,9,-68.4,-70.7,
Farrukhabad,Uttar Pradesh,159,9,69,68,
Kannauj,Uttar Pradesh,160,9,62.6,58.3,
Etawah,Uttar Pradesh,161,9,58.4,-57.4,
Auraiya,Uttar Pradesh,162,9,-68,-73.2,
Kanpur Dehat,Uttar Pradesh,163,9,-81.1,-81.6,
Kanpur Nagar,Uttar Pradesh,164,9,65.2,-75.4,*
Jalaun,Uttar Pradesh,165,9,*,*,
Jhansi,Uttar Pradesh,166,9,82.1,-79.7,*
Lalitpur,Uttar Pradesh,167,9,-67,-58,
Hamirpur,Uttar Pradesh,168,9,*,*,
Mahoba,Uttar Pradesh,169,9,-79.3,-79.5,
Banda,Uttar Pradesh,170,9,*,*,
Chitrakoot,Uttar Pradesh,171,9,-77.3,-75,
Fatehpur,Uttar Pradesh,172,9,-55.7,-54.6,
Pratapgarh,Uttar Pradesh,173,9,*,*,
Kaushambi,Uttar Pradesh,174,9,*,*,
Allahabad,Uttar Pradesh,175,9,68.7,-65.3,
Bara Banki,Uttar Pradesh,176,9,81.7,-79.8,
Faizabad,Uttar Pradesh,177,9,70,67.1,
Ambedkar Nagar,Uttar Pradesh,178,9,49.6,48.2,
Sultanpur,Uttar Pradesh,179,9,-72.9,-72.4,
Bahraich,Uttar Pradesh,180,9,45.3,44.7,
Shrawasti,Uttar Pradesh,181,9,56.2,55.9,
Balrampur,Uttar Pradesh,182,9,72.2,70.9,
Gonda,Uttar Pradesh,183,9,64.3,63.3,
Siddharthnagar,Uttar Pradesh,184,9,52.1,51.6,
Basti,Uttar Pradesh,185,9,75.3,74.5,
Sant Kabir Nagar,Uttar Pradesh,186,9,61.3,60.7,
Maharajganj,Uttar Pradesh,187,9,82,81.6,
Gorakhpur,Uttar Pradesh,188,9,57.9,61.3,
Kushinagar,Uttar Pradesh,189,9,73.6,74.7,
Deoria,Uttar Pradesh,190,9,-82.6,-81.2,
Azamgarh,Uttar Pradesh,191,9,69.1,67.2,
Mau,Uttar Pradesh,192,9,62.4,60.5,
Ballia,Uttar Pradesh,193,9,80.3,78.9,
Jaunpur,Uttar Pradesh,194,9,71.3,69.5,
Ghazipur,Uttar Pradesh,195,9,-68.9,-69.2,
Chandauli,Uttar Pradesh,196,9,71.8,70.5,
Varanasi,Uttar Pradesh,197,9,78.5,76.8,81.8
Sant Ravidas Nagar,Uttar Pradesh,198,9,44.4,39.4,
Mirzapur,Uttar Pradesh,199,9,57.7,-51.3,
Sonbhadra,Uttar Pradesh,200,9,59.5,59.7,
Etah,Uttar Pradesh,201,9,43.5,43.1,
Kanshiram Nagar,Uttar Pradesh,202,9,64.4,59.2,
Pashchim Champaran,Bihar,203,10,40.4,37.4,
Purba Champaran,Bihar,204,10,42.6,41.6,
Sheohar,Bihar,205,10,62.4,64.2,
Sitamarhi,Bihar,206,10,48.5,49.2,
Madhubani,Bihar,207,10,62.1,62.8,
Supaul,Bihar,208,10,63.8,63.8,
Araria,Bihar,209,10,48.7,48.5,
Kishanganj,Bihar,210,10,-66.7,-66.6,
Purnia,Bihar,211,10,72.4,74.2,
Katihar,Bihar,212,10,51.5,50,
Madhepura,Bihar,213,10,51.6,50.9,
Saharsa,Bihar,214,10,47.6,49.9,
Darbhanga,Bihar,215,10,55.7,54.6,
Muzaffarpur,Bihar,216,10,54.7,56.7,
Gopalganj,Bihar,217,10,59.1,59.5,
Siwan,Bihar,218,10,59.3,58.8,
Saran,Bihar,219,10,50.8,48.5,
Vaishali,Bihar,220,10,56.6,59.3,
Samastipur,Bihar,221,10,59.4,58.9,
Begusarai,Bihar,222,10,-71.2,-72.1,
Khagaria,Bihar,223,10,71.9,-71.5,
Bhagalpur,Bihar,224,10,72.5,70.5,
Banka,Bihar,225,10,-64,-64.4,
Munger,Bihar,226,10,67.1,-70.7,
Lakhisarai,Bihar,227,10,64.4,-66.5,
Sheikhpura,Bihar,228,10,-61.1,-59.8,
Nalanda,Bihar,229,10,-56.2,-52.1,
Patna,Bihar,230,10,-57,*,*
Bhojpur,Bihar,231,10,28.4,28,
Buxar,Bihar,232,10,-35.5,-29.2,
Kaimur,Bihar,233,10,-45,-47.4,
Rohtas,Bihar,234,10,*,*,
Aurangabad,Bihar,235,10,-42.5,-39,
Gaya,Bihar,236,10,-54.7,-54.6,
Nawada,Bihar,237,10,-63.4,-67.6,
Jamui,Bihar,238,10,-41.6,-41.2,
Jehanabad,Bihar,239,10,-49.4,-53.1,
Arwal,Bihar,240,10,37.8,36.6,
North District,Sikkim,241,11,*,*,
West District,Sikkim,242,11,*,*,
South District,Sikkim,243,11,*,*,
East District,Sikkim,244,11,*,*,*
Tawang,Arunachal Pradesh,245,12,*,*,
West Kameng,Arunachal Pradesh,246,12,*,*,
East Kameng,Arunachal Pradesh,247,12,-41.8,*,
Papumpare,Arunachal Pradesh,248,12,56,53,*
Upper Subansiri,Arunachal Pradesh,249,12,-45,-39.2,
West Siang,Arunachal Pradesh,250,12,*,*,
East Siang,Arunachal Pradesh,251,12,*,*,
Upper Siang,Arunachal Pradesh,252,12,*,*,
Changlang,Arunachal Pradesh,253,12,*,*,
Tirap,Arunachal Pradesh,254,12,*,*,
Lower Subansiri,Arunachal Pradesh,255,12,*,*,
Kurung Kumey,Arunachal Pradesh,256,12,*,*,
Dibang Valley,Arunachal Pradesh,257,12,*,*,
Lower Dibang Valley,Arunachal Pradesh,258,12,*,*,
Lohit,Arunachal Pradesh,259,12,*,*,
Anjaw,Arunachal Pradesh,260,12,-24.5,-24.5,
Mon,Nagaland,261,13,*,*,
Mokokchung,Nagaland,262,13,*,*,
Zunheboto,Nagaland,263,13,*,*,
Wokha,Nagaland,264,13,*,*,
Dimapur,Nagaland,265,13,29.7,-20,*
Phek,Nagaland,266,13,*,*,
Tuensang,Nagaland,267,13,-13.6,*,
Longleng,Nagaland,268,13,*,*,
Kiphire,Nagaland,269,13,-6.1,-3.7,
