district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,33.5,32,
Badgam,Jammu & Kashmir,2,1,30.8,27.2,
Leh(Ladakh),Jammu & Kashmir,3,1,31,28.5,35.6
Kargil,Jammu & Kashmir,4,1,25.3,26.8,
Punch,Jammu & Kashmir,5,1,45.8,45.2,
Rajouri,Jammu & Kashmir,6,1,-44,-45.7,
Kathua,Jammu & Kashmir,7,1,67.5,67.5,
Baramula,Jammu & Kashmir,8,1,35.8,34.9,
Bandipore,Jammu & Kashmir,9,1,37.2,38.9,
Srinagar,Jammu & Kashmir,10,1,38,,38.1
Ganderbal,Jammu & Kashmir,11,1,24.5,24.3,
Pulwama,Jammu & Kashmir,12,1,17.1,17,
Shupiyan,Jammu & Kashmir,13,1,18.4,19.2,
Anantnag,Jammu & Kashmir,14,1,23.4,24.9,
Kulgam,Jammu & Kashmir,15,1,19.1,18.5,
Doda,Jammu & Kashmir,16,1,-34.2,-32.3,
Ramban,Jammu & Kashmir,17,1,49.5,50.1,
Kishtwar,Jammu & Kashmir,18,1,39.3,38.4,
Udhampur,Jammu & Kashmir,19,1,53,58.5,
Reasi,Jammu & Kashmir,20,1,38,36.1,
Jammu,Jammu & Kashmir,21,1,55.4,-49.9,*
Samba,Jammu & Kashmir,22,1,-32.4,-31.7,
Chamba,Himachal Pradesh,23,2,*,*,
Kangra,Himachal Pradesh,24,2,-48.1,-50.5,
Lahul and Spiti,Himachal Pradesh,25,2,35.9,35.9,
Kullu,Himachal Pradesh,26,2,-32.7,-34.9,
Mandi,Himachal Pradesh,27,2,33.9,34,
Hamirpur,Himachal Pradesh,28,2,-47.1,-47.1,
Una,Himachal Pradesh,29,2,-47.2,-47.2,
Bilaspur,Himachal Pradesh,30,2,35.5,36.4,
Solan,Himachal Pradesh,31,2,42.2,41.7,
Sirmaur,Himachal Pradesh,32,2,31.5,30.1,
Shimla,Himachal Pradesh,33,2,-43.4,-40.6,
Kinnaur,Himachal Pradesh,34,2,-43.3,-43.3,
Gurdaspur,Punjab,35,3,95.8,-94.8,
Kapurthala,Punjab,36,3,92.6,-92,-93.6
Jalandhar,Punjab,37,3,81.7,-71.7,-86.9
Hoshiarpur,Punjab,38,3,79.3,75.6,
Sahid Bhagat Singh Nagar,Punjab,39,3,-58.2,-56,*
Fatehgarh Sahib,Punjab,40,3,89.8,*,-73.8
Ludhiana,Punjab,41,3,60.9,-56.5,-63.5
Moga,Punjab,42,3,83.8,76.7,
Firozpur,Punjab,43,3,70.1,68.8,
Muktsar,Punjab,44,3,94,97.8,
Faridkot,Punjab,45,3,77.8,73.4,92.8
Bathinda,Punjab,46,3,90.3,93,87.3
Mansa,Punjab,47,3,59.8,61.9,
Patiala,Punjab,48,3,80,75.5,-85.4
Amritsar,Punjab,49,3,87.8,80.6,93.6
Tarn Taran,Punjab,50,3,98.2,98,
Rup Nagar,Punjab,51,3,72.4,-80.8,
Sahibzada Ajit Singh Nagar,Punjab,52,3,72.9,-64.4,*
Sangrur,Punjab,53,3,60.1,-56.7,
Barnala,Punjab,54,3,80.7,78.9,-86.9
Uttarkashi,Uttarakhand,56,5,42.9,41.3,
Chamoli,Uttarakhand,57,5,44.7,37.9,
Rudraprayag,Uttarakhand,58,5,36.1,36.1,
Tehri Garhwal,Uttarakhand,59,5,49.1,47.2,
Dehradun,Uttarakhand,60,5,49.6,58.4,-41.3
Garhwal,Uttarakhand,61,5,42.6,42.5,
Pithoragarh,Uttarakhand,62,5,63.1,59.2,
Bageshwar,Uttarakhand,63,5,53.3,51.9,
Almora,Uttarakhand,64,5,32.1,30.8,
Champawat,Uttarakhand,65,5,54.2,53.8,
Nainital,Uttarakhand,66,5,41.8,40.6,43.7
Udham Singh Nagar,Uttarakhand,67,5,42.3,-35.2,-51.3
Hardwar,Uttarakhand,68,5,39.4,-38.3,40.2
Panchkula,Haryana,69,6,83.3,77.4,-87.6
Ambala,Haryana,70,6,71.9,68.7,75.7
Yamunanagar,Haryana,71,6,73.5,69.4,-82.9
Kurukshetra,Haryana,72,6,59.2,54.9,
Kaithal,Haryana,73,6,75.1,71.7,
Karnal,Haryana,74,6,75.7,81.4,-63.1
Panipat,Haryana,75,6,59,32.5,80.7
Sonipat,Haryana,76,6,72.7,68.3,84.5
Jind,Haryana,77,6,64.7,65.4,
Fatehabad,Haryana,78,6,65.5,66.6,
Sirsa,Haryana,79,6,63.5,65.6,
Hisar,Haryana,80,6,63.7,61.8,69
Bhiwani,Haryana,81,6,67.6,66.9,
Rohtak,Haryana,82,6,60.9,57.1,65.9
Jhajjar,Haryana,83,6,40.9,44.9,
Mahendragarh,Haryana,84,6,68.6,65.8,
Rewari,Haryana,85,6,36.6,38.2,
Gurgaon,Haryana,86,6,64.2,-30.3,-72.6
Mewat,Haryana,87,6,-37.8,-38.5,
Faridabad,Haryana,88,6,-40.3,,-42.4
Palwal,Haryana,89,6,38.2,-32.8,
North West,NCT Delhi,90,7,-52.9,,-52
North,NCT Delhi,91,7,-38.4,,-38.8
North East,NCT Delhi,92,7,-57.8,,-57.8
East,NCT Delhi,93,7,*,,*
New Delhi,NCT Delhi,94,7,*,,*
Central,NCT Delhi,95,7,*,,*
West,NCT Delhi,96,7,46.8,,46.8
South West,NCT Delhi,97,7,27.9,,27.6
South,NCT Delhi,98,7,-40.1,,-40.1
Ganganagar,Rajasthan,99,8,46.7,48.6,
Hanumangarh,Rajasthan,100,8,42,40.7,
Bikaner,Rajasthan,101,8,36.3,29.4,48.2
Churu,Rajasthan,102,8,45.9,48.4,
Jhunjhunun,Rajasthan,103,8,51.7,53.1,
Alwar,Rajasthan,104,8,40.3,40.9,
Bharatpur,Rajasthan,105,8,31.1,28.4,
Dhaulpur,Rajasthan,106,8,52.5,50.2,
Karauli,Rajasthan,107,8,55.5,54.3,
Sawai Madhopur,Rajasthan,108,8,35.8,35.5,
Dausa,Rajasthan,109,8,42.6,43.6,
Jaipur,Rajasthan,110,8,51.5,45.2,60.8
Sikar,Rajasthan,111,8,42,40.8,
Nagaur,Rajasthan,112,8,41.7,44.2,
Jodhpur,Rajasthan,113,8,49.7,44.5,60.2
Jaisalmer,Rajasthan,114,8,42.9,42,
Barmer,Rajasthan,115,8,32.9,32.5,
Jalor,Rajasthan,116,8,24.1,23.7,
Sirohi,Rajasthan,117,8,39.2,38.1,
Pali,Rajasthan,118,8,48.3,47.6,
Ajmer,Rajasthan,119,8,32.7,32.1,34.7
Tonk,Rajasthan,120,8,59.3,58.5,
Bundi,Rajasthan,121,8,36.4,35.2,
Bhilwara,Rajasthan,122,8,46.5,43.1,
Rajsamand,Rajasthan,123,8,40.2,42.6,
Dungarpur,Rajasthan,124,8,40,40.9,
Banswara,Rajasthan,125,8,45.1,44.2,
Chittaurgarh,Rajasthan,126,8,39.6,-36.9,
Kota,Rajasthan,127,8,63.4,64.9,61.9
Baran,Rajasthan,128,8,41.5,42.8,
Jhalawar,Rajasthan,129,8,38.6,37.2,
Udaipur,Rajasthan,130,8,55.8,55.8,
Pratapgarh,Rajasthan,131,8,26.7,26.9,
Saharanpur,Uttar Pradesh,132,9,61.3,59.3,65.5
Muzaffarnagar,Uttar Pradesh,133,9,61.6,-58.8,
Bijnor,Uttar Pradesh,134,9,-42.4,-40,
Moradabad,Uttar Pradesh,135,9,65.2,70.9,-52.9
Rampur,Uttar Pradesh,136,9,-60.5,-65.2,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,-28,-24.2,
Meerut,Uttar Pradesh,138,9,51.2,38,57.1
Baghpat,Uttar Pradesh,139,9,63,-68.1,
Ghaziabad,Uttar Pradesh,140,9,66.5,60.8,68.8
Gautam Buddha Nagar,Uttar Pradesh,141,9,46.4,44,48
Bulandshahr,Uttar Pradesh,142,9,33.3,-30.4,
Aligarh,Uttar Pradesh,143,9,66.2,63.9,70.5
Mahamaya Nagar,Uttar Pradesh,144,9,54.5,56,
Mathura,Uttar Pradesh,145,9,38.5,30.9,
Agra,Uttar Pradesh,146,9,53.1,53.3,52.9
Firozabad,Uttar Pradesh,147,9,61.9,64.5,57.5
Mainpuri,Uttar Pradesh,148,9,-25.5,-25.9,
Budaun,Uttar Pradesh,149,9,-48.3,-49,
Bareilly,Uttar Pradesh,150,9,38,39.5,-35.7
Pilibhit,Uttar Pradesh,151,9,45.2,-43.9,
Shahjahanpur,Uttar Pradesh,152,9,-47.4,-42.1,
Kheri,Uttar Pradesh,153,9,29.8,30.8,
Sitapur,Uttar Pradesh,154,9,35.1,34.5,
Hardoi,Uttar Pradesh,155,9,-31.6,-33.6,
Unnao,Uttar Pradesh,156,9,-49.6,-52.9,
Lucknow,Uttar Pradesh,157,9,40.6,38.7,*
Rae Bareli,Uttar Pradesh,158,9,-46.2,-42.3,
Farrukhabad,Uttar Pradesh,159,9,63.2,-62.9,
Kannauj,Uttar Pradesh,160,9,-50.7,-49.6,
Etawah,Uttar Pradesh,161,9,-45.6,-45.5,
Auraiya,Uttar Pradesh,162,9,38.8,-48.2,
Kanpur Dehat,Uttar Pradesh,163,9,-58.1,-58.1,
Kanpur Nagar,Uttar Pradesh,164,9,61.4,-54.8,-64.7
Jalaun,Uttar Pradesh,165,9,20.1,21.5,
Jhansi,Uttar Pradesh,166,9,36.7,34.4,-44.6
Lalitpur,Uttar Pradesh,167,9,42.7,43.3,
Hamirpur,Uttar Pradesh,168,9,34.7,-39.8,
Mahoba,Uttar Pradesh,169,9,60.2,60.4,
Banda,Uttar Pradesh,170,9,-44.8,-40.1,
Chitrakoot,Uttar Pradesh,171,9,43.7,39.7,
Fatehpur,Uttar Pradesh,172,9,*,*,
Pratapgarh,Uttar Pradesh,173,9,-27.1,-28.5,
Kaushambi,Uttar Pradesh,174,9,-35.6,-35,
Allahabad,Uttar Pradesh,175,9,57.8,54.3,
Bara Banki,Uttar Pradesh,176,9,-42.8,-40,
Faizabad,Uttar Pradesh,177,9,-38.6,-39.4,
Ambedkar Nagar,Uttar Pradesh,178,9,-47.3,-48.6,
Sultanpur,Uttar Pradesh,179,9,-34.1,-36.5,
Bahraich,Uttar Pradesh,180,9,-40.6,*,
Shrawasti,Uttar Pradesh,181,9,-37.1,-38.1,
Balrampur,Uttar Pradesh,182,9,*,*,
Gonda,Uttar Pradesh,183,9,-34.9,-34.9,
Siddharthnagar,Uttar Pradesh,184,9,53.7,54.9,
Basti,Uttar Pradesh,185,9,-52.8,-51.6,
Sant Kabir Nagar,Uttar Pradesh,186,9,55.2,55.4,
Maharajganj,Uttar Pradesh,187,9,64.6,63.2,
Gorakhpur,Uttar Pradesh,188,9,47.8,48.4,
Kushinagar,Uttar Pradesh,189,9,46,44.7,
Deoria,Uttar Pradesh,190,9,39,37.1,
Azamgarh,Uttar Pradesh,191,9,43.7,46.5,
Mau,Uttar Pradesh,192,9,54.9,-56.7,
Ballia,Uttar Pradesh,193,9,44.2,46.5,
Jaunpur,Uttar Pradesh,194,9,47,46.1,
Ghazipur,Uttar Pradesh,195,9,26.5,27.7,
Chandauli,Uttar Pradesh,196,9,55.3,49.6,
Varanasi,Uttar Pradesh,197,9,49.4,49.6,49
Sant Ravidas Nagar,Uttar Pradesh,198,9,39.8,39.3,
Mirzapur,Uttar Pradesh,199,9,54.2,47.5,
Sonbhadra,Uttar Pradesh,200,9,53.9,53.2,
Etah,Uttar Pradesh,201,9,40.3,39.1,
Kanshiram Nagar,Uttar Pradesh,202,9,48.8,-46.8,
Pashchim Champaran,Bihar,203,10,*,*,
Purba Champaran,Bihar,204,10,-32.3,*,
Sheohar,Bihar,205,10,21.7,21.7,
Sitamarhi,Bihar,206,10,40,39,
Madhubani,Bihar,207,10,11.8,12.3,
Supaul,Bihar,208,10,38.1,39,
Araria,Bihar,209,10,35.8,36.7,
Kishanganj,Bihar,210,10,29.7,29.7,
Purnia,Bihar,211,10,48.5,49.3,
Katihar,Bihar,212,10,34.3,34.5,
Madhepura,Bihar,213,10,32,33.9,
Saharsa,Bihar,214,10,38.4,40,
Darbhanga,Bihar,215,10,40.6,40,
