district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,91.1,89.8,
Badgam,Jammu & Kashmir,2,1,97.6,97.1,
Leh(Ladakh),Jammu & Kashmir,3,1,91.7,91.6,92
Kargil,Jammu & Kashmir,4,1,92.1,93.4,
Punch,Jammu & Kashmir,5,1,83,83.9,
Rajouri,Jammu & Kashmir,6,1,71,70.3,
Kathua,Jammu & Kashmir,7,1,89.7,89.4,
Baramula,Jammu & Kashmir,8,1,94,93.8,
Bandipore,Jammu & Kashmir,9,1,89.9,90,
Srinagar,Jammu & Kashmir,10,1,90.2,,90.2
Ganderbal,Jammu & Kashmir,11,1,92.7,93.5,
Pulwama,Jammu & Kashmir,12,1,95.4,95.6,
Shupiyan,Jammu & Kashmir,13,1,95.3,95.3,
Anantnag,Jammu & Kashmir,14,1,89,89,
Kulgam,Jammu & Kashmir,15,1,91,90.3,
Doda,Jammu & Kashmir,16,1,64,62,
Ramban,Jammu & Kashmir,17,1,83.6,83.2,
Kishtwar,Jammu & Kashmir,18,1,82,81.1,
Udhampur,Jammu & Kashmir,19,1,94.7,94.5,
Reasi,Jammu & Kashmir,20,1,78.4,78.6,
Jammu,Jammu & Kashmir,21,1,91.6,90.3,93.5
Samba,Jammu & Kashmir,22,1,75.1,75.8,
Chamba,Himachal Pradesh,23,2,85.2,85.7,
Kangra,Himachal Pradesh,24,2,93.9,93.8,
Lahul and Spiti,Himachal Pradesh,25,2,90.7,90.7,
Kullu,Himachal Pradesh,26,2,85.2,85.7,
Mandi,Himachal Pradesh,27,2,87.5,88.3,
Hamirpur,Himachal Pradesh,28,2,85.2,86.1,
Una,Himachal Pradesh,29,2,77.9,76.7,
Bilaspur,Himachal Pradesh,30,2,75.4,75.5,
Solan,Himachal Pradesh,31,2,81.5,81.9,
Sirmaur,Himachal Pradesh,32,2,90.6,90.5,
Shimla,Himachal Pradesh,33,2,85.4,85.3,
Kinnaur,Himachal Pradesh,34,2,90.7,90.7,
Gurdaspur,Punjab,35,3,95.3,96.2,
Kapurthala,Punjab,36,3,92.4,93.3,90.7
Jalandhar,Punjab,37,3,94.5,92.2,95.7
Hoshiarpur,Punjab,38,3,94.9,93.4,
Sahid Bhagat Singh Nagar,Punjab,39,3,94,94.8,-91
Fatehgarh Sahib,Punjab,40,3,96.5,96.6,96.4
Ludhiana,Punjab,41,3,98.2,97.1,98.9
Moga,Punjab,42,3,96.3,96.5,
Firozpur,Punjab,43,3,90.2,88.7,
Muktsar,Punjab,44,3,97.7,96.6,
Faridkot,Punjab,45,3,88.1,87.9,88.6
Bathinda,Punjab,46,3,89.8,88.6,90.9
Mansa,Punjab,47,3,86,85.9,
Patiala,Punjab,48,3,85,85.5,84.5
Amritsar,Punjab,49,3,98.5,97,100
Tarn Taran,Punjab,50,3,97.2,96.7,
Rup Nagar,Punjab,51,3,96.6,98.6,
Sahibzada Ajit Singh Nagar,Punjab,52,3,83.2,78.8,86.4
Sangrur,Punjab,53,3,83.8,83.3,
Barnala,Punjab,54,3,91,88.6,96
Uttarkashi,Uttarakhand,56,5,93.2,92.8,
Chamoli,Uttarakhand,57,5,90.7,91.8,
Rudraprayag,Uttarakhand,58,5,95.4,95,
Tehri Garhwal,Uttarakhand,59,5,92.6,91.4,
Dehradun,Uttarakhand,60,5,97.5,97,98
Garhwal,Uttarakhand,61,5,95.6,96.4,
Pithoragarh,Uttarakhand,62,5,92.7,91.7,
Bageshwar,Uttarakhand,63,5,92.1,91.9,
Almora,Uttarakhand,64,5,91.4,90.7,
Champawat,Uttarakhand,65,5,95.2,94.3,
Nainital,Uttarakhand,66,5,91.6,90.4,93.4
Udham Singh Nagar,Uttarakhand,67,5,86.9,86.3,87.7
Hardwar,Uttarakhand,68,5,87.9,83.7,92.9
Panchkula,Haryana,69,6,98.1,98.3,98
Ambala,Haryana,70,6,100,100,100
Yamunanagar,Haryana,71,6,97.7,100,94.3
Kurukshetra,Haryana,72,6,94.7,93.5,
Kaithal,Haryana,73,6,95.1,95.9,
Karnal,Haryana,74,6,98.1,98.9,96.3
Panipat,Haryana,75,6,98.7,99.1,98.3
Sonipat,Haryana,76,6,97.6,97.8,97.3
Jind,Haryana,77,6,97.7,98.5,
Fatehabad,Haryana,78,6,96.6,96.3,
Sirsa,Haryana,79,6,98.7,98.2,
Hisar,Haryana,80,6,97.8,97.4,99
Bhiwani,Haryana,81,6,94.5,94.3,
Rohtak,Haryana,82,6,96.3,97.5,94.4
Jhajjar,Haryana,83,6,95.1,94.2,
Mahendragarh,Haryana,84,6,95,95.9,
Rewari,Haryana,85,6,83.6,80.8,
Gurgaon,Haryana,86,6,93,89.7,93.9
Mewat,Haryana,87,6,67.6,66.8,
Faridabad,Haryana,88,6,90,,89.4
Palwal,Haryana,89,6,68.4,67.5,
North West,NCT Delhi,90,7,88.3,,88.3
North,NCT Delhi,91,7,82.3,,83.4
North East,NCT Delhi,92,7,92.7,,92.7
East,NCT Delhi,93,7,82.8,,82.8
New Delhi,NCT Delhi,94,7,87.6,,87.6
Central,NCT Delhi,95,7,95.2,,95.2
West,NCT Delhi,96,7,96.1,,96.1
South West,NCT Delhi,97,7,93.8,,94
South,NCT Delhi,98,7,87.1,,87.1
Ganganagar,Rajasthan,99,8,95.1,94.5,
Hanumangarh,Rajasthan,100,8,91.9,91.4,
Bikaner,Rajasthan,101,8,93.2,92.6,94.2
Churu,Rajasthan,102,8,95,94.9,
Jhunjhunun,Rajasthan,103,8,94.7,94.3,
Alwar,Rajasthan,104,8,86.8,86.2,
Bharatpur,Rajasthan,105,8,84.1,81.3,
Dhaulpur,Rajasthan,106,8,88.1,88.7,
Karauli,Rajasthan,107,8,85.9,85.3,
Sawai Madhopur,Rajasthan,108,8,84.4,81.9,
Dausa,Rajasthan,109,8,85.6,85.3,
Jaipur,Rajasthan,110,8,92.5,93.1,91.9
Sikar,Rajasthan,111,8,95.7,95.1,
Nagaur,Rajasthan,112,8,87.2,86.1,
Jodhpur,Rajasthan,113,8,86.2,83.4,92.2
Jaisalmer,Rajasthan,114,8,75.5,74.1,
Barmer,Rajasthan,115,8,68.8,69,
Jalor,Rajasthan,116,8,81.5,80,
Sirohi,Rajasthan,117,8,87.7,87.3,
Pali,Rajasthan,118,8,93.3,93.1,
Ajmer,Rajasthan,119,8,95.2,94.7,96.4
Tonk,Rajasthan,120,8,94.9,96.3,
Bundi,Rajasthan,121,8,91.8,92.4,
Bhilwara,Rajasthan,122,8,96.4,97.6,
Rajsamand,Rajasthan,123,8,94.8,94.3,
Dungarpur,Rajasthan,124,8,94.9,94.5,
Banswara,Rajasthan,125,8,94.9,94.6,
Chittaurgarh,Rajasthan,126,8,87,85.7,
Kota,Rajasthan,127,8,95.9,94.9,96.5
Baran,Rajasthan,128,8,96.2,96,
Jhalawar,Rajasthan,129,8,97.8,98.3,
Udaipur,Rajasthan,130,8,85,83.8,
Pratapgarh,Rajasthan,131,8,94.3,94,
Saharanpur,Uttar Pradesh,132,9,94.2,94.8,92.9
Muzaffarnagar,Uttar Pradesh,133,9,87,89,
Bijnor,Uttar Pradesh,134,9,92.7,93.9,
Moradabad,Uttar Pradesh,135,9,83.7,82.3,86.7
Rampur,Uttar Pradesh,136,9,90.8,89.4,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,91.4,90,
Meerut,Uttar Pradesh,138,9,87.8,91.1,86.1
Baghpat,Uttar Pradesh,139,9,90.3,91.1,
Ghaziabad,Uttar Pradesh,140,9,90.4,90.8,90.3
Gautam Buddha Nagar,Uttar Pradesh,141,9,91.4,91.3,91.5
Bulandshahr,Uttar Pradesh,142,9,92.3,91.9,
Aligarh,Uttar Pradesh,143,9,86.3,84.7,89.9
Mahamaya Nagar,Uttar Pradesh,144,9,87.8,87.9,
Mathura,Uttar Pradesh,145,9,82.3,84.9,
Agra,Uttar Pradesh,146,9,89.3,87.7,91.3
Firozabad,Uttar Pradesh,147,9,83.6,82.5,85.6
Mainpuri,Uttar Pradesh,148,9,81.4,81,
Budaun,Uttar Pradesh,149,9,81.3,80.3,
Bareilly,Uttar Pradesh,150,9,84.8,83.9,86.5
Pilibhit,Uttar Pradesh,151,9,91.2,91.4,
Shahjahanpur,Uttar Pradesh,152,9,82.8,82.5,
Kheri,Uttar Pradesh,153,9,83.5,84.5,
Sitapur,Uttar Pradesh,154,9,78.9,80.2,
Hardoi,Uttar Pradesh,155,9,79.6,79,
Unnao,Uttar Pradesh,156,9,86.1,85.6,
Lucknow,Uttar Pradesh,157,9,92,89.9,93.5
Rae Bareli,Uttar Pradesh,158,9,96.2,95.9,
Farrukhabad,Uttar Pradesh,159,9,84.3,82.6,
Kannauj,Uttar Pradesh,160,9,81.9,82.7,
Etawah,Uttar Pradesh,161,9,84,83.8,
Auraiya,Uttar Pradesh,162,9,84.8,86.7,
Kanpur Dehat,Uttar Pradesh,163,9,91.2,91.5,
Kanpur Nagar,Uttar Pradesh,164,9,90.9,92.2,90.2
Jalaun,Uttar Pradesh,165,9,87.8,89,
Jhansi,Uttar Pradesh,166,9,95.4,94.8,96.3
Lalitpur,Uttar Pradesh,167,9,96.9,96.9,
Hamirpur,Uttar Pradesh,168,9,88.1,86.8,
Mahoba,Uttar Pradesh,169,9,95.9,95.9,
Banda,Uttar Pradesh,170,9,83.3,83.8,
Chitrakoot,Uttar Pradesh,171,9,90.8,91.6,
Fatehpur,Uttar Pradesh,172,9,85.1,87.4,
Pratapgarh,Uttar Pradesh,173,9,90,90.1,
Kaushambi,Uttar Pradesh,174,9,82.3,82.6,
Allahabad,Uttar Pradesh,175,9,91.7,90.1,
Bara Banki,Uttar Pradesh,176,9,79.7,78.3,
Faizabad,Uttar Pradesh,177,9,87.5,87.1,
Ambedkar Nagar,Uttar Pradesh,178,9,92.6,92.7,
Sultanpur,Uttar Pradesh,179,9,85.6,86.8,
Bahraich,Uttar Pradesh,180,9,62.9,64,
Shrawasti,Uttar Pradesh,181,9,64.4,63.7,
Balrampur,Uttar Pradesh,182,9,61,59.3,
Gonda,Uttar Pradesh,183,9,73,72.5,
Siddharthnagar,Uttar Pradesh,184,9,83.8,83.5,
Basti,Uttar Pradesh,185,9,89.2,88.9,
Sant Kabir Nagar,Uttar Pradesh,186,9,91.4,91.4,
Maharajganj,Uttar Pradesh,187,9,87.6,87.3,
Gorakhpur,Uttar Pradesh,188,9,94.4,94.5,
Kushinagar,Uttar Pradesh,189,9,92.6,92.1,
Deoria,Uttar Pradesh,190,9,93.3,94.6,
Azamgarh,Uttar Pradesh,191,9,88.7,87.8,
Mau,Uttar Pradesh,192,9,92,94.3,
Ballia,Uttar Pradesh,193,9,89.3,90,
Jaunpur,Uttar Pradesh,194,9,90.7,90.9,
Ghazipur,Uttar Pradesh,195,9,91.4,91,
Chandauli,Uttar Pradesh,196,9,91.3,90.2,
Varanasi,Uttar Pradesh,197,9,92.9,93.2,92.5
Sant Ravidas Nagar,Uttar Pradesh,198,9,90,89.7,
Mirzapur,Uttar Pradesh,199,9,90.1,90,
Sonbhadra,Uttar Pradesh,200,9,83.3,81.4,
Etah,Uttar Pradesh,201,9,81.8,80.3,
Kanshiram Nagar,Uttar Pradesh,202,9,78.9,76.5,
Pashchim Champaran,Bihar,203,10,81,80.7,
Purba Champaran,Bihar,204,10,81.5,80.4,
Sheohar,Bihar,205,10,88.5,88.2,
Sitamarhi,Bihar,206,10,90.6,90.6,
Madhubani,Bihar,207,10,85.2,85.4,
Supaul,Bihar,208,10,87.8,88.2,
Araria,Bihar,209,10,88.7,88.2,
Kishanganj,Bihar,210,10,83.8,83.3,
Purnia,Bihar,211,10,91.7,90.9,
Katihar,Bihar,212,10,92.3,92.2,
Madhepura,Bihar,213,10,87.1,87,
Saharsa,Bihar,214,10,87.2,86.8,
Darbhanga,Bihar,215,10,84.2,83.6,
Muzaffarpur,Bihar,216,10,90.2,89.7,
Gopalganj,Bihar,217,10,88.3,88.1,
Siwan,Bihar,218,10,90.3,90.6,
Saran,Bihar,219,10,87.2,87.1,
Vaishali,Bihar,220,10,90.6,90.8,
Samastipur,Bihar,221,10,84.5,84.1,
Begusarai,Bihar,222,10,87.8,85.5,
Khagaria,Bihar,223,10,90.6,90.6,
Bhagalpur,Bihar,224,10,93.4,93.5,
Banka,Bihar,225,10,95.9,95.7,
Munger,Bihar,226,10,93.9,92.9,
Lakhisarai,Bihar,227,10,94.8,94.3,
Sheikhpura,Bihar,228,10,94,93.4,
Nalanda,Bihar,229,10,94.9,94.5,
Patna,Bihar,230,10,93.8,93.5,94.1
Bhojpur,Bihar,231,10,96.1,96.2,
Buxar,Bihar,232,10,93.8,93.2,
Kaimur,Bihar,233,10,92.8,92.8,
Rohtas,Bihar,234,10,94.1,94.7,
Aurangabad,Bihar,235,10,98.3,98.2,
Gaya,Bihar,236,10,94.8,95.2,
Nawada,Bihar,237,10,94.8,94.1,
Jamui,Bihar,238,10,88.4,88.5,
Jehanabad,Bihar,239,10,95.4,95.5,
Arwal,Bihar,240,10,95.3,95.2,
North District,Sikkim,241,11,97.2,96.7,
West District,Sikkim,242,11,97.9,97.8,
South District,Sikkim,243,11,100,100,
East District,Sikkim,244,11,95.9,93.6,98.2
Tawang,Arunachal Pradesh,245,12,39.4,35.6,
West Kameng,Arunachal Pradesh,246,12,53.2,53.6,
East Kameng,Arunachal Pradesh,247,12,33.4,21.4,
Papumpare,Arunachal Pradesh,248,12,74.1,65.4,81.3
Upper Subansiri,Arunachal Pradesh,249,12,60,59.4,
West Siang,Arunachal Pradesh,250,12,51.3,50.4,
East Siang,Arunachal Pradesh,251,12,76.3,79.4,
Upper Siang,Arunachal Pradesh,252,12,72,70.8,
Changlang,Arunachal Pradesh,253,12,83.8,83.3,
Tirap,Arunachal Pradesh,254,12,65.9,60.4,
