district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,-4.6,-6,
Badgam,Jammu & Kashmir,2,1,-4.3,-5.9,
Leh(Ladakh),Jammu & Kashmir,3,1,*,*,*
Kargil,Jammu & Kashmir,4,1,-15.8,-25.5,
Punch,Jammu & Kashmir,5,1,17.3,-18.8,
Rajouri,Jammu & Kashmir,6,1,-18.5,-18.7,
Kathua,Jammu & Kashmir,7,1,-6,-7.3,
Baramula,Jammu & Kashmir,8,1,-6.8,-10.1,
Bandipore,Jammu & Kashmir,9,1,-7.9,-5.4,
Srinagar,Jammu & Kashmir,10,1,-14.7,,-14.4
Ganderbal,Jammu & Kashmir,11,1,10,-9.4,
Pulwama,Jammu & Kashmir,12,1,-2.6,-2.9,
Shupiyan,Jammu & Kashmir,13,1,7.2,8,
Anantnag,Jammu & Kashmir,14,1,-12.7,-15.5,
Kulgam,Jammu & Kashmir,15,1,-6.5,-5.9,
Doda,Jammu & Kashmir,16,1,-18.9,-20.5,
Ramban,Jammu & Kashmir,17,1,*,*,
Kishtwar,Jammu & Kashmir,18,1,-19.1,-22.8,
Udhampur,Jammu & Kashmir,19,1,-10.8,-11.3,
Reasi,Jammu & Kashmir,20,1,12.6,-13.7,
Jammu,Jammu & Kashmir,21,1,-6.1,*,*
Samba,Jammu & Kashmir,22,1,-11.7,*,
Chamba,Himachal Pradesh,23,2,*,*,
Kangra,Himachal Pradesh,24,2,*,*,
Lahul and Spiti,Himachal Pradesh,25,2,*,*,
Kullu,Himachal Pradesh,26,2,-7.5,-5.5,
Mandi,Himachal Pradesh,27,2,*,*,
Hamirpur,Himachal Pradesh,28,2,*,*,
Una,Himachal Pradesh,29,2,0,*,
Bilaspur,Himachal Pradesh,30,2,*,*,
Solan,Himachal Pradesh,31,2,-5.2,-4.1,
Sirmaur,Himachal Pradesh,32,2,-5.1,-6.4,
Shimla,Himachal Pradesh,33,2,-6.7,*,
Kinnaur,Himachal Pradesh,34,2,*,*,
Gurdaspur,Punjab,35,3,-3.4,*,
Kapurthala,Punjab,36,3,*,*,*
Jalandhar,Punjab,37,3,-11.4,*,*
Hoshiarpur,Punjab,38,3,*,*,
Sahid Bhagat Singh Nagar,Punjab,39,3,*,*,*
