district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,100,100,
Badgam,Jammu & Kashmir,2,1,97,99,
Leh(Ladakh),Jammu & Kashmir,3,1,100,-100,-100
Kargil,Jammu & Kashmir,4,1,100,100,
Punch,Jammu & Kashmir,5,1,100,100,
Rajouri,Jammu & Kashmir,6,1,100,100,
Kathua,Jammu & Kashmir,7,1,100,100,
Baramula,Jammu & Kashmir,8,1,98.5,100,
Bandipore,Jammu & Kashmir,9,1,98.8,98.3,
Srinagar,Jammu & Kashmir,10,1,-90.8,,-90.6
Ganderbal,Jammu & Kashmir,11,1,100,100,
Pulwama,Jammu & Kashmir,12,1,100,100,
Shupiyan,Jammu & Kashmir,13,1,100,100,
Anantnag,Jammu & Kashmir,14,1,100,100,
Kulgam,Jammu & Kashmir,15,1,100,100,
Doda,Jammu & Kashmir,16,1,98.4,98.3,
Ramban,Jammu & Kashmir,17,1,97.8,97.7,
Kishtwar,Jammu & Kashmir,18,1,100,100,
Udhampur,Jammu & Kashmir,19,1,97.2,96.9,
Reasi,Jammu & Kashmir,20,1,98.9,98.8,
Jammu,Jammu & Kashmir,21,1,-89.9,*,-89.9
Samba,Jammu & Kashmir,22,1,96,-95.8,
Chamba,Himachal Pradesh,23,2,100,100,
Kangra,Himachal Pradesh,24,2,-100,-100,
Lahul and Spiti,Himachal Pradesh,25,2,-97.1,-97.1,
Kullu,Himachal Pradesh,26,2,96.3,-96,
Mandi,Himachal Pradesh,27,2,96.7,96.4,
Hamirpur,Himachal Pradesh,28,2,-100,-100,
Una,Himachal Pradesh,29,2,98.6,98.5,
Bilaspur,Himachal Pradesh,30,2,-95.4,-95.1,
Solan,Himachal Pradesh,31,2,-97.7,-97,
Sirmaur,Himachal Pradesh,32,2,89.9,94.3,
Shimla,Himachal Pradesh,33,2,-100,-100,
Kinnaur,Himachal Pradesh,34,2,-100,-100,
Gurdaspur,Punjab,35,3,94.8,-97.4,
Kapurthala,Punjab,36,3,-87.3,*,-81.5
Jalandhar,Punjab,37,3,-93.5,*,-92.5
Hoshiarpur,Punjab,38,3,-97.4,-97.1,
Sahid Bhagat Singh Nagar,Punjab,39,3,-79.7,-79.2,*
Fatehgarh Sahib,Punjab,40,3,-82.4,*,-89.5
Ludhiana,Punjab,41,3,-80.2,*,*
Moga,Punjab,42,3,90.8,-93.7,
Firozpur,Punjab,43,3,89.3,-95.9,
Muktsar,Punjab,44,3,100,-100,
Faridkot,Punjab,45,3,94.4,-97.2,-88.8
Bathinda,Punjab,46,3,-82,*,*
Mansa,Punjab,47,3,94.9,-95.8,
Patiala,Punjab,48,3,86,-87.2,-85
Amritsar,Punjab,49,3,86,-97.5,*
Tarn Taran,Punjab,50,3,96.1,98.2,
Rup Nagar,Punjab,51,3,-93,-94.3,
Sahibzada Ajit Singh Nagar,Punjab,52,3,87.5,-92.2,-84.7
Sangrur,Punjab,53,3,85,-92.7,
Barnala,Punjab,54,3,-97.1,*,*
Uttarkashi,Uttarakhand,56,5,98.4,98.3,
Chamoli,Uttarakhand,57,5,80.9,80.4,
Rudraprayag,Uttarakhand,58,5,95.3,95,
Tehri Garhwal,Uttarakhand,59,5,98.6,98.6,
Dehradun,Uttarakhand,60,5,87.4,88.1,-86.4
Garhwal,Uttarakhand,61,5,88.9,-87.7,
Pithoragarh,Uttarakhand,62,5,-91.4,-92.2,
Bageshwar,Uttarakhand,63,5,94.8,94.6,
Almora,Uttarakhand,64,5,96.5,-96.2,
Champawat,Uttarakhand,65,5,95.8,100,
Nainital,Uttarakhand,66,5,89.8,94,83.6
Udham Singh Nagar,Uttarakhand,67,5,93.6,93.7,93.4
Hardwar,Uttarakhand,68,5,88.9,91.9,84
Panchkula,Haryana,69,6,-94.4,-100,*
Ambala,Haryana,70,6,96.2,-93.8,*
Yamunanagar,Haryana,71,6,-98.2,*,*
Kurukshetra,Haryana,72,6,94.8,96.6,
Kaithal,Haryana,73,6,100,100,
Karnal,Haryana,74,6,94,-96.2,-87.9
Panipat,Haryana,75,6,-94.6,*,-90.9
Sonipat,Haryana,76,6,94.7,-96.4,-91.3
Jind,Haryana,77,6,96.8,98.7,
Fatehabad,Haryana,78,6,94.9,95.1,
Sirsa,Haryana,79,6,94.1,98.4,
Hisar,Haryana,80,6,94.1,-100,*
Bhiwani,Haryana,81,6,97.4,97.1,
Rohtak,Haryana,82,6,99.2,100,-97.7
