district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,19.5,19.2,
Badgam,Jammu & Kashmir,2,1,19.7,15.8,
Leh(Ladakh),Jammu & Kashmir,3,1,30.4,36.8,20.1
Kargil,Jammu & Kashmir,4,1,28.6,29.5,
Punch,Jammu & Kashmir,5,1,39.3,39.6,
Rajouri,Jammu & Kashmir,6,1,19.1,18.3,
Kathua,Jammu & Kashmir,7,1,56.6,54.1,
Baramula,Jammu & Kashmir,8,1,31,31.6,
Bandipore,Jammu & Kashmir,9,1,15.7,16.2,
Srinagar,Jammu & Kashmir,10,1,27.1,,27.3
Ganderbal,Jammu & Kashmir,11,1,13.1,13,
Pulwama,Jammu & Kashmir,12,1,30,29.9,
Shupiyan,Jammu & Kashmir,13,1,21.7,20.6,
Anantnag,Jammu & Kashmir,14,1,11.7,11.7,
Kulgam,Jammu & Kashmir,15,1,20.5,20.3,
Doda,Jammu & Kashmir,16,1,9.1,8,
Ramban,Jammu & Kashmir,17,1,18,17.7,
Kishtwar,Jammu & Kashmir,18,1,17.2,16.8,
Udhampur,Jammu & Kashmir,19,1,50.6,48.9,
Reasi,Jammu & Kashmir,20,1,35.9,37.5,
Jammu,Jammu & Kashmir,21,1,56.7,57.6,55.5
Samba,Jammu & Kashmir,22,1,47.3,47.7,
Chamba,Himachal Pradesh,23,2,38.9,36.6,
Kangra,Himachal Pradesh,24,2,57.8,57.6,
Lahul and Spiti,Himachal Pradesh,25,2,46,46,
Kullu,Himachal Pradesh,26,2,56.3,56,
Mandi,Himachal Pradesh,27,2,34.2,33.9,
Hamirpur,Himachal Pradesh,28,2,53.8,54.9,
Una,Himachal Pradesh,29,2,52.4,51.7,
Bilaspur,Himachal Pradesh,30,2,55.4,55.5,
Solan,Himachal Pradesh,31,2,48.1,51,
Sirmaur,Himachal Pradesh,32,2,47.3,47.5,
Shimla,Himachal Pradesh,33,2,54.3,50.2,
Kinnaur,Himachal Pradesh,34,2,49.8,49.8,
Gurdaspur,Punjab,35,3,52.2,53.6,
Kapurthala,Punjab,36,3,40.1,35.8,48
Jalandhar,Punjab,37,3,53.3,35.8,63.2
Hoshiarpur,Punjab,38,3,35.6,35.2,
Sahid Bhagat Singh Nagar,Punjab,39,3,48.5,50.8,-40.2
Fatehgarh Sahib,Punjab,40,3,40.3,49.3,23.4
Ludhiana,Punjab,41,3,42,42.6,41.5
Moga,Punjab,42,3,40.6,36,
Firozpur,Punjab,43,3,25.9,22.2,
Muktsar,Punjab,44,3,48.4,42.7,
Faridkot,Punjab,45,3,40.5,39.1,43.9
Bathinda,Punjab,46,3,37.8,32.7,42.8
Mansa,Punjab,47,3,32,34.9,
Patiala,Punjab,48,3,37.3,31.1,44
Amritsar,Punjab,49,3,43.9,42,45.8
Tarn Taran,Punjab,50,3,57.6,57,
Rup Nagar,Punjab,51,3,47.3,50.3,
Sahibzada Ajit Singh Nagar,Punjab,52,3,60.9,53.5,66.4
Sangrur,Punjab,53,3,33.3,33.4,
Barnala,Punjab,54,3,39.2,39.8,38
Uttarkashi,Uttarakhand,56,5,28,27.7,
Chamoli,Uttarakhand,57,5,18.8,17.2,
Rudraprayag,Uttarakhand,58,5,24.4,21.9,
Tehri Garhwal,Uttarakhand,59,5,24.4,20.6,
Dehradun,Uttarakhand,60,5,29.2,32.9,26.1
Garhwal,Uttarakhand,61,5,26.3,25.8,
Pithoragarh,Uttarakhand,62,5,28.7,26.7,
Bageshwar,Uttarakhand,63,5,23.6,24.2,
Almora,Uttarakhand,64,5,35.7,34.1,
Champawat,Uttarakhand,65,5,27.3,24.3,
Nainital,Uttarakhand,66,5,40.9,35.4,49.2
Udham Singh Nagar,Uttarakhand,67,5,16.6,17.5,15.2
Hardwar,Uttarakhand,68,5,19.1,14.9,24.4
Panchkula,Haryana,69,6,51.9,48.8,54.1
Ambala,Haryana,70,6,48.2,48.9,47.4
Yamunanagar,Haryana,71,6,61.5,65.2,56
Kurukshetra,Haryana,72,6,39.6,32.6,
Kaithal,Haryana,73,6,54.9,54.9,
Karnal,Haryana,74,6,57.8,58.1,57
Panipat,Haryana,75,6,31.7,29.8,33.4
Sonipat,Haryana,76,6,29.9,25.8,39.1
Jind,Haryana,77,6,33.2,29.8,
Fatehabad,Haryana,78,6,49.1,43.9,
Sirsa,Haryana,79,6,41.2,48.1,
Hisar,Haryana,80,6,32.9,35.7,24.1
Bhiwani,Haryana,81,6,31.9,32,
Rohtak,Haryana,82,6,27.7,26,30.3
Jhajjar,Haryana,83,6,30.5,30.2,
Mahendragarh,Haryana,84,6,35.6,35.4,
Rewari,Haryana,85,6,24,22.6,
Gurgaon,Haryana,86,6,19.4,15.8,20.4
Mewat,Haryana,87,6,6.2,6.9,
Faridabad,Haryana,88,6,18.5,,20.4
Palwal,Haryana,89,6,8.1,5.5,
North West,NCT Delhi,90,7,52,,52
North,NCT Delhi,91,7,41.3,,41.2
North East,NCT Delhi,92,7,39.8,,39.8
East,NCT Delhi,93,7,41.9,,41.9
New Delhi,NCT Delhi,94,7,57.4,,57.4
Central,NCT Delhi,95,7,69.1,,69.1
West,NCT Delhi,96,7,51.7,,51.7
South West,NCT Delhi,97,7,58.8,,59.3
South,NCT Delhi,98,7,52,,52
Ganganagar,Rajasthan,99,8,31.3,29.7,
Hanumangarh,Rajasthan,100,8,15.6,14.8,
Bikaner,Rajasthan,101,8,10.5,9.9,11.6
Churu,Rajasthan,102,8,17.7,16.9,
Jhunjhunun,Rajasthan,103,8,30.1,28.8,
Alwar,Rajasthan,104,8,13,11.4,
Bharatpur,Rajasthan,105,8,5.3,3,
Dhaulpur,Rajasthan,106,8,12.8,9.9,
Karauli,Rajasthan,107,8,11.9,10.8,
Sawai Madhopur,Rajasthan,108,8,8.2,6.8,
Dausa,Rajasthan,109,8,17.8,15.8,
Jaipur,Rajasthan,110,8,31.2,23.9,38.6
Sikar,Rajasthan,111,8,16.6,15.4,
Nagaur,Rajasthan,112,8,11.8,12.8,
Jodhpur,Rajasthan,113,8,14.7,10.9,22.8
Jaisalmer,Rajasthan,114,8,10.4,9.3,
Barmer,Rajasthan,115,8,10.6,9,
Jalor,Rajasthan,116,8,21.2,19.7,
Sirohi,Rajasthan,117,8,18.4,18.5,
Pali,Rajasthan,118,8,16,15.6,
Ajmer,Rajasthan,119,8,9,7.1,13.2
Tonk,Rajasthan,120,8,19.5,21.1,
Bundi,Rajasthan,121,8,10.8,12.3,
Bhilwara,Rajasthan,122,8,31.7,31,
Rajsamand,Rajasthan,123,8,8.6,7.8,
Dungarpur,Rajasthan,124,8,8.9,9.5,
Banswara,Rajasthan,125,8,13.5,14.2,
Chittaurgarh,Rajasthan,126,8,16.1,13.7,
Kota,Rajasthan,127,8,31.2,15.4,41.3
Baran,Rajasthan,128,8,8.5,7.3,
Jhalawar,Rajasthan,129,8,19.3,18.5,
Udaipur,Rajasthan,130,8,19.5,16,
Pratapgarh,Rajasthan,131,8,30.3,30.1,
Saharanpur,Uttar Pradesh,132,9,14.6,11.8,20.8
Muzaffarnagar,Uttar Pradesh,133,9,17,18.9,
Bijnor,Uttar Pradesh,134,9,14.1,14.2,
Moradabad,Uttar Pradesh,135,9,6.4,4,11.7
Rampur,Uttar Pradesh,136,9,4.8,4.8,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,8.6,8.3,
Meerut,Uttar Pradesh,138,9,16.5,13.9,17.9
Baghpat,Uttar Pradesh,139,9,25.5,26,
Ghaziabad,Uttar Pradesh,140,9,17.6,9.1,21.3
Gautam Buddha Nagar,Uttar Pradesh,141,9,20.4,13,24.5
Bulandshahr,Uttar Pradesh,142,9,9.1,8.2,
Aligarh,Uttar Pradesh,143,9,11.6,7.7,20.1
Mahamaya Nagar,Uttar Pradesh,144,9,13.3,10.3,
Mathura,Uttar Pradesh,145,9,6.4,4.3,
Agra,Uttar Pradesh,146,9,13.5,6.4,22.3
Firozabad,Uttar Pradesh,147,9,7.6,6.5,9.6
Mainpuri,Uttar Pradesh,148,9,7,6.7,
Budaun,Uttar Pradesh,149,9,12.3,7.8,
Bareilly,Uttar Pradesh,150,9,9.4,6,15.6
Pilibhit,Uttar Pradesh,151,9,17.2,16.6,
Shahjahanpur,Uttar Pradesh,152,9,12.1,10.6,
Kheri,Uttar Pradesh,153,9,14.2,12.4,
Sitapur,Uttar Pradesh,154,9,5.1,4.9,
Hardoi,Uttar Pradesh,155,9,13.1,13.6,
Unnao,Uttar Pradesh,156,9,5.1,4.4,
Lucknow,Uttar Pradesh,157,9,18.9,13.8,22.3
Rae Bareli,Uttar Pradesh,158,9,21.2,20,
