district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,15.5,12.7,
Badgam,Jammu & Kashmir,2,1,15.3,13.7,
Leh(Ladakh),Jammu & Kashmir,3,1,29.8,23.9,37.8
Kargil,Jammu & Kashmir,4,1,10.9,10.3,
Punch,Jammu & Kashmir,5,1,17,15.5,
Rajouri,Jammu & Kashmir,6,1,15.1,14.4,
Kathua,Jammu & Kashmir,7,1,19.2,15.6,
Baramula,Jammu & Kashmir,8,1,21.7,18.6,
Bandipore,Jammu & Kashmir,9,1,18.3,19.3,
Srinagar,Jammu & Kashmir,10,1,34.6,,35.4
Ganderbal,Jammu & Kashmir,11,1,18.4,15.3,
Pulwama,Jammu & Kashmir,12,1,22.6,22.1,
Shupiyan,Jammu & Kashmir,13,1,15.3,15.6,
Anantnag,Jammu & Kashmir,14,1,14.9,11.3,
Kulgam,Jammu & Kashmir,15,1,15.5,13.4,
Doda,Jammu & Kashmir,16,1,15.7,13.8,
Ramban,Jammu & Kashmir,17,1,16.6,16.2,
Kishtwar,Jammu & Kashmir,18,1,16.1,13.3,
Udhampur,Jammu & Kashmir,19,1,14.1,12.6,
Reasi,Jammu & Kashmir,20,1,13,12.2,
Jammu,Jammu & Kashmir,21,1,28.4,21.2,36.3
Samba,Jammu & Kashmir,22,1,24.4,22.7,
Chamba,Himachal Pradesh,23,2,14.5,15.8,
Kangra,Himachal Pradesh,24,2,20.5,21.6,
Lahul and Spiti,Himachal Pradesh,25,2,19.4,19.4,
Kullu,Himachal Pradesh,26,2,20.6,20.2,
Mandi,Himachal Pradesh,27,2,15.8,14.7,
Hamirpur,Himachal Pradesh,28,2,31.5,30.5,
Una,Himachal Pradesh,29,2,26.1,24.3,
Bilaspur,Himachal Pradesh,30,2,17.9,18.2,
Solan,Himachal Pradesh,31,2,18.4,19.3,
Sirmaur,Himachal Pradesh,32,2,27.6,21.5,
Shimla,Himachal Pradesh,33,2,30.2,27.1,
Kinnaur,Himachal Pradesh,34,2,22,22,
Gurdaspur,Punjab,35,3,22.1,16.8,
Kapurthala,Punjab,36,3,31.6,32.4,30
Jalandhar,Punjab,37,3,27,34.4,20.9
Hoshiarpur,Punjab,38,3,23.6,24.4,
Sahid Bhagat Singh Nagar,Punjab,39,3,27.7,27.5,*
Fatehgarh Sahib,Punjab,40,3,36.5,39,30.3
Ludhiana,Punjab,41,3,29.4,23.3,32.7
Moga,Punjab,42,3,37.2,30.8,
Firozpur,Punjab,43,3,25.1,25.7,
Muktsar,Punjab,44,3,21.2,19,
Faridkot,Punjab,45,3,13.1,11.8,18.1
Bathinda,Punjab,46,3,26,24.7,27.8
Mansa,Punjab,47,3,19.7,16.7,
Patiala,Punjab,48,3,40.6,37.2,43.4
Amritsar,Punjab,49,3,33.1,33,33.1
Tarn Taran,Punjab,50,3,24.4,27.6,
Rup Nagar,Punjab,51,3,17.5,12.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,39.1,21.2,53.9
Sangrur,Punjab,53,3,28.3,24,
Barnala,Punjab,54,3,24.4,20,34.1
Uttarkashi,Uttarakhand,56,5,11.3,7.5,
Chamoli,Uttarakhand,57,5,10.2,8.2,
Rudraprayag,Uttarakhand,58,5,10.7,12.1,
Tehri Garhwal,Uttarakhand,59,5,5.9,6.3,
Dehradun,Uttarakhand,60,5,21.6,18.4,23.1
Garhwal,Uttarakhand,61,5,14,12.4,
Pithoragarh,Uttarakhand,62,5,18.3,14.6,
Bageshwar,Uttarakhand,63,5,16.5,16.7,
Almora,Uttarakhand,64,5,13.7,13.8,
Champawat,Uttarakhand,65,5,19.3,23.2,
Nainital,Uttarakhand,66,5,21.3,18.7,24.3
Udham Singh Nagar,Uttarakhand,67,5,17.9,12.8,24.8
Hardwar,Uttarakhand,68,5,19.3,15.8,25.1
Panchkula,Haryana,69,6,10.9,18.2,5.4
Ambala,Haryana,70,6,12.3,7.1,19.6
