district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,6.3,3.7,
Badgam,Jammu & Kashmir,2,1,3.1,3.4,
Leh(Ladakh),Jammu & Kashmir,3,1,1.8,0,4.2
Kargil,Jammu & Kashmir,4,1,2.1,0.7,
Punch,Jammu & Kashmir,5,1,3.5,3.2,
Rajouri,Jammu & Kashmir,6,1,3.1,3.1,
Kathua,Jammu & Kashmir,7,1,7.8,7,
Baramula,Jammu & Kashmir,8,1,3.8,3.7,
Bandipore,Jammu & Kashmir,9,1,5.2,4.1,
Srinagar,Jammu & Kashmir,10,1,14.3,,14.2
Ganderbal,Jammu & Kashmir,11,1,5.7,4.9,
Pulwama,Jammu & Kashmir,12,1,4.7,5,
Shupiyan,Jammu & Kashmir,13,1,4.2,4.9,
Anantnag,Jammu & Kashmir,14,1,3.8,3.6,
Kulgam,Jammu & Kashmir,15,1,6.3,5.7,
Doda,Jammu & Kashmir,16,1,3.1,3,
Ramban,Jammu & Kashmir,17,1,0.6,0.6,
Kishtwar,Jammu & Kashmir,18,1,3,2.8,
Udhampur,Jammu & Kashmir,19,1,2.3,1.5,
Reasi,Jammu & Kashmir,20,1,3.9,3.8,
Jammu,Jammu & Kashmir,21,1,11.5,9.6,13.7
Samba,Jammu & Kashmir,22,1,6.3,6.2,
Chamba,Himachal Pradesh,23,2,7.2,7.9,
Kangra,Himachal Pradesh,24,2,6.9,7.6,
Lahul and Spiti,Himachal Pradesh,25,2,1.9,1.9,
Kullu,Himachal Pradesh,26,2,6.7,5.2,
Mandi,Himachal Pradesh,27,2,4,4.7,
Hamirpur,Himachal Pradesh,28,2,7,7.7,
Una,Himachal Pradesh,29,2,7.8,7.6,
Bilaspur,Himachal Pradesh,30,2,5.5,5.1,
Solan,Himachal Pradesh,31,2,8.7,8.9,
Sirmaur,Himachal Pradesh,32,2,5.7,4.7,
Shimla,Himachal Pradesh,33,2,8.6,8.2,
Kinnaur,Himachal Pradesh,34,2,6.4,6.4,
Gurdaspur,Punjab,35,3,5.3,2.8,
Kapurthala,Punjab,36,3,14.7,16.5,11.4
Jalandhar,Punjab,37,3,6.8,7.2,6.5
Hoshiarpur,Punjab,38,3,2.3,1.9,
Sahid Bhagat Singh Nagar,Punjab,39,3,2.9,2.3,*
Fatehgarh Sahib,Punjab,40,3,9.2,10.3,-6.5
Ludhiana,Punjab,41,3,6.8,7.3,6.6
Moga,Punjab,42,3,3.7,3.2,
Firozpur,Punjab,43,3,13.4,13.3,
Muktsar,Punjab,44,3,7.7,9.6,
Faridkot,Punjab,45,3,3,0.8,11.3
Bathinda,Punjab,46,3,5.4,4.5,6.8
Mansa,Punjab,47,3,6,4.7,
Patiala,Punjab,48,3,5.3,8,3.2
Amritsar,Punjab,49,3,5.6,7.2,3.9
Tarn Taran,Punjab,50,3,8.8,8.3,
Rup Nagar,Punjab,51,3,4.2,5.5,
Sahibzada Ajit Singh Nagar,Punjab,52,3,11.7,13,10.7
Sangrur,Punjab,53,3,6.4,4.1,
Barnala,Punjab,54,3,10.6,13,5.4
Uttarkashi,Uttarakhand,56,5,10,10.4,
Chamoli,Uttarakhand,57,5,1.8,2.4,
Rudraprayag,Uttarakhand,58,5,4.5,2.3,
Tehri Garhwal,Uttarakhand,59,5,9.6,4,
Dehradun,Uttarakhand,60,5,8.5,3.4,11
Garhwal,Uttarakhand,61,5,5.4,5.9,
Pithoragarh,Uttarakhand,62,5,9.2,12.6,
Bageshwar,Uttarakhand,63,5,12.6,12.5,
Almora,Uttarakhand,64,5,5.4,6.5,
Champawat,Uttarakhand,65,5,10.7,13,
Nainital,Uttarakhand,66,5,8.8,12.2,4.7
Udham Singh Nagar,Uttarakhand,67,5,10.7,11.8,9.1
Hardwar,Uttarakhand,68,5,9.7,7.9,12.7
Panchkula,Haryana,69,6,5.8,7.7,4.4
Ambala,Haryana,70,6,5.1,5.7,4.4
Yamunanagar,Haryana,71,6,6.1,7.6,3.4
Kurukshetra,Haryana,72,6,4.9,4.2,
Kaithal,Haryana,73,6,5.6,5.5,
Karnal,Haryana,74,6,8.5,10.1,3.7
Panipat,Haryana,75,6,9,6.6,11.8
Sonipat,Haryana,76,6,3.7,2.2,6.6
Jind,Haryana,77,6,3.5,2.6,
Fatehabad,Haryana,78,6,4,5.4,
Sirsa,Haryana,79,6,1.6,1.5,
Hisar,Haryana,80,6,5.4,6.9,2.6
Bhiwani,Haryana,81,6,4.6,4.6,
Rohtak,Haryana,82,6,6,6.6,5.2
Jhajjar,Haryana,83,6,5.2,5.4,
Mahendragarh,Haryana,84,6,4.3,5.5,
Rewari,Haryana,85,6,11.4,13.7,
Gurgaon,Haryana,86,6,9.5,8.8,9.7
Mewat,Haryana,87,6,4.2,3.4,
Faridabad,Haryana,88,6,9.4,,8.5
Palwal,Haryana,89,6,4.6,6.5,
North West,NCT Delhi,90,7,8.2,,-7.2
North,NCT Delhi,91,7,-12.1,,-12.7
North East,NCT Delhi,92,7,12.3,,12.3
East,NCT Delhi,93,7,10.3,,10.3
New Delhi,NCT Delhi,94,7,-9.3,,-9.3
Central,NCT Delhi,95,7,-10,,-10
West,NCT Delhi,96,7,8.3,,8.3
South West,NCT Delhi,97,7,11.8,,11.8
