district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,8.6,10.1,
Badgam,Jammu & Kashmir,2,1,2.8,3.4,
Leh(Ladakh),Jammu & Kashmir,3,1,5.2,4.7,6.1
Kargil,Jammu & Kashmir,4,1,4.6,5.7,
Punch,Jammu & Kashmir,5,1,17.5,18,
Rajouri,Jammu & Kashmir,6,1,25.6,26.2,
Kathua,Jammu & Kashmir,7,1,7,6.7,
Baramula,Jammu & Kashmir,8,1,3.6,3.9,
Bandipore,Jammu & Kashmir,9,1,5.4,6.6,
Srinagar,Jammu & Kashmir,10,1,3.7,,3.3
Ganderbal,Jammu & Kashmir,11,1,7.6,8.6,
Pulwama,Jammu & Kashmir,12,1,0.7,0.5,
Shupiyan,Jammu & Kashmir,13,1,2.9,3,
Anantnag,Jammu & Kashmir,14,1,4.5,5.7,
Kulgam,Jammu & Kashmir,15,1,3.5,3.7,
Doda,Jammu & Kashmir,16,1,20.2,20.6,
Ramban,Jammu & Kashmir,17,1,11.1,11,
Kishtwar,Jammu & Kashmir,18,1,18.1,20,
Udhampur,Jammu & Kashmir,19,1,12.2,13.1,
Reasi,Jammu & Kashmir,20,1,16.9,16.1,
Jammu,Jammu & Kashmir,21,1,6.9,7.4,6.2
Samba,Jammu & Kashmir,22,1,7.9,7.2,
Chamba,Himachal Pradesh,23,2,8.4,9,
Kangra,Himachal Pradesh,24,2,2.4,2.5,
Lahul and Spiti,Himachal Pradesh,25,2,13.8,13.8,
Kullu,Himachal Pradesh,26,2,17.8,18.9,
Mandi,Himachal Pradesh,27,2,14.3,14.6,
Hamirpur,Himachal Pradesh,28,2,3,3.2,
Una,Himachal Pradesh,29,2,4,4.3,
Bilaspur,Himachal Pradesh,30,2,13.6,14.2,
Solan,Himachal Pradesh,31,2,11.6,9.8,
Sirmaur,Himachal Pradesh,32,2,7.6,9.2,
Shimla,Himachal Pradesh,33,2,8.9,9.2,
Kinnaur,Himachal Pradesh,34,2,22.5,22.5,
Gurdaspur,Punjab,35,3,7.5,9.2,
Kapurthala,Punjab,36,3,6.7,5,9.9
Jalandhar,Punjab,37,3,4.6,0,8.9
Hoshiarpur,Punjab,38,3,6.7,7.1,
Sahid Bhagat Singh Nagar,Punjab,39,3,5.1,2.8,-12.9
Fatehgarh Sahib,Punjab,40,3,8.3,9,6.6
Ludhiana,Punjab,41,3,6.4,10.2,3.3
Moga,Punjab,42,3,10.8,11.5,
Firozpur,Punjab,43,3,7.5,8.7,
Muktsar,Punjab,44,3,8.6,10.4,
Faridkot,Punjab,45,3,9.9,10.6,8.6
Bathinda,Punjab,46,3,5.7,6.9,3.8
Mansa,Punjab,47,3,13.3,11.3,
Patiala,Punjab,48,3,5.6,8.2,3.1
Amritsar,Punjab,49,3,10.3,8.6,12.7
Tarn Taran,Punjab,50,3,7.7,8.1,
Rup Nagar,Punjab,51,3,4.5,4.2,
Sahibzada Ajit Singh Nagar,Punjab,52,3,12.1,12.2,11.9
Sangrur,Punjab,53,3,8.4,7.6,
Barnala,Punjab,54,3,11.1,13.3,6.8
Uttarkashi,Uttarakhand,56,5,11.6,12,
Chamoli,Uttarakhand,57,5,10.6,10.4,
Rudraprayag,Uttarakhand,58,5,9.1,9.7,
Tehri Garhwal,Uttarakhand,59,5,10,11.6,
Dehradun,Uttarakhand,60,5,9,10.4,8.3
Garhwal,Uttarakhand,61,5,6.2,6,
Pithoragarh,Uttarakhand,62,5,26.6,33.6,
Bageshwar,Uttarakhand,63,5,20.1,20.4,
Almora,Uttarakhand,64,5,9.1,9.8,
Champawat,Uttarakhand,65,5,17.7,17.1,
Nainital,Uttarakhand,66,5,15.3,17,12.9
Udham Singh Nagar,Uttarakhand,67,5,19.6,17.5,23
Hardwar,Uttarakhand,68,5,15.4,17.7,12.4
Panchkula,Haryana,69,6,9.6,11.2,8.6
Ambala,Haryana,70,6,7.2,6.9,7.7
Yamunanagar,Haryana,71,6,6.9,3.6,12.9
Kurukshetra,Haryana,72,6,9.9,12.3,
Kaithal,Haryana,73,6,16.8,20.6,
Karnal,Haryana,74,6,8.4,8.3,8.7
Panipat,Haryana,75,6,15.1,17,13.4
Sonipat,Haryana,76,6,20.4,21.1,19
Jind,Haryana,77,6,15.8,15.5,
Fatehabad,Haryana,78,6,16.4,17.9,
Sirsa,Haryana,79,6,15.6,13.1,
Hisar,Haryana,80,6,15.5,18.8,7.1
Bhiwani,Haryana,81,6,21.5,20.7,
Rohtak,Haryana,82,6,21.8,18.6,26.9
Jhajjar,Haryana,83,6,15.6,17.4,
Mahendragarh,Haryana,84,6,16.8,15.9,
Rewari,Haryana,85,6,20,21.6,
Gurgaon,Haryana,86,6,36.8,24.9,42.3
Mewat,Haryana,87,6,37.6,38.3,
Faridabad,Haryana,88,6,21.2,,21.5
Palwal,Haryana,89,6,28.3,31.3,
North West,NCT Delhi,90,7,15.9,,16.1
North,NCT Delhi,91,7,14.4,,14.5
North East,NCT Delhi,92,7,12,,12
East,NCT Delhi,93,7,5.8,,5.8
New Delhi,NCT Delhi,94,7,19.1,,19.1
Central,NCT Delhi,95,7,5.9,,5.9
West,NCT Delhi,96,7,7.7,,7.7
South West,NCT Delhi,97,7,18.4,,19.2
South,NCT Delhi,98,7,15.2,,15.2
Ganganagar,Rajasthan,99,8,19,20.8,
Hanumangarh,Rajasthan,100,8,23.1,24.2,
Bikaner,Rajasthan,101,8,33.4,41.9,21.1
Churu,Rajasthan,102,8,36.4,37.7,
Jhunjhunun,Rajasthan,103,8,23.8,25.1,
Alwar,Rajasthan,104,8,40.8,44.1,
Bharatpur,Rajasthan,105,8,37.3,39.5,
Dhaulpur,Rajasthan,106,8,35.4,40.2,
Karauli,Rajasthan,107,8,49.8,53.3,
Sawai Madhopur,Rajasthan,108,8,47.7,55.1,
Dausa,Rajasthan,109,8,40.1,46.1,
Jaipur,Rajasthan,110,8,29.5,37.2,22.1
Sikar,Rajasthan,111,8,24.2,29.9,
Nagaur,Rajasthan,112,8,42.2,47,
Jodhpur,Rajasthan,113,8,34.7,41.9,22.1
Jaisalmer,Rajasthan,114,8,48.4,48.6,
Barmer,Rajasthan,115,8,46.7,48.4,
Jalor,Rajasthan,116,8,32.4,33.9,
Sirohi,Rajasthan,117,8,31,31.9,
Pali,Rajasthan,118,8,31.3,35,
Ajmer,Rajasthan,119,8,35,48,15.1
Tonk,Rajasthan,120,8,47.3,52.7,
Bundi,Rajasthan,121,8,35.1,41.5,
Bhilwara,Rajasthan,122,8,57.2,67.3,
Rajsamand,Rajasthan,123,8,44.5,47.8,
Dungarpur,Rajasthan,124,8,29.4,30.8,
Banswara,Rajasthan,125,8,28.3,29.9,
Chittaurgarh,Rajasthan,126,8,53.6,57.4,
Kota,Rajasthan,127,8,19.7,25.1,15.8
Baran,Rajasthan,128,8,33.7,37.9,
Jhalawar,Rajasthan,129,8,36.3,40.6,
Udaipur,Rajasthan,130,8,40.4,43.5,
Pratapgarh,Rajasthan,131,8,41.2,42.2,
Saharanpur,Uttar Pradesh,132,9,7.7,7,9
Muzaffarnagar,Uttar Pradesh,133,9,8.4,8.9,
Bijnor,Uttar Pradesh,134,9,6.8,7.5,
Moradabad,Uttar Pradesh,135,9,9.3,10.3,7.6
Rampur,Uttar Pradesh,136,9,9.9,11.9,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,11.9,15,
Meerut,Uttar Pradesh,138,9,8.9,11.8,7.5
Baghpat,Uttar Pradesh,139,9,14.3,13.6,
Ghaziabad,Uttar Pradesh,140,9,18.3,19.3,18
Gautam Buddha Nagar,Uttar Pradesh,141,9,21,24.4,19.2
Bulandshahr,Uttar Pradesh,142,9,18.7,22.1,
Aligarh,Uttar Pradesh,143,9,23.2,28.7,13.7
Mahamaya Nagar,Uttar Pradesh,144,9,29.5,32.6,
Mathura,Uttar Pradesh,145,9,25.4,33.8,
Agra,Uttar Pradesh,146,9,21.3,30.8,11.7
Firozabad,Uttar Pradesh,147,9,22.2,28,13.4
Mainpuri,Uttar Pradesh,148,9,18.4,18.6,
Budaun,Uttar Pradesh,149,9,35.7,40.5,
Bareilly,Uttar Pradesh,150,9,12.9,18.5,5.7
Pilibhit,Uttar Pradesh,151,9,14.9,16.7,
Shahjahanpur,Uttar Pradesh,152,9,30.2,33,
Kheri,Uttar Pradesh,153,9,33.9,34.8,
Sitapur,Uttar Pradesh,154,9,32.8,35.5,
Hardoi,Uttar Pradesh,155,9,22.3,23.2,
Unnao,Uttar Pradesh,156,9,11.5,14,
Lucknow,Uttar Pradesh,157,9,9.6,15.9,6.2
Rae Bareli,Uttar Pradesh,158,9,12.1,13,
Farrukhabad,Uttar Pradesh,159,9,24.4,25.3,
Kannauj,Uttar Pradesh,160,9,16.7,18.8,
Etawah,Uttar Pradesh,161,9,22.8,24.3,
Auraiya,Uttar Pradesh,162,9,19,20.9,
Kanpur Dehat,Uttar Pradesh,163,9,19.4,19.9,
