district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,7,8.2,
Badgam,Jammu & Kashmir,2,1,7.7,6,
Leh(Ladakh),Jammu & Kashmir,3,1,10.7,9.3,13.3
Kargil,Jammu & Kashmir,4,1,7.2,7.9,
Punch,Jammu & Kashmir,5,1,10.1,9.9,
Rajouri,Jammu & Kashmir,6,1,7.3,7.5,
Kathua,Jammu & Kashmir,7,1,19.8,21.6,
Baramula,Jammu & Kashmir,8,1,5,4.5,
Bandipore,Jammu & Kashmir,9,1,12,11.7,
Srinagar,Jammu & Kashmir,10,1,9.3,,9.1
Ganderbal,Jammu & Kashmir,11,1,6.9,7.7,
Pulwama,Jammu & Kashmir,12,1,1.5,1.5,
Shupiyan,Jammu & Kashmir,13,1,2.7,2.5,
Anantnag,Jammu & Kashmir,14,1,3.4,3.8,
Kulgam,Jammu & Kashmir,15,1,2.6,2.8,
Doda,Jammu & Kashmir,16,1,8.4,8.3,
Ramban,Jammu & Kashmir,17,1,10.5,9.3,
Kishtwar,Jammu & Kashmir,18,1,7,7.3,
Udhampur,Jammu & Kashmir,19,1,27.9,29,
Reasi,Jammu & Kashmir,20,1,10.7,10.6,
Jammu,Jammu & Kashmir,21,1,21,20.8,21.3
Samba,Jammu & Kashmir,22,1,8,7.8,
Chamba,Himachal Pradesh,23,2,12.8,13.8,
Kangra,Himachal Pradesh,24,2,17.2,17.3,
Lahul and Spiti,Himachal Pradesh,25,2,16.9,16.9,
Kullu,Himachal Pradesh,26,2,13.2,13,
Mandi,Himachal Pradesh,27,2,17.5,16.3,
Hamirpur,Himachal Pradesh,28,2,18.8,18.3,
Una,Himachal Pradesh,29,2,17.3,16.8,
Bilaspur,Himachal Pradesh,30,2,15.1,15.1,
Solan,Himachal Pradesh,31,2,12.9,12.6,
Sirmaur,Himachal Pradesh,32,2,14.3,15.3,
Shimla,Himachal Pradesh,33,2,13.2,15.7,
Kinnaur,Himachal Pradesh,34,2,22.4,22.4,
Gurdaspur,Punjab,35,3,45.9,50.7,
Kapurthala,Punjab,36,3,33.7,32.9,35.2
Jalandhar,Punjab,37,3,27.9,21.6,33.8
Hoshiarpur,Punjab,38,3,43.1,40,
Sahid Bhagat Singh Nagar,Punjab,39,3,22,24,13.2
Fatehgarh Sahib,Punjab,40,3,46.1,46.4,45.6
Ludhiana,Punjab,41,3,18.7,19,18.5
Moga,Punjab,42,3,20,19.2,
Firozpur,Punjab,43,3,32.4,34,
Muktsar,Punjab,44,3,42.6,45.1,
Faridkot,Punjab,45,3,29.5,31,25.2
Bathinda,Punjab,46,3,22.3,23.1,21.2
Mansa,Punjab,47,3,33.7,37.3,
Patiala,Punjab,48,3,27.6,24.5,30.6
Amritsar,Punjab,49,3,22.5,24.1,20.9
Tarn Taran,Punjab,50,3,42.1,46.4,
Rup Nagar,Punjab,51,3,30.4,27.6,
