district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,12.4,13,
Badgam,Jammu & Kashmir,2,1,4.7,4.4,
Leh(Ladakh),Jammu & Kashmir,3,1,2,1.6,2.7
Kargil,Jammu & Kashmir,4,1,4.1,3.8,
Punch,Jammu & Kashmir,5,1,2.9,2.9,
Rajouri,Jammu & Kashmir,6,1,5.6,5.6,
Kathua,Jammu & Kashmir,7,1,3.5,2.4,
Baramula,Jammu & Kashmir,8,1,3.5,4,
Bandipore,Jammu & Kashmir,9,1,12.3,11.9,
Srinagar,Jammu & Kashmir,10,1,4.7,,4.7
Ganderbal,Jammu & Kashmir,11,1,9.1,9.1,
Pulwama,Jammu & Kashmir,12,1,4.8,4.5,
Shupiyan,Jammu & Kashmir,13,1,6.6,5.8,
Anantnag,Jammu & Kashmir,14,1,6.3,7.2,
Kulgam,Jammu & Kashmir,15,1,10.8,10.4,
Doda,Jammu & Kashmir,16,1,7.2,7.6,
Ramban,Jammu & Kashmir,17,1,44.8,44.8,
Kishtwar,Jammu & Kashmir,18,1,43.7,43.4,
Udhampur,Jammu & Kashmir,19,1,2,2,
Reasi,Jammu & Kashmir,20,1,4.4,4.6,
Jammu,Jammu & Kashmir,21,1,2.4,3.6,0.7
Samba,Jammu & Kashmir,22,1,7,7.3,
Chamba,Himachal Pradesh,23,2,5.7,6,
Kangra,Himachal Pradesh,24,2,7.1,7.2,
Lahul and Spiti,Himachal Pradesh,25,2,3.4,3.4,
Kullu,Himachal Pradesh,26,2,3.5,3.6,
Mandi,Himachal Pradesh,27,2,5.9,4.4,
Hamirpur,Himachal Pradesh,28,2,6.2,6.5,
Una,Himachal Pradesh,29,2,8.4,7.8,
Bilaspur,Himachal Pradesh,30,2,9.3,8.6,
Solan,Himachal Pradesh,31,2,12.1,10.2,
Sirmaur,Himachal Pradesh,32,2,5.2,5.4,
Shimla,Himachal Pradesh,33,2,3.6,4.2,
Kinnaur,Himachal Pradesh,34,2,8.3,8.3,
Gurdaspur,Punjab,35,3,3.4,3.4,
Kapurthala,Punjab,36,3,11.1,9.4,14
Jalandhar,Punjab,37,3,8.1,7,8.9
Hoshiarpur,Punjab,38,3,5,2.7,
Sahid Bhagat Singh Nagar,Punjab,39,3,11.2,10.1,-15.4
Fatehgarh Sahib,Punjab,40,3,8.9,9.9,6.7
Ludhiana,Punjab,41,3,4.2,3.9,4.3
Moga,Punjab,42,3,5.1,4.9,
Firozpur,Punjab,43,3,7.9,6.5,
Muktsar,Punjab,44,3,3.6,5.2,
Faridkot,Punjab,45,3,5.2,4.3,7.5
Bathinda,Punjab,46,3,4,4.9,3.1
Mansa,Punjab,47,3,6.7,7.6,
Patiala,Punjab,48,3,7.6,7.8,7.4
Amritsar,Punjab,49,3,4.3,4.8,3.7
Tarn Taran,Punjab,50,3,6.3,5.8,
Rup Nagar,Punjab,51,3,6.3,6.2,
Sahibzada Ajit Singh Nagar,Punjab,52,3,17.5,19.8,15.7
Sangrur,Punjab,53,3,10,4.3,
Barnala,Punjab,54,3,7.6,5.9,11.1
Uttarkashi,Uttarakhand,56,5,21.9,21.2,
Chamoli,Uttarakhand,57,5,20.1,21.4,
Rudraprayag,Uttarakhand,58,5,14.4,15.2,
Tehri Garhwal,Uttarakhand,59,5,14.5,14.9,
Dehradun,Uttarakhand,60,5,17.9,20.5,15.6
Garhwal,Uttarakhand,61,5,14.7,13,
Pithoragarh,Uttarakhand,62,5,21.1,23.2,
Bageshwar,Uttarakhand,63,5,21.1,21.2,
Almora,Uttarakhand,64,5,15.1,15.8,
Champawat,Uttarakhand,65,5,15.2,14.9,
Nainital,Uttarakhand,66,5,16.2,14.5,18.9
Udham Singh Nagar,Uttarakhand,67,5,15,16.2,13.1
Hardwar,Uttarakhand,68,5,18,15.2,22
Panchkula,Haryana,69,6,2.9,4.8,1.5
Ambala,Haryana,70,6,9,7.4,11.2
Yamunanagar,Haryana,71,6,15.2,17.9,10.9
Kurukshetra,Haryana,72,6,8.3,9,
Kaithal,Haryana,73,6,9.7,7.2,
Karnal,Haryana,74,6,5.8,5.6,6.2
Panipat,Haryana,75,6,4.3,3.2,5.4
Sonipat,Haryana,76,6,1.6,1.7,1.3
Jind,Haryana,77,6,7.9,8.6,
Fatehabad,Haryana,78,6,10.9,10.8,
