district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,77,78.4,
Badgam,Jammu & Kashmir,2,1,93.9,95.2,
Leh(Ladakh),Jammu & Kashmir,3,1,*,*,*
Kargil,Jammu & Kashmir,4,1,-58.8,-67.8,
Punch,Jammu & Kashmir,5,1,94.3,-93.9,
Rajouri,Jammu & Kashmir,6,1,63.9,62.7,
Kathua,Jammu & Kashmir,7,1,*,*,
Baramula,Jammu & Kashmir,8,1,-84.1,*,
Bandipore,Jammu & Kashmir,9,1,82.3,78.6,
Srinagar,Jammu & Kashmir,10,1,-89.9,,-89.9
Ganderbal,Jammu & Kashmir,11,1,94.3,93,
Pulwama,Jammu & Kashmir,12,1,-71,-70.6,
Shupiyan,Jammu & Kashmir,13,1,77.9,81.4,
Anantnag,Jammu & Kashmir,14,1,-80.9,-84.3,
Kulgam,Jammu & Kashmir,15,1,71.5,69.1,
Doda,Jammu & Kashmir,16,1,70.6,71.7,
Ramban,Jammu & Kashmir,17,1,84.1,83.9,
Kishtwar,Jammu & Kashmir,18,1,74.1,73.3,
Udhampur,Jammu & Kashmir,19,1,*,*,
Reasi,Jammu & Kashmir,20,1,-53.3,-53.3,
Jammu,Jammu & Kashmir,21,1,-71.1,*,*
Samba,Jammu & Kashmir,22,1,78.5,-78.8,
Chamba,Himachal Pradesh,23,2,-82.8,-82.2,
Kangra,Himachal Pradesh,24,2,*,*,
Lahul and Spiti,Himachal Pradesh,25,2,*,*,
Kullu,Himachal Pradesh,26,2,-71.7,-78.2,
Mandi,Himachal Pradesh,27,2,-76.4,-78.3,
Hamirpur,Himachal Pradesh,28,2,-78.2,-76.8,
Una,Himachal Pradesh,29,2,-81.1,-79.7,
Bilaspur,Himachal Pradesh,30,2,-84.8,-86.5,
Solan,Himachal Pradesh,31,2,-83.2,-82,
Sirmaur,Himachal Pradesh,32,2,*,*,
Shimla,Himachal Pradesh,33,2,-61.8,*,
Kinnaur,Himachal Pradesh,34,2,*,*,
Gurdaspur,Punjab,35,3,*,*,
Kapurthala,Punjab,36,3,97.8,-96.9,-100
Jalandhar,Punjab,37,3,-80.6,*,*
Hoshiarpur,Punjab,38,3,*,*,
Sahid Bhagat Singh Nagar,Punjab,39,3,-97.2,-96.7,*
Fatehgarh Sahib,Punjab,40,3,*,*,*
Ludhiana,Punjab,41,3,*,*,*
Moga,Punjab,42,3,-100,-100,
Firozpur,Punjab,43,3,-90.6,*,
Muktsar,Punjab,44,3,-94.8,-93.6,
Faridkot,Punjab,45,3,*,*,*
Bathinda,Punjab,46,3,-87.4,*,*
Mansa,Punjab,47,3,88.2,-90.3,
Patiala,Punjab,48,3,92.3,-90.2,-95.4
Amritsar,Punjab,49,3,-89.4,*,*
Tarn Taran,Punjab,50,3,-94.5,*,
Rup Nagar,Punjab,51,3,-94.2,-92.1,
Sahibzada Ajit Singh Nagar,Punjab,52,3,94.2,-94.6,*
Sangrur,Punjab,53,3,87.1,-89.8,
Barnala,Punjab,54,3,-93.9,*,-94.2
Uttarkashi,Uttarakhand,56,5,-82.4,-82.9,
Chamoli,Uttarakhand,57,5,64.1,59.9,
Rudraprayag,Uttarakhand,58,5,80.8,80.8,
Tehri Garhwal,Uttarakhand,59,5,-78.8,-78.2,
Dehradun,Uttarakhand,60,5,85,78.8,-91.8
Garhwal,Uttarakhand,61,5,85.3,86.8,
Pithoragarh,Uttarakhand,62,5,68.3,64,
Bageshwar,Uttarakhand,63,5,60,60.9,
Almora,Uttarakhand,64,5,63.5,63.4,
Champawat,Uttarakhand,65,5,67.9,64.3,
Nainital,Uttarakhand,66,5,79.6,74.5,86
Udham Singh Nagar,Uttarakhand,67,5,76.4,74.4,78.8
Hardwar,Uttarakhand,68,5,86.6,82.9,90.3
Panchkula,Haryana,69,6,*,*,*
Ambala,Haryana,70,6,*,*,*
Yamunanagar,Haryana,71,6,-72.5,-72.6,*
Kurukshetra,Haryana,72,6,*,*,
Kaithal,Haryana,73,6,-92.1,*,
Karnal,Haryana,74,6,*,*,*
Panipat,Haryana,75,6,*,*,*
Sonipat,Haryana,76,6,*,*,*
Jind,Haryana,77,6,*,*,
Fatehabad,Haryana,78,6,-92,-96.5,
Sirsa,Haryana,79,6,80.7,-84.3,
Hisar,Haryana,80,6,*,*,*
Bhiwani,Haryana,81,6,-80.2,-81.9,
Rohtak,Haryana,82,6,-96,*,*
Jhajjar,Haryana,83,6,*,*,
Mahendragarh,Haryana,84,6,75.8,-72.6,
Rewari,Haryana,85,6,-75.3,-76.7,
Gurgaon,Haryana,86,6,-82.2,*,*
Mewat,Haryana,87,6,72,71.9,
Faridabad,Haryana,88,6,77.4,,-77.3
Palwal,Haryana,89,6,82,-80.4,
North West,NCT Delhi,90,7,-91,,-91
North,NCT Delhi,91,7,-74.5,,-74.5
