district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,31.6,29.8,
Badgam,Jammu & Kashmir,2,1,49.8,46.7,
Leh(Ladakh),Jammu & Kashmir,3,1,22.1,21.9,22.6
Kargil,Jammu & Kashmir,4,1,11.1,9.5,
Punch,Jammu & Kashmir,5,1,24.8,23.7,
Rajouri,Jammu & Kashmir,6,1,22.9,22.4,
Kathua,Jammu & Kashmir,7,1,21.8,18.9,
Baramula,Jammu & Kashmir,8,1,41.5,34.8,
Bandipore,Jammu & Kashmir,9,1,34.6,29.7,
Srinagar,Jammu & Kashmir,10,1,74.7,,74.6
Ganderbal,Jammu & Kashmir,11,1,49.9,46.6,
Pulwama,Jammu & Kashmir,12,1,56.1,56.3,
Shupiyan,Jammu & Kashmir,13,1,42.3,39.3,
Anantnag,Jammu & Kashmir,14,1,32.1,32.3,
Kulgam,Jammu & Kashmir,15,1,32.3,32.7,
Doda,Jammu & Kashmir,16,1,12,10.8,
Ramban,Jammu & Kashmir,17,1,11.7,11.4,
Kishtwar,Jammu & Kashmir,18,1,15.3,14.7,
Udhampur,Jammu & Kashmir,19,1,18.1,16.2,
Reasi,Jammu & Kashmir,20,1,17.5,17.9,
Jammu,Jammu & Kashmir,21,1,28.4,24.6,33.5
Samba,Jammu & Kashmir,22,1,27.5,27.1,
Chamba,Himachal Pradesh,23,2,10.4,9.9,
Kangra,Himachal Pradesh,24,2,21.5,21.4,
Lahul and Spiti,Himachal Pradesh,25,2,14.1,14.1,
Kullu,Himachal Pradesh,26,2,10.7,10.3,
Mandi,Himachal Pradesh,27,2,10,9,
Hamirpur,Himachal Pradesh,28,2,21.3,21,
Una,Himachal Pradesh,29,2,27.2,27.5,
Bilaspur,Himachal Pradesh,30,2,15.7,15.4,
Solan,Himachal Pradesh,31,2,16.9,16,
Sirmaur,Himachal Pradesh,32,2,16.3,13.9,
Shimla,Himachal Pradesh,33,2,16.4,10.7,
Kinnaur,Himachal Pradesh,34,2,20.2,20.2,
Gurdaspur,Punjab,35,3,31,32,
Kapurthala,Punjab,36,3,32.5,37.7,23.6
Jalandhar,Punjab,37,3,33.1,28.1,36.4
Hoshiarpur,Punjab,38,3,26.2,27.9,
Sahid Bhagat Singh Nagar,Punjab,39,3,38.4,41.1,-28.4
Fatehgarh Sahib,Punjab,40,3,36.3,38,32.8
Ludhiana,Punjab,41,3,22.3,20.3,23.4
Moga,Punjab,42,3,16.3,14.6,
Firozpur,Punjab,43,3,13.4,16.5,
Muktsar,Punjab,44,3,14.3,11.5,
Faridkot,Punjab,45,3,31.1,37.3,14.7
Bathinda,Punjab,46,3,23.7,25.9,21.6
Mansa,Punjab,47,3,19.1,18.1,
Patiala,Punjab,48,3,24,19.8,29
Amritsar,Punjab,49,3,25.3,16.8,34.7
Tarn Taran,Punjab,50,3,20.9,21.5,
Rup Nagar,Punjab,51,3,28.1,24,
Sahibzada Ajit Singh Nagar,Punjab,52,3,22.2,22.6,21.9
Sangrur,Punjab,53,3,24.6,24,
Barnala,Punjab,54,3,21.1,24.4,13.6
Uttarkashi,Uttarakhand,56,5,4.7,3.6,
Chamoli,Uttarakhand,57,5,4.7,3.1,
Rudraprayag,Uttarakhand,58,5,10.5,9.3,
Tehri Garhwal,Uttarakhand,59,5,8,4.3,
Dehradun,Uttarakhand,60,5,16.6,17.4,15.8
Garhwal,Uttarakhand,61,5,11,9.8,
Pithoragarh,Uttarakhand,62,5,7.3,3.5,
Bageshwar,Uttarakhand,63,5,8.7,8.5,
Almora,Uttarakhand,64,5,8.7,6.4,
Champawat,Uttarakhand,65,5,13,9.6,
Nainital,Uttarakhand,66,5,24.6,19.6,33
Udham Singh Nagar,Uttarakhand,67,5,14.2,12.2,17.3
Hardwar,Uttarakhand,68,5,13,10.3,16.9
Panchkula,Haryana,69,6,12.2,14.6,10.6
